iter,sigma,best_value
1,0.9679085197605269,296998.2637392821
2,0.9567646245580173,296998.2637392821
3,0.9597652951193756,296486.16343249474
4,0.988877251681827,295160.1512232802
5,1.006068161557969,295160.1512232802
6,1.0506400892799388,293269.9364118366
7,1.1069225787427235,291908.29720332276
8,1.1994023585559264,290428.5115114777
9,1.3072478056476395,288742.61900404736
10,1.4182648943713296,287708.4918983128
11,1.5642299273238471,285315.5382051674
12,1.71643638334011,282944.5894724943
13,1.8745762638678884,281723.140412739
14,1.9846931376118482,281016.4615232503
15,2.1354816143730586,277724.8212366349
16,2.351214296116261,274329.9172590305
17,2.5126345224049462,274059.71713464626
18,2.668067801952453,270644.1652536958
19,2.8897394386564095,267824.76607638015
20,3.1734575930644637,262288.97428657423
21,3.4913702268180775,256960.85735875985
22,3.832671185375314,253791.09535153786
23,4.280311413487677,249519.6397303634
24,4.744078048814418,241625.23333841626
25,5.36450982989559,231421.821313062
26,6.120905700996415,223730.7959160663
27,6.841910243983212,219725.379248749
28,7.645216016692661,209332.67298515237
29,8.78986666564396,198203.01576643193
30,10.095324954038462,183354.72284982906
31,11.478846513992412,174273.4160018249
32,13.109831493802712,157708.4034978289
33,15.047830392745787,133735.43890537755
34,17.819760449799915,112757.97664577536
35,20.40584784114777,109439.2280972571
36,22.932432614536893,100673.53154933066
37,25.823392104556437,100673.53154933066
38,29.188713115828055,94979.47115719569
39,32.780306076980516,69365.20437351735
40,36.09789069886423,58767.65937279793
41,39.34396496959878,58767.65937279793
42,42.24521365347499,58767.65937279793
43,44.0604765904162,58767.65937279793
44,45.633825059428546,46718.18808624075
45,47.00261436992619,46718.18808624075
46,47.66375434876984,46718.18808624075
47,48.32841734692299,46718.18808624075
48,47.76052927373401,46718.18808624075
49,47.330532410096204,40635.69311469931
50,46.57541478957935,40635.69311469931
51,46.73196931549358,40635.69311469931
52,46.47041905275187,40635.69311469931
53,45.152619681904106,40635.69311469931
54,43.4802892409251,40635.69311469931
55,41.045174960285856,40635.69311469931
56,39.58535541840537,40635.69311469931
57,38.58416044581409,40635.69311469931
58,36.16605285861411,34698.03582474652
59,34.001556289063416,34698.03582474652
60,32.802617359778324,34698.03582474652
61,31.27300052487848,28354.761805335813
62,29.603678821919804,25012.177297629016
63,28.325503334131813,22060.963066339962
64,27.045608232506293,17507.384036474086
65,25.85394016230982,16723.74376754351
66,25.038057551862458,16723.74376754351
67,23.844695935901047,16723.74376754351
68,22.63415591473684,12113.486236124947
69,21.663456803075544,12113.486236124947
70,20.59699033616454,12113.486236124947
71,20.201858889034,12113.486236124947
72,19.447399581545422,12113.486236124947
73,18.49640103832743,9866.269765812891
74,17.603015451027773,7903.373863794429
75,16.723889163271817,5767.003113771595
76,16.090585739653054,5767.003113771595
77,15.261999480488845,5767.003113771595
78,14.427045930713076,5767.003113771595
79,13.745437554846703,4159.338308138609
80,13.254170897401485,4159.338308138609
81,12.783235775833786,4159.338308138609
82,12.24310421936721,4159.338308138609
83,11.44316376015699,4159.338308138609
84,10.811233719884507,2936.988424681495
85,10.482018020578476,2936.988424681495
86,10.042546462605202,2936.988424681495
87,9.670438108223928,2936.988424681495
88,9.37039359251003,2848.5741077361195
89,8.961685018411368,2848.5741077361195
90,8.710767289913983,2848.5741077361195
91,8.366689691124499,2848.5741077361195
92,8.061645311570462,2668.5143338372213
93,7.823783203963169,2446.3635825283513
94,7.59280087111915,2446.3635825283513
95,7.347202952782035,1983.1032538752456
96,7.183207954101777,1983.1032538752456
97,6.927647635269375,1983.1032538752456
98,6.706417519787411,1983.1032538752456
99,6.547968836296971,1765.3663206896185
100,6.375385890984368,1765.3663206896185
101,6.075423303880498,1509.3039444697893
102,5.840244287634829,1133.193765310523
103,5.544675534506497,1038.3547774047202
104,5.387842572811476,1034.8337460341413
105,5.234213387462243,1032.6540872702026
106,5.094123006746734,993.4031825876951
107,4.9216886977500325,993.4031825876951
108,4.753234597654315,983.447012576153
109,4.494507004159622,786.1669589308026
110,4.216038770438026,709.8465082833108
111,4.0363369352798095,643.2383264631218
112,3.881431743497431,643.2383264631218
113,3.675259037866085,643.2383264631218
114,3.4820791914326197,643.2383264631218
115,3.3212549891369276,643.2383264631218
116,3.1875224962678996,643.2383264631218
117,3.0706208837388833,631.877256760055
118,2.9490744280767855,631.877256760055
119,2.8861010091522354,631.877256760055
120,2.762249182867411,627.1048605509965
121,2.6155622674839054,556.015261676196
122,2.460378197888674,452.918929225363
123,2.402779911809198,452.918929225363
124,2.3228162417836193,452.918929225363
125,2.244334089594608,430.6902911753358
126,2.200045268188243,425.950672155602
127,2.170919028550109,417.6525791680353
128,2.1121045151486997,417.6525791680353
129,2.0681459072255475,409.5503516250828
130,2.0127719867490104,409.5503516250828
131,1.9811079295046745,353.79269082239773
132,1.9475836541151348,353.79269082239773
133,1.8938463069754383,345.3219628227435
134,1.8338572254895582,345.3219628227435
135,1.7328001210964261,345.3219628227435
136,1.6810595798127974,345.3219628227435
137,1.6278198707810623,345.3219628227435
138,1.587046030217529,345.3219628227435
139,1.5424877557243908,306.95909753577513
140,1.495011818432998,306.95909753577513
141,1.449429540261862,306.95909753577513
142,1.4335321696768486,306.95909753577513
143,1.442413365283743,306.95909753577513
144,1.4642955804819482,306.95909753577513
145,1.4386725162766965,306.95909753577513
146,1.4070535083694693,306.95909753577513
147,1.3761727743353371,306.95909753577513
148,1.3594886326441153,306.95909753577513
149,1.322146905909214,275.89493543891325
150,1.3053739782915723,275.89493543891325
151,1.2926832384903717,275.89493543891325
152,1.279168391916675,275.89493543891325
153,1.271733384725933,275.89493543891325
154,1.2558887870159028,275.89493543891325
155,1.2448040503366156,275.89493543891325
156,1.2198811870087898,275.89493543891325
157,1.1798544131211586,275.89493543891325
158,1.1561774891472623,275.89493543891325
159,1.1146709308014233,275.89493543891325
160,1.0764063879142747,275.89493543891325
161,1.02976292661982,275.89493543891325
162,0.9784166345816083,275.89493543891325
