iter,sigma,best_value
1,0.9429731452599064,278523105004.0495
2,0.9193857257792866,278523105004.0495
3,0.9261598830496978,274590234347.47083
4,0.9537544506730069,272595865530.27106
5,0.9852094963641846,271625410743.01758
6,1.044091368302942,267377182703.52737
7,1.1275918171091048,265398477518.22455
8,1.2160937879973532,264251518606.50418
9,1.3267546048532388,256811821123.68704
10,1.4701590522716785,253885521637.38693
11,1.6567509028726044,248820944954.06116
12,1.8574146096880784,241165316564.2947
13,2.081219805318488,238459488916.82126
14,2.341686563858787,234398484136.13455
15,2.6179364736613504,230815852129.456
16,2.8943142520792784,222791747765.19614
17,3.173000926573674,216915161427.1447
18,3.437863249001514,213346703684.07468
19,3.7774608962407705,204567253282.30243
20,4.258929920219809,186507880077.4961
21,4.799095015968834,179295007314.56436
22,5.407326148893287,165897378766.83817
23,6.10979510782427,157642326893.7978
24,6.870405117557873,146456288869.92947
25,7.65694005988079,141411419131.9938
26,8.632032786628702,123234021717.38313
27,9.695090529002425,112452312858.34427
28,10.6528262914119,109109159713.99458
29,11.762061257287543,91629410973.03741
30,13.133701788895436,73563685357.84093
31,15.019258489488628,52528965487.10133
32,17.34991143044553,40568117751.81057
33,19.91722730781876,39140383621.7671
34,22.589509869484505,39140383621.7671
35,25.446927238935352,31188775173.978386
36,28.52146772108446,20090461470.12928
37,30.720746866387834,20090461470.12928
38,33.696250304063405,17108723817.811646
39,36.494518507590115,17108723817.811646
40,39.31967920645163,13477771528.988531
41,40.74451705539436,13477771528.988531
42,41.31059162225103,13477771528.988531
43,41.245586370627,13477771528.988531
44,41.545305534831954,13477771528.988531
45,41.706046078343746,7352046675.602814
46,41.77517510299267,7352046675.602814
47,41.473066045775155,7352046675.602814
48,40.21734001868622,7352046675.602814
49,38.5965326149571,7352046675.602814
50,36.51689327213093,7352046675.602814
51,34.59363661126957,7352046675.602814
52,32.43165596806017,6270212810.292973
53,30.28823373487393,4857393413.391887
54,29.264127542392334,4857393413.391887
55,27.858022498049614,4021889076.8991613
56,26.385377379104423,2409928081.3310604
57,25.473478201993277,2409928081.3310604
58,24.858280048673365,2409928081.3310604
59,24.260862136160885,2249180815.282707
60,23.11651507133409,744012214.3846533
61,22.255804001755177,744012214.3846533
62,21.43105443760855,744012214.3846533
63,20.638276503289568,744012214.3846533
64,20.21906800383932,721131064.3312522
65,19.752037896438498,721131064.3312522
66,19.32814553351533,721131064.3312522
67,19.009302002842666,721131064.3312522
68,18.817378530109835,721131064.3312522
69,18.338943480725366,596586659.1888605
70,17.643717598421343,274674793.0227477
71,16.71409362871565,274674793.0227477
72,15.948294860795404,274674793.0227477
73,15.227927177823112,202931685.8807017
74,14.496962505805921,197599386.46646383
75,13.720823323385536,164480000.45106173
76,13.124941061170457,164480000.45106173
77,12.413042313750033,139327670.17723274
78,12.035260901983563,139327670.17723274
79,11.711242692465245,139327670.17723274
80,11.424068704532097,139327670.17723274
81,10.962878194866018,105436505.54781461
82,10.742385682345516,70439161.33217682
83,10.347743291371692,70439161.33217682
84,9.899707712010791,36584369.759082116
85,9.424256639637209,36399311.87547954
86,8.984458960935058,36399311.87547954
87,8.616282022291674,35809336.696567714
88,8.183878608037201,30825859.08690302
89,7.988610617577088,30825859.08690302
90,7.756497810255374,22746129.555388793
91,7.498313003985724,13757960.816581635
92,7.221141170998794,6892684.313699856
93,6.922091852386338,6892684.313699856
94,6.553846489690481,6869308.767164675
95,6.210603977935972,6869308.767164675
96,5.885309298006565,6869308.767164675
97,5.625415134687348,5816135.595015713
98,5.338103483578361,4823949.520722728
99,5.066781901439099,4823949.520722728
100,4.812777521338975,3223329.5690269815
101,4.640293453971434,3223329.5690269815
102,4.475901942228924,3017553.1716363095
103,4.339628376505415,1345268.2366816842
104,4.20308937173193,1345268.2366816842
105,4.013469490414162,1345268.2366816842
106,3.861035365927857,1265659.893670051
107,3.717320970222414,821667.0768398539
108,3.5423991948560105,821667.0768398539
