iter,sigma,best_value
1,0.9396032484347033,9621077873.543873
2,0.9296748916948872,9367776815.618042
3,0.9366572785973755,9233393228.47771
4,0.9391333749759134,9133086978.592937
5,0.9770063763143201,8774326736.23562
6,1.0314114162335593,8714725099.109283
7,1.0837219101998758,8356895752.91476
8,1.1492145289765838,8340500240.262715
9,1.2136551228662786,8040530905.198925
10,1.2915571359698617,7802698687.95869
11,1.4043048356865717,7696669007.066617
12,1.5058900041685257,7488867353.553392
13,1.6378868380463318,7142759260.45305
14,1.8088886569587201,6407686198.763629
15,2.02049852414001,6068529415.417879
16,2.2508681989394117,5373446128.616457
17,2.519150785867845,5089934248.316656
18,2.833225574157146,4591949330.934568
19,3.1895461809329784,3745588928.018992
20,3.561247458980562,3475740756.9704914
21,4.009172701924807,2796296365.6088395
22,4.494615742442624,2145369568.1784396
23,5.042151168495488,1813050469.980575
24,5.544884133506731,1767994707.1552136
25,5.999140813553623,1309593386.3307683
26,6.56968721772639,512623898.5194897
27,7.248370533958085,104090486.05713719
28,8.054793528140584,10589766.847301278
29,8.719171826988353,1508874.2015238372
30,9.373076449479893,642248.09117431
31,9.90845531714282,312630.6385039107
32,10.161539123224534,312630.6385039107
33,10.363036461944967,312630.6385039107
34,10.728108114937159,312630.6385039107
35,11.086672903258602,312630.6385039107
36,11.170932642022713,312630.6385039107
37,11.006438654804823,304520.8154238747
38,10.950747715201699,304520.8154238747
39,11.086898491059445,304520.8154238747
40,11.2014151725399,304520.8154238747
41,11.2531172600248,304520.8154238747
42,11.171319994692581,304520.8154238747
43,10.890659675829125,304520.8154238747
44,10.760128403148421,304520.8154238747
45,10.927398966560084,304520.8154238747
46,10.899099233079387,304520.8154238747
47,10.817461172985912,304520.8154238747
48,10.697944904352232,304520.8154238747
49,10.717099807831907,304520.8154238747
50,10.486882556318198,304520.8154238747
51,10.26343681808448,304520.8154238747
52,10.144520539857716,304520.8154238747
53,10.062933393377918,304520.8154238747
54,9.853185522622073,304520.8154238747
55,9.694178517936503,304520.8154238747
56,9.5203656451589,304520.8154238747
57,9.318342825732907,304520.8154238747
58,9.284404063856948,304520.8154238747
59,9.215010132363588,304520.8154238747
60,9.160663667111619,304520.8154238747
61,9.154073942765862,304520.8154238747
62,9.050537382503318,301454.3951408387
63,9.135756596381693,301454.3951408387
64,9.303321937583117,301454.3951408387
65,9.546328913985926,301454.3951408387
66,9.70361373469145,301454.3951408387
67,9.839130565004659,301454.3951408387
68,10.023090410168667,301454.3951408387
69,10.128389662026303,301454.3951408387
70,10.229022673898925,301454.3951408387
71,10.29071764073179,301454.3951408387
72,10.12545923565768,301454.3951408387
73,9.766279968571551,301454.3951408387
74,9.297336755675328,301454.3951408387
75,9.119944139623964,301454.3951408387
76,8.95332616372488,301454.3951408387
77,8.93414646621906,301454.3951408387
78,8.685612477057662,301454.3951408387
79,8.382324722018241,301454.3951408387
80,8.167635205772791,301454.3951408387
81,8.01020704020804,301454.3951408387
82,7.8691092831874085,301454.3951408387
83,7.6731456947757515,301454.3951408387
84,7.475481576877959,301454.3951408387
85,7.105116954074156,301454.3951408387
86,6.74182972581427,301454.3951408387
87,6.480716700135946,301454.3951408387
88,6.278194725848596,301454.3951408387
89,6.037656112511267,301454.3951408387
90,5.856932526007897,301454.3951408387
91,5.776671449523776,301454.3951408387
92,5.754584317031502,301454.3951408387
93,5.761276877400909,301454.3951408387
94,5.704897015175904,301454.3951408387
95,5.703505118982529,301454.3951408387
96,5.724672118016028,301454.3951408387
97,5.6993017609593615,301454.3951408387
98,5.648703911484655,301454.3951408387
99,5.4696189660481025,301454.3951408387
100,5.408089158924512,301454.3951408387
101,5.349185055188943,301454.3951408387
102,5.429081942431184,301454.3951408387
103,5.465328525890599,301454.3951408387
104,5.6065404102325,301454.3951408387
105,5.744104680517027,301454.3951408387
106,5.930805033856959,301454.3951408387
107,5.9712781817457685,301454.3951408387
108,5.927267445974682,301454.3951408387
109,5.964305250033905,301454.3951408387
110,5.964326838319047,301454.3951408387
111,6.046637598374286,301454.3951408387
112,6.167382947258892,301454.3951408387
