iter,sigma,best_value
1,0.9308458929866323,283510168563.9995
2,0.8972795248195328,280762519205.59546
3,0.8873243345465945,277037618826.8647
4,0.9122081988221717,274534247773.02725
5,0.9443022284905972,271325761008.07855
6,0.9919579222106557,269768942134.365
7,1.0593083075479892,265999510608.77295
8,1.1400796269117497,263104408704.37613
9,1.2364951390860903,262295106930.67563
10,1.3534799791139571,256401866506.96814
11,1.513876393275968,252710451684.22794
12,1.674045915274735,248970121803.64514
13,1.8820390417994421,242248307559.50534
14,2.1182035384856976,237202358581.41025
15,2.375443332590234,231130329051.31622
16,2.6226682201557376,229875293742.0952
17,2.914586515502811,221653415039.2463
18,3.205312378742813,220705276330.16074
19,3.5136480221494972,210484090817.4446
20,3.8313981307053337,207593912610.2713
21,4.133426150094125,202887530879.69272
22,4.486546753483888,188336164351.34174
23,4.811955948923173,185158976969.33923
24,5.242104496110474,170469333620.42474
25,5.8430597193865434,153638599869.40152
26,6.523532018815483,150401814471.384
27,7.225908669865499,141130803758.90143
28,7.9115424373350836,121447723052.25038
29,8.683722696130232,121225477810.2888
30,9.687819114505743,107561666602.14517
31,10.76765928115241,97140050267.67276
32,12.251119162301897,79659016330.81549
33,13.469080928009063,79659016330.81549
34,14.988914690188155,69030712831.39471
35,16.71578235979455,50295804913.582054
36,18.22763911376821,50295804913.582054
37,19.855888486324872,45269114013.55239
38,21.51557997490326,37478248514.21815
39,22.766552832420558,32328716163.493065
40,24.3735597328234,24454943641.95726
41,26.143662846020497,14199283802.363903
42,27.911314079183473,11110341650.840612
43,29.310898274946084,11110341650.840612
44,30.837636018563984,11110341650.840612
45,31.978234975746886,8266495320.1712885
46,32.913064338534795,8266495320.1712885
47,34.11856206900015,3791453431.8211656
48,35.0995839644615,3791453431.8211656
49,35.64444085304119,3791453431.8211656
50,35.58977474180103,3791453431.8211656
51,35.30498331743176,3791453431.8211656
52,34.51660445132209,3791453431.8211656
53,32.58984898634636,3791453431.8211656
54,31.96703749827724,3791453431.8211656
55,30.580262127621555,3791453431.8211656
56,29.137244964309346,3791453431.8211656
57,28.034647405043007,2702752805.2377605
58,26.999640322755074,2632383280.126583
59,25.9650876643525,2632383280.126583
60,24.66396104601945,2632383280.126583
61,23.437211017800422,1776491535.9499362
62,22.725768557289072,1776491535.9499362
63,21.927175826100697,1273691405.6800003
64,20.930461891694073,1273691405.6800003
65,20.284162057291095,1273691405.6800003
66,19.20488088367569,1178369494.30074
67,18.04678328674145,762531576.1226584
68,17.34976208026019,762531576.1226584
69,16.72529021445315,762531576.1226584
70,15.885486057012105,330741505.2379838
71,15.170326364943802,330741505.2379838
72,14.456479276391136,222804670.9272049
73,14.096632771943163,222804670.9272049
74,13.61716398768892,222804670.9272049
75,13.432498082362304,222804670.9272049
76,12.957964008773951,171592414.1314571
77,12.56991766554031,171592414.1314571
78,11.9884387345949,84262594.88672237
79,11.755137142545445,84262594.88672237
80,11.419710492684345,84262594.88672237
81,11.128872693581199,84262594.88672237
82,10.904495155315981,81636746.42775376
83,10.6556189352673,68910818.79703723
84,10.218953920543813,52547455.073878
85,9.780597221531249,48492675.64568882
86,9.150634628166593,37594967.08856307
87,8.437532909353116,21948121.227863263
88,7.94943472265959,13822982.982980747
89,7.717577053264123,13822982.982980747
90,7.542954728694947,13822982.982980747
91,7.385096132142492,13092993.64412937
92,7.058547862397109,13092993.64412937
93,6.659712421106734,9581587.49090226
94,6.262191489469579,8320917.699121051
95,5.997082967933543,5494293.561205682
96,5.769996143130088,5494293.561205682
97,5.555510813314654,5494293.561205682
98,5.351590552106775,5494293.561205682
99,5.1698501917136905,3313035.9997012415
100,4.975332475490936,3210187.0582835735
101,4.731572916906207,3210187.0582835735
102,4.511985837818036,790463.7299836071
103,4.253652212502251,790463.7299836071
104,4.057016545724611,790463.7299836071
105,3.94666254193842,790463.7299836071
106,3.8005120457911223,790463.7299836071
107,3.6818208694710037,790463.7299836071
108,3.5623029620739532,790463.7299836071
109,3.493756693931695,790463.7299836071
110,3.3890294563837386,790463.7299836071
111,3.274111427457466,790463.7299836071
112,3.121897521966022,790463.7299836071
113,2.99639824125758,788856.6169455266
114,2.8795797267851606,432698.5569299811
115,2.737786585393631,432698.5569299811
116,2.579507160300625,225913.63558089425
117,2.4863336379729546,225913.63558089425
118,2.4347441439977717,225913.63558089425
119,2.374722888361415,225913.63558089425
120,2.3355082187643816,225913.63558089425
121,2.298999835278639,225913.63558089425
122,2.2794912182825118,225913.63558089425
123,2.218011188204631,136318.40214773733
124,2.1559577712178353,136318.40214773733
125,2.1051003380307125,136318.40214773733
126,2.018830608043385,136318.40214773733
127,1.9577121311487378,136318.40214773733
128,1.901432931589289,136318.40214773733
129,1.8095172080983748,79854.7875900511
130,1.7189855242902372,75053.58405696253
131,1.6255129115922418,75053.58405696253
132,1.5665848743859732,65118.69114717306
133,1.5069783382818216,51414.59672655958
134,1.4238790615862393,28778.220954194927
135,1.3450833926131736,27695.24335024035
136,1.2541652807858754,16100.845299737914
137,1.1678978928438268,15393.63874536056
138,1.13411352814713,10972.110191508891
139,1.082216505774276,10354.204308363305
140,1.0421949685779892,10354.204308363305
141,1.0025130659508044,7622.696016293564
142,0.9552778111747339,7622.696016293564
143,0.9048593816099721,6818.047589971687
144,0.8736691906581528,6818.047589971687
145,0.8167232680746868,6818.047589971687
146,0.7764560090359398,6818.047589971687
147,0.7443484007347317,6818.047589971687
148,0.7134882995518042,6818.047589971687
149,0.6843482080243518,6818.047589971687
150,0.6690075055624284,6430.015555358373
151,0.6484966958478124,6430.015555358373
152,0.6231971359568004,5087.957676822312
153,0.5981508732267558,4404.732232157835
154,0.5775132332838755,3324.765398397615
155,0.5569140468385615,3324.765398397615
156,0.5378385159607169,3324.765398397615
157,0.5275498497127467,2785.8422905842467
158,0.512962249797877,2785.8422905842467
159,0.5016363383687243,2785.8422905842467
160,0.4943266062913224,2785.8422905842467
161,0.4887828790842431,2774.8984328785396
162,0.4896356198464523,2239.7824525022306
163,0.49427367454550664,1604.683804184526
164,0.4899145389161031,1604.683804184526
165,0.48508218643103584,1477.2803473029337
166,0.4720342577696747,1477.2803473029337
167,0.4600602884352773,1477.2803473029337
168,0.45742767923119937,1477.2803473029337
169,0.44782678255730113,1477.2803473029337
170,0.4456404150264728,1477.2803473029337
171,0.4337814365175124,1477.2803473029337
172,0.415696501273429,1477.2803473029337
173,0.3999471699845478,1477.2803473029337
174,0.384964787850668,1473.688393366764
175,0.3749223731046518,1263.3646448446027
176,0.36879535369841304,1263.3646448446027
177,0.358031805107583,1263.3646448446027
178,0.3453744243889516,1263.3646448446027
179,0.3318675813497985,1263.3646448446027
180,0.31190444701900943,1121.7215221702838
181,0.3038143287048065,1121.7215221702838
182,0.2963505082116513,1121.7215221702838
183,0.28910102367377316,1019.0723913717835
184,0.2815829082332847,939.2346460969198
185,0.2754942373951357,939.2346460969198
186,0.2694359100506686,939.2346460969198
187,0.2683814021543794,818.1982102151437
188,0.26830265338634146,818.1982102151437
189,0.26564052668968113,818.1982102151437
190,0.2599657036417215,818.1982102151437
191,0.25240251597065827,818.1982102151437
192,0.24399888589851818,818.1982102151437
193,0.24157321408709506,818.1982102151437
194,0.23599411921410607,818.1982102151437
195,0.23674896656395852,818.1982102151437
196,0.24049526484350672,818.1982102151437
197,0.24042885426640634,818.1982102151437
198,0.2365659927684781,818.1982102151437
199,0.22792158783247654,818.1982102151437
200,0.21667758529846395,818.1982102151437
201,0.20889354257596363,818.1982102151437
202,0.20108864981991578,818.1982102151437
203,0.19471439536088325,818.1982102151437
204,0.18842185836772016,818.1982102151437
205,0.1792919392362005,818.1982102151437
206,0.17012107065343027,818.1982102151437
207,0.16351656139927506,818.1982102151437
208,0.15825092481180056,800.3813730704378
209,0.15587793825529353,738.8237423209922
210,0.15218289794036274,738.8237423209922
211,0.14775072424986935,733.1444161088292
212,0.1418634962380837,729.7511537512743
213,0.13645084839139013,729.7511537512743
214,0.13138691401712682,729.7511537512743
215,0.12977827575813805,729.7511537512743
216,0.12594061388484343,708.4115970660749
217,0.12180385802505493,701.9852921582128
218,0.11680973378932398,701.9852921582128
219,0.11366047706222712,701.9852921582128
220,0.11074115994141147,701.9852921582128
