iter,sigma,best_value
1,1.0229860234921977,2785560.6954867556
2,1.1074676556067526,2776862.3586417586
3,1.3327368064000247,2753038.3042596434
4,1.6046072697538363,2710032.7734474307
5,2.032803882581076,2637367.546855448
6,2.6945603237397227,2533406.233431298
7,3.6909246514270704,2444894.2613014155
8,5.254788225219127,2278300.4583195746
9,6.958619353042135,2119299.152450558
10,8.791627661185736,1945659.3032705984
11,11.473812844689093,1699706.3430161085
12,14.866692988576725,1450080.6704261587
13,20.240728892178836,940591.702049507
14,24.8108421258452,868601.5368145104
15,30.292588886082,385900.445709731
16,35.44436459978573,332304.75820766983
17,43.26811924631275,24924.386856066383
18,49.594581635753734,24924.386856066383
19,53.60608047359761,16458.547216455278
20,54.31653311999722,16458.547216455278
21,52.471962183575684,16458.547216455278
22,48.61848772490852,8346.627774653663
23,43.42466576375084,8346.627774653663
24,43.037432094476145,8346.627774653663
25,41.43778473850536,8346.627774653663
26,39.48865940647146,8300.433818851738
27,36.33405111603941,8300.433818851738
28,35.608932641024225,8300.433818851738
29,33.4840634526037,6933.444429622334
30,32.405219041809154,6933.444429622334
31,36.3328658169221,6933.444429622334
32,36.19104291425428,6933.444429622334
33,32.7879198249883,6933.444429622334
34,32.541818626085444,6933.444429622334
35,32.43505136558799,6933.444429622334
36,32.32483314299929,6933.444429622334
37,30.393684462649755,6933.444429622334
38,27.461802059083595,2733.6036600158445
39,25.590760982586634,2733.6036600158445
40,25.68842518362744,2733.6036600158445
41,25.553218276342665,2733.6036600158445
42,25.676626418776753,2733.6036600158445
43,23.659166527519726,2481.369416851549
44,21.975428073246036,2481.369416851549
45,20.90326974248932,1691.0779136956173
46,20.308251858682457,1691.0779136956173
47,19.165510708204998,1691.0779136956173
48,17.311225001460933,1691.0779136956173
49,15.073966918613538,1691.0779136956173
50,14.022313646236439,1691.0779136956173
51,13.245371891557925,1016.5320764445916
52,12.10645534003008,1016.5320764445916
53,10.885147391328214,1016.5320764445916
54,10.23034912448067,1016.5320764445916
55,9.477265430930306,1016.5320764445916
