iter,sigma,best_value
1,0.9448453666979524,298222.59779692284
2,0.9286200546172546,298057.93527062965
3,0.9312994830747755,296700.1271853858
4,0.9589469041611306,294986.0584629595
5,1.0138897692702595,293890.51717746834
6,1.0783416878539889,292804.4514529622
7,1.1712609870788702,289730.40671429795
8,1.3089484941065719,286434.26198173343
9,1.44866430937558,286434.26198173343
10,1.6143362915991304,284766.30275071354
11,1.8132248339907029,280976.7348391701
12,2.0096163184760782,279954.3024150722
13,2.2691204090555246,276214.6867733213
14,2.601978265657792,270650.3415088211
15,2.9646413952232384,269534.5519986951
16,3.311559497208887,265779.34294769383
17,3.7389018513316374,262868.74245865457
18,4.2312564006587925,258644.52328194477
19,4.835649441503669,250584.48678778636
20,5.446422913586209,249210.73374083618
21,6.095223084642222,240799.91377044006
22,6.8557764061943445,231588.13159710413
23,7.635163472091421,224462.43550546834
24,8.535623553301862,214716.70401000243
25,9.678781858689804,196578.34942033197
26,10.745973470736795,196578.34942033197
27,12.008872163567545,187629.7086103683
28,13.485024153735969,168199.2647499487
29,14.571089424440865,168199.2647499487
30,16.183355523238767,150693.86219454886
31,17.738685125272003,143669.26908249804
32,19.2954838663007,137387.37326910227
33,21.463676356318544,117863.05849885874
34,23.991243932647212,99340.05690206491
35,26.829442234487313,80693.37967757125
36,30.329030745790156,57245.358075592834
37,32.42775774495732,57245.358075592834
38,34.39451496429877,57245.358075592834
39,35.89240633127315,57245.358075592834
40,38.56175662828298,56556.753704141825
41,40.312213621099204,56556.753704141825
42,40.82380754691896,44950.427896839654
43,41.37340767492749,38360.74865546444
44,42.08465866692957,38360.74865546444
45,42.95058442285103,38360.74865546444
46,43.77980715514175,38360.74865546444
47,44.258064496891656,38360.74865546444
48,43.97414869778092,38360.74865546444
49,42.363677101863985,38360.74865546444
50,40.51496112091701,38360.74865546444
51,39.11627512558205,38360.74865546444
52,37.47699706237415,38360.74865546444
53,35.737063940736185,33626.34735742828
54,34.09477377802682,33350.68354055113
55,32.42157792475023,28186.802722547385
56,30.941924015354402,28186.802722547385
57,29.49840069574691,28186.802722547385
58,28.257556125772048,19324.812595257325
59,26.498609274734147,19324.812595257325
60,25.272462101050273,19324.812595257325
61,23.989344724920166,19324.812595257325
62,23.382293045050414,19324.812595257325
63,22.31212513805064,14782.290649146995
64,21.5599697323912,14782.290649146995
65,21.115037676463757,14782.290649146995
66,20.383989497353802,8443.75727856737
67,19.83906354709043,8443.75727856737
