iter,sigma,best_value
1,1.0422206766423108,2820246.65364539
2,1.182508883918299,2762689.0943758
3,1.3564870144241408,2762689.0943758
4,1.6502098194746362,2731265.41566841
5,2.0174995513511678,2661423.1633102335
6,2.522310451519136,2641019.6173821962
7,3.320800148950335,2548134.829824599
8,4.282546237663531,2450864.168005434
9,5.941367788970374,2205948.6065638326
10,8.450965291316274,2073867.9105207585
11,11.675551503096324,1747201.6541931252
12,17.079045598622873,1412554.4337538788
13,24.12099890677875,947362.8017241899
14,35.57296395061688,513431.46968938084
15,52.2294591036366,56897.41957229533
16,72.52738296738954,53835.04795919376
17,86.08754529325317,53835.04795919376
18,97.04379086275924,52201.146352908516
19,101.75050540587597,52201.146352908516
20,111.04924511093111,52201.146352908516
21,106.08402789780467,52201.146352908516
22,100.47551810343846,52201.146352908516
23,101.58472448016212,52201.146352908516
24,117.25145462015544,52201.146352908516
25,127.58984167041265,52201.146352908516
26,152.88254279563213,52201.146352908516
27,167.01945488501548,52201.146352908516
28,172.21641490179914,52201.146352908516
29,186.9450219395371,52201.146352908516
30,207.3255663858041,52201.146352908516
31,214.69735815125867,52201.146352908516
32,215.37953514270887,52201.146352908516
33,222.29520450869074,52201.146352908516
34,248.2412086467097,52201.146352908516
35,258.95742754072455,52201.146352908516
36,247.6175050957495,52201.146352908516
37,251.76481103462356,52201.146352908516
38,227.5429966463917,52201.146352908516
39,230.14032669184743,52201.146352908516
40,241.49808593347893,52201.146352908516
41,242.93048738382777,52201.146352908516
42,259.0387861619215,52201.146352908516
43,270.20726838260913,52201.146352908516
44,278.0838952637997,52201.146352908516
45,293.4999084653228,52201.146352908516
46,285.5662737479377,52201.146352908516
47,309.70120685154086,52201.146352908516
48,353.6264690849385,52201.146352908516
49,398.0566417538154,52201.146352908516
50,399.3508984113317,52201.146352908516
51,414.16199471250985,52201.146352908516
52,424.5934677525706,52201.146352908516
53,450.5037166413418,52201.146352908516
54,459.7685880968727,52201.146352908516
55,429.94111003784775,52201.146352908516
56,417.75234113654807,52201.146352908516
57,419.98428891293344,52201.146352908516
58,483.27750818677595,52201.146352908516
59,520.4527475363343,52201.146352908516
60,536.7717438884857,52201.146352908516
61,624.2393938494336,52201.146352908516
62,567.8912611766169,52201.146352908516
63,572.5885808405783,52201.146352908516
64,597.5817898624915,52201.146352908516
65,633.076313096055,52201.146352908516
66,721.5877245147868,52201.146352908516
67,745.2695618861256,52201.146352908516
68,735.1298698634055,52201.146352908516
69,790.5628992102334,52201.146352908516
70,823.0949156881834,52201.146352908516
71,810.7719746559819,52201.146352908516
72,769.3144760109816,52201.146352908516
73,794.3292693665219,52201.146352908516
74,749.7270414625062,52201.146352908516
75,805.7788746291392,52201.146352908516
76,852.0493833027768,52201.146352908516
77,921.2005104809056,52201.146352908516
78,995.5164072100831,52201.146352908516
79,1043.91749126952,52201.146352908516
80,1080.2047226962395,52201.146352908516
81,1049.7499086535129,52201.146352908516
82,1149.1977428099508,52201.146352908516
83,1065.9536311759618,52201.146352908516
84,931.6275969878983,52201.146352908516
85,983.6014405375624,52201.146352908516
86,929.2987857686471,52201.146352908516
87,921.3833163633723,52201.146352908516
88,930.2038886844992,52201.146352908516
89,883.501768755029,52201.146352908516
90,931.3429114164323,52201.146352908516
91,909.4139305320867,52201.146352908516
92,940.7575339438224,52201.146352908516
93,1021.6772730764369,52201.146352908516
94,1096.8937100818264,52201.146352908516
95,1179.8817817654108,52201.146352908516
96,1258.0193023964605,52201.146352908516
97,1269.137011259096,52201.146352908516
98,1290.6812209863444,52201.146352908516
99,1228.0899860772615,52201.146352908516
100,1185.7912560669108,52201.146352908516
101,1200.5240446218768,52201.146352908516
102,1240.068663708746,52201.146352908516
