iter,sigma,best_value
1,0.9727737168704553,9514845352.948893
2,0.9930236013287083,9135959064.472067
3,1.0464863456611524,8835938600.6643
4,1.1151496845286013,8561105511.894459
5,1.2601347101678484,7960894740.152467
6,1.4440882301855178,7558104523.9810915
7,1.6718487799752668,6904721574.102059
8,1.9911755779484872,6313959107.8516035
9,2.40863761869723,5771349903.977925
10,2.9096609201437906,5066779725.249717
11,3.5682037718264756,4341740386.367542
12,4.391032988180427,3541887927.6975274
13,5.301051258095973,3320401583.166441
14,6.448810796887174,2454091750.2903714
15,7.810378989333912,1557680364.1710646
16,9.350356364004844,659297576.4766464
17,11.3676416772633,11730158.96433643
18,13.574628384444424,11730158.96433643
19,15.380964748410161,1036328.2788754267
20,17.21457504692819,999583.3591207705
21,19.21769636876101,999583.3591207705
22,20.95632789880883,999583.3591207705
23,22.54911681868082,971628.717870944
24,23.79339541023015,484537.62314419134
25,24.85355873574092,484537.62314419134
26,25.601814417757605,484537.62314419134
27,26.798348050786885,484537.62314419134
28,28.761386418873833,461230.88095131994
29,31.884327975210976,461230.88095131994
30,34.60322350505886,461230.88095131994
31,38.91947101306065,461230.88095131994
32,42.296679107933215,461230.88095131994
33,44.66278833595006,461230.88095131994
34,46.44911235520692,461230.88095131994
35,47.690861881855646,461230.88095131994
36,49.59134177208367,461230.88095131994
37,52.87917180098438,461230.88095131994
38,55.72823811994162,461230.88095131994
39,58.633609013879834,461230.88095131994
40,61.344559747093754,461230.88095131994
41,62.580047070447925,461230.88095131994
42,64.71177158271944,461230.88095131994
43,67.61547304022868,461230.88095131994
44,69.9660428814752,461230.88095131994
45,73.78232069804336,461230.88095131994
46,77.56445838956449,461230.88095131994
47,80.24476681170927,461230.88095131994
48,83.04834174083298,461230.88095131994
49,87.52840773085393,461230.88095131994
50,95.17527919424786,461230.88095131994
51,99.55835608183018,461230.88095131994
52,101.13695410519638,461230.88095131994
53,106.51395277053409,461230.88095131994
54,110.42971622662641,461230.88095131994
55,112.81286964902446,461230.88095131994
56,115.09428858781294,461230.88095131994
57,117.68830140232178,461230.88095131994
58,122.30603431086372,461230.88095131994
59,127.88923691009519,461230.88095131994
60,131.2629084226379,461230.88095131994
61,131.4478992696098,461230.88095131994
62,133.03087473086626,461230.88095131994
63,135.09216415452968,461230.88095131994
64,144.67034781050594,461230.88095131994
65,152.2535481104168,461230.88095131994
66,162.74374695008544,461230.88095131994
67,171.80914033685653,461230.88095131994
68,180.39858291132404,461230.88095131994
69,194.86244616752697,461230.88095131994
70,208.30942303527615,461230.88095131994
71,222.9374945393266,461230.88095131994
72,236.7597007095005,461230.88095131994
73,254.31569151462585,461230.88095131994
74,269.8208210289838,461230.88095131994
75,294.5404906222299,461230.88095131994
76,315.59655776737674,461230.88095131994
77,331.1077793392204,461230.88095131994
78,371.837085496496,461230.88095131994
79,398.17184710038174,461230.88095131994
80,419.57436117116583,461230.88095131994
81,451.3974137425601,461230.88095131994
82,464.81958157302745,461230.88095131994
