iter,sigma,best_value
1,1.0990477607595326,97924.33123295195
2,1.3270054328394265,96640.73189927872
3,1.6591574004214247,95783.12723914161
4,2.0585099489902503,94264.59140539379
5,2.6328226607702634,91734.890654771
6,3.5620587725067483,89524.35370684956
7,4.923643172351583,85565.63058118294
8,6.931661011029753,80067.5936793552
9,9.565394942897177,74424.27473963628
10,13.115471950758828,64190.19755126055
11,17.120620729359644,57473.2049239787
12,23.566415632236772,48039.507468338124
13,34.285234105994476,22022.987713774848
14,48.10293763796428,22022.987713774848
15,62.050976943322304,22022.987713774848
16,72.6230320856227,22022.987713774848
17,75.74266198415114,22022.987713774848
18,81.03771374548047,22022.987713774848
19,86.06144207884105,22022.987713774848
20,79.16592426882177,22022.987713774848
21,80.55055979717694,22022.987713774848
22,79.48193787868401,22022.987713774848
23,79.29931180454379,22022.987713774848
24,82.91261761457156,22022.987713774848
25,82.91787902127979,22022.987713774848
26,76.31551757871442,22022.987713774848
27,75.07194086553497,22022.987713774848
28,66.76518935738517,22022.987713774848
29,66.09335744961005,22022.987713774848
30,66.56957164728824,22022.987713774848
31,64.99220862127993,22022.987713774848
32,63.223340411656636,22022.987713774848
33,65.27611602328325,22022.987713774848
34,64.23755724260322,22022.987713774848
35,59.44501717226068,22022.987713774848
36,56.78591708645609,22022.987713774848
37,54.06152591117063,22022.987713774848
38,51.02321169792143,22022.987713774848
39,52.07221926253552,22022.987713774848
40,51.08239624754273,22022.987713774848
41,49.04738545413441,22022.987713774848
42,49.53249056560008,22022.987713774848
43,52.29997981160571,22022.987713774848
44,52.85098369800178,22022.987713774848
45,54.6014123017713,22022.987713774848
46,51.89336456535063,22022.987713774848
47,50.0560546408741,22022.987713774848
48,48.452946607594036,22022.987713774848
49,47.70806076612929,22022.987713774848
50,45.23032509923144,22022.987713774848
51,41.513212055834515,22022.987713774848
52,45.58640870568556,22022.987713774848
53,53.313347828555194,22022.987713774848
54,53.16119276994281,22022.987713774848
55,53.71958664655169,22022.987713774848
56,55.95808294037435,22022.987713774848
57,54.87938106212938,22022.987713774848
58,51.07036268212424,22022.987713774848
59,52.5226464939191,22022.987713774848
60,49.141390931303285,22022.987713774848
61,45.90332868886955,22022.987713774848
62,41.66563294852647,22022.987713774848
63,39.07605305666822,22022.987713774848
64,40.52560650993939,22022.987713774848
65,38.98103436997639,22022.987713774848
66,39.251474737436396,22022.987713774848
67,39.942378034579555,22022.987713774848
68,40.82370537204514,22022.987713774848
69,40.89554938637114,22022.987713774848
70,40.57600105077092,22022.987713774848
71,41.0189798175967,22022.987713774848
72,41.043371858185644,22022.987713774848
73,43.00705338851097,22022.987713774848
74,42.97595038822547,22022.987713774848
75,40.40505486422707,22022.987713774848
76,37.89429810702923,22022.987713774848
77,38.842517226402514,22022.987713774848
78,41.727595039176926,22022.987713774848
