iter,sigma,best_value
1,0.9832082463887128,279624714985.1576
2,0.9845102996651931,277995822744.9393
3,1.0381802453188986,274737787282.75546
4,1.1186774182133317,269439255063.53412
5,1.2641543059010145,267983588087.90277
6,1.4399589795999985,264882176841.4612
7,1.6608310827761907,262677821607.23727
8,1.954108183239039,256676991117.39548
9,2.3263264789310028,247259265022.16333
10,2.819916548936228,241798719523.16254
11,3.2913946646936116,240145262857.32404
12,3.795321530660206,232565436285.43433
13,4.330781564833409,225421644234.01202
14,5.096498445785856,205035911625.69482
15,6.086092596552763,194473877652.7362
16,7.3289586955041575,177373216762.49023
17,8.925617275719159,152598457405.39987
18,10.92669309074812,133751262322.80643
19,13.108811547256614,133751262322.80643
20,15.7257865803078,130497873598.8381
21,19.229670020154604,115301451019.9709
22,23.479360956442093,100372620795.66695
23,28.386364975722927,91656416733.71358
24,33.443775583049785,91656416733.71358
25,38.8089068299209,91656416733.71358
26,44.58691839811174,91656416733.71358
27,50.67707995229678,91656416733.71358
28,58.38108797657492,91656416733.71358
29,65.97157219473984,91656416733.71358
30,72.45411990107075,91656416733.71358
31,76.16450770809493,91656416733.71358
32,79.57455152228238,91656416733.71358
33,81.12560770559293,91656416733.71358
34,83.62598427389065,91656416733.71358
35,86.975704760464,91656416733.71358
36,87.84452203502173,91656416733.71358
37,87.31071887678367,91656416733.71358
38,86.56905803804185,91656416733.71358
39,86.35463055599918,91656416733.71358
40,87.15294539109787,91656416733.71358
41,87.21162338030135,91656416733.71358
42,87.60466871903859,91656416733.71358
43,87.83217710775415,91656416733.71358
44,87.51595651178133,91656416733.71358
45,88.29845547969889,91656416733.71358
46,86.0733390381351,91656416733.71358
47,86.24084289169416,91656416733.71358
48,86.21968483795149,91656416733.71358
49,84.26840180403681,91656416733.71358
50,84.88320341744186,91656416733.71358
51,85.00373828767711,91656416733.71358
52,85.06941434210907,91656416733.71358
53,86.12064735881647,91656416733.71358
54,84.19125530383425,91656416733.71358
55,83.77663983455335,91656416733.71358
56,84.01624426913237,91656416733.71358
57,84.78221331824258,91656416733.71358
58,84.20183355732264,91656416733.71358
59,81.26841947117137,91656416733.71358
60,78.32551616259455,91656416733.71358
61,79.04930917144631,91656416733.71358
62,78.36156625801806,91656416733.71358
63,77.02849217650055,91656416733.71358
64,76.5680302509674,91656416733.71358
65,76.72788095034329,91656416733.71358
66,77.13605612510233,91656416733.71358
67,80.32292685106032,91656416733.71358
68,80.48993400354833,91656416733.71358
69,81.58589190582637,91656416733.71358
70,81.04358641932564,91656416733.71358
71,79.48367458971343,91656416733.71358
72,80.24903377468576,91656416733.71358
73,80.30619878848061,91656416733.71358
74,80.21510927523629,91656416733.71358
75,81.7364316088426,91656416733.71358
76,82.274055715195,91656416733.71358
77,83.11144045748799,91656416733.71358
78,84.14898303399286,91656416733.71358
79,85.0326441124325,91656416733.71358
80,83.18596266398808,91656416733.71358
81,82.81665881774994,91656416733.71358
82,81.47765632569948,91656416733.71358
83,80.46776722864935,91656416733.71358
84,77.89411180148673,91656416733.71358
85,77.543507133157,91656416733.71358
86,75.5557488815377,91656416733.71358
87,73.91620610156724,91656416733.71358
88,73.15983370228493,91656416733.71358
89,71.00708765086326,91656416733.71358
90,68.97237475561406,91656416733.71358
91,65.96202493871938,91656416733.71358
92,64.22378921625868,91656416733.71358
93,63.02292759202066,91656416733.71358
94,61.15151064221879,91656416733.71358
95,61.16532464912681,91656416733.71358
96,61.41416615571096,91656416733.71358
97,61.622669454778396,91656416733.71358
98,59.178209065697075,91656416733.71358
99,56.758348175527175,91656416733.71358
100,55.115288144431645,91656416733.71358
101,54.58191161436262,91656416733.71358
102,55.20650182089683,91656416733.71358
103,55.025097774563605,91656416733.71358
104,54.72699326003749,91656416733.71358
105,53.280518995110064,91656416733.71358
106,54.367819309996406,91656416733.71358
107,55.25109310205242,91656416733.71358
108,55.97352787199592,91656416733.71358
109,55.219479197808454,91656416733.71358
110,54.77849439911759,91656416733.71358
111,53.50610756394999,91656416733.71358
112,53.01818738403567,91656416733.71358
113,53.37741314451634,91656416733.71358
114,52.849307986216374,91656416733.71358
115,53.361291303631866,91656416733.71358
116,53.07740984388681,91656416733.71358
117,52.063852636970175,91656416733.71358
118,50.32989750742623,91656416733.71358
119,50.17088464464778,91656416733.71358
120,51.49148890208467,91656416733.71358
121,51.81597998219947,91656416733.71358
122,51.44816643482121,91656416733.71358
123,50.03157684160368,91656416733.71358
124,48.7318039677719,91656416733.71358
125,48.12006461380295,91656416733.71358
126,47.168540365568106,91656416733.71358
127,46.81959128697966,91656416733.71358
128,46.731597077497725,91656416733.71358
129,47.58412979343041,91656416733.71358
130,47.830927365898845,91656416733.71358
131,47.57152442608038,91656416733.71358
132,47.1542975199353,91656416733.71358
133,46.664923072833055,91656416733.71358
134,46.255279610644614,91656416733.71358
135,46.8630894734887,91656416733.71358
136,46.0508200965811,91656416733.71358
137,45.22205662229475,91656416733.71358
