iter,sigma,best_value
1,1.0930278342105677,9692435594.956186
2,1.3255407864817694,9347773637.701145
3,1.6489702643505308,8782990717.348377
4,2.2046646621907233,8229494537.741247
5,2.9864715491888565,7406882009.71365
6,4.215424605208047,6111733083.193784
7,5.614030615966744,5235914883.69383
8,7.704010580757518,3942824939.3723783
9,11.97584110418777,994167428.9335672
10,17.1200744020159,197145776.1631943
11,23.72290665552058,191800974.50159574
12,29.298810798253363,49035971.28673856
13,33.168153099460135,49035971.28673856
14,39.244950868702,715219.7690164356
15,47.093200986302605,715219.7690164356
16,61.2027700187853,233904.78034894168
17,73.84379287035203,233904.78034894168
18,85.06472122630778,233904.78034894168
19,99.86670857720902,233904.78034894168
20,118.47407314028409,233904.78034894168
21,145.1310143658278,233904.78034894168
22,175.83809626530254,233904.78034894168
23,191.28334779287292,233904.78034894168
24,197.98484794278613,233904.78034894168
25,209.00058962628677,233904.78034894168
26,215.55734571641938,233904.78034894168
27,243.01661030235172,233904.78034894168
28,275.9727303037601,233904.78034894168
29,269.6988756261811,233904.78034894168
30,264.88269282762514,233904.78034894168
31,289.5731455922445,233904.78034894168
32,325.20506201357307,233904.78034894168
33,378.7763978421502,233904.78034894168
34,423.14000845280555,233904.78034894168
35,448.6442949993243,233904.78034894168
36,463.55785101521593,233904.78034894168
37,491.8656359508873,233904.78034894168
38,503.30931835596533,233904.78034894168
39,527.4159010710073,233904.78034894168
40,597.7357902175922,233904.78034894168
41,648.8064307371245,233904.78034894168
42,700.5559989323439,233904.78034894168
43,720.6558038295123,233904.78034894168
44,750.8418521970968,233904.78034894168
45,823.8555239168677,233904.78034894168
46,840.6135978533158,233904.78034894168
47,914.0271231211299,233904.78034894168
48,984.9382701126548,233904.78034894168
49,1056.4286657223918,233904.78034894168
50,1149.2513245142677,233904.78034894168
51,1287.4888745617905,233904.78034894168
52,1341.9973759420786,233904.78034894168
53,1496.398732972093,233904.78034894168
54,1511.5152619564722,233904.78034894168
55,1761.279918500475,233904.78034894168
56,2068.0371358969196,233904.78034894168
57,2417.189422827414,233904.78034894168
58,2641.9294119626766,233904.78034894168
59,2842.3515068854454,233904.78034894168
60,2939.3597203912614,233904.78034894168
61,3095.971390197812,233904.78034894168
62,3218.6739592676176,233904.78034894168
63,3456.454352164748,233904.78034894168
64,3484.9409550817013,233904.78034894168
65,3847.8303200592386,233904.78034894168
66,4330.254620644078,233904.78034894168
67,5303.1617504107235,233904.78034894168
68,5628.008932128791,233904.78034894168
69,6204.412182122969,233904.78034894168
70,6979.957780957182,233904.78034894168
71,7319.190647051256,233904.78034894168
72,7297.693080074663,233904.78034894168
73,8109.391370162896,233904.78034894168
74,9162.743832951985,233904.78034894168
75,10352.923509813365,233904.78034894168
76,12204.477571842865,233904.78034894168
77,12262.773348967368,233904.78034894168
78,12162.587670583745,233904.78034894168
79,12432.8349607751,233904.78034894168
80,14653.976271644855,233904.78034894168
81,16567.546609162648,233904.78034894168
82,18912.994239265518,233904.78034894168
83,21184.097582176237,233904.78034894168
84,23195.337582341563,233904.78034894168
85,25431.605895696695,233904.78034894168
86,29781.88085624949,233904.78034894168
87,33099.098220106556,233904.78034894168
88,35707.170140726026,233904.78034894168
89,35821.449147046624,233904.78034894168
90,41236.09431984719,233904.78034894168
91,46128.68285843528,233904.78034894168
92,51857.57236209836,233904.78034894168
93,59177.016875284375,233904.78034894168
94,66758.93569713747,233904.78034894168
95,71470.6907914788,233904.78034894168
96,80730.8417078889,233904.78034894168
97,89081.70302686268,233904.78034894168
98,99501.76157876341,233904.78034894168
99,105151.56906102317,233904.78034894168
100,104321.92333199634,233904.78034894168
101,105218.87920547946,233904.78034894168
102,113687.23634023637,233904.78034894168
103,116653.1078865903,233904.78034894168
104,117886.33786167315,233904.78034894168
105,129753.13334250322,233904.78034894168
106,131734.5405309708,233904.78034894168
107,159124.61422495052,233904.78034894168
108,181157.2245577644,233904.78034894168
109,212811.28115560632,233904.78034894168
110,253037.3281550748,233904.78034894168
111,246050.66044954988,233904.78034894168
112,256731.00314777935,233904.78034894168
113,246661.60101976615,233904.78034894168
114,244470.72603841548,233904.78034894168
115,253347.6434927589,233904.78034894168
116,257979.31171399663,233904.78034894168
117,275251.47140686313,233904.78034894168
118,308917.71983285237,233904.78034894168
119,332117.8920044834,233904.78034894168
120,365804.8857486411,233904.78034894168
121,407172.1865421659,233904.78034894168
122,448598.151800053,233904.78034894168
123,495774.765138246,233904.78034894168
124,515108.19505961874,233904.78034894168
125,509719.26915385533,233904.78034894168
126,514173.3274987182,233904.78034894168
127,494388.38536297204,233904.78034894168
128,529658.5952144563,233904.78034894168
129,603690.8552130116,233904.78034894168
130,724716.025491959,233904.78034894168
131,869998.8327346428,233904.78034894168
132,1009847.8481888226,233904.78034894168
133,1079433.8188322897,233904.78034894168
134,1086709.7892005981,233904.78034894168
135,1152496.657058956,233904.78034894168
136,1317452.3794978694,233904.78034894168
137,1496773.2769728056,233904.78034894168
138,1725723.960221825,233904.78034894168
139,2054213.3547453454,233904.78034894168
140,2081461.0494300185,233904.78034894168
141,2307866.720858132,233904.78034894168
142,2660255.4411774827,233904.78034894168
143,3065579.199370972,233904.78034894168
144,3381243.3648942276,233904.78034894168
145,3801060.3465023967,233904.78034894168
146,3862139.87845498,233904.78034894168
147,4175315.8701033304,233904.78034894168
148,4388322.08284432,233904.78034894168
149,4419655.18743041,233904.78034894168
150,5003190.369188846,233904.78034894168
151,5429438.933994729,233904.78034894168
152,5626371.099725954,233904.78034894168
153,6445161.010812935,233904.78034894168
154,6548341.018991351,233904.78034894168
155,6751637.350785711,233904.78034894168
156,7031901.5483303415,233904.78034894168
157,7273683.897039586,233904.78034894168
158,7690308.1970768925,233904.78034894168
159,8060021.24795177,233904.78034894168
160,8802131.7470837,233904.78034894168
161,9844986.501474012,233904.78034894168
162,10920239.671085646,233904.78034894168
163,11432111.71762362,233904.78034894168
164,11938807.77917235,233904.78034894168
165,12439540.801706167,233904.78034894168
166,13153461.912794154,233904.78034894168
167,13198507.493193673,233904.78034894168
168,14744728.830094028,233904.78034894168
169,14709470.880273247,233904.78034894168
170,16526428.743649427,233904.78034894168
171,18702722.921429794,233904.78034894168
172,19663295.00919666,233904.78034894168
173,21909956.846921287,233904.78034894168
174,24447749.573598243,233904.78034894168
175,28898505.66866441,233904.78034894168
176,32553276.727536913,233904.78034894168
177,34763554.75805616,233904.78034894168
178,38322569.60807339,233904.78034894168
179,43739277.89625956,233904.78034894168
180,47259844.32957692,233904.78034894168
181,53758020.80456172,233904.78034894168
182,61255645.1295387,233904.78034894168
183,69110422.54786702,233904.78034894168
184,73342623.2524816,233904.78034894168
185,82122616.47006424,233904.78034894168
186,100384892.42444035,233904.78034894168
187,110417547.25641686,233904.78034894168
188,115823658.10567543,233904.78034894168
189,128940362.85709919,233904.78034894168
190,130268865.61212754,233904.78034894168
191,136690847.111473,233904.78034894168
192,136828909.70636138,233904.78034894168
193,156417072.7267127,233904.78034894168
194,170307131.38971347,233904.78034894168
195,181285001.95546257,233904.78034894168
196,189963685.9086205,233904.78034894168
197,197071715.7290393,233904.78034894168
198,214609671.8073378,233904.78034894168
199,246593452.3963594,233904.78034894168
200,257879197.73916984,233904.78034894168
201,264390647.4106477,233904.78034894168
202,285090964.62892437,233904.78034894168
203,289369511.68417966,233904.78034894168
204,303128441.98946273,233904.78034894168
205,335074621.3699732,233904.78034894168
206,355924099.12136686,233904.78034894168
207,386558393.0142837,233904.78034894168
208,410283498.678261,233904.78034894168
209,446041330.8994324,233904.78034894168
210,441048945.79669,233904.78034894168
211,426059342.92177045,233904.78034894168
212,433857130.462746,233904.78034894168
213,434019625.3427508,233904.78034894168
214,431328264.5854424,233904.78034894168
215,419399370.37541085,233904.78034894168
216,431315482.59957635,233904.78034894168
217,448622914.1110711,233904.78034894168
218,478739267.3950347,233904.78034894168
219,528478889.6868987,233904.78034894168
220,597290286.3879678,233904.78034894168
221,678177549.5788214,233904.78034894168
222,751320312.7298849,233904.78034894168
223,835266000.5283555,233904.78034894168
224,845183320.2976274,233904.78034894168
225,950413108.1874472,233904.78034894168
226,966300323.8366423,233904.78034894168
227,1050850899.0771947,233904.78034894168
228,1130507539.1269288,233904.78034894168
229,1141184961.8124187,233904.78034894168
230,1138318840.4655719,233904.78034894168
231,1157290662.400287,233904.78034894168
232,1223131664.8588567,233904.78034894168
233,1194556283.0033596,233904.78034894168
234,1114057001.4488318,233904.78034894168
235,1041550432.5007662,233904.78034894168
236,1094850603.7547615,233904.78034894168
237,1205367704.9325535,233904.78034894168
238,1258743735.228514,233904.78034894168
239,1334223204.4932065,233904.78034894168
240,1437003156.030946,233904.78034894168
241,1597716050.1177998,233904.78034894168
242,1609189275.676573,233904.78034894168
243,1662755324.356715,233904.78034894168
244,1711185105.1213605,233904.78034894168
245,1908664063.497325,233904.78034894168
246,2035436327.3896358,233904.78034894168
247,2192969560.743501,233904.78034894168
248,2455938636.2145123,233904.78034894168
249,2501874270.2989154,233904.78034894168
250,2716962362.9459677,233904.78034894168
251,3130228585.8747606,233904.78034894168
252,3024796715.1112404,233904.78034894168
253,3014944013.1785703,233904.78034894168
254,2899254781.911547,233904.78034894168
255,3088330236.8517427,233904.78034894168
256,3287616458.1429586,233904.78034894168
257,3675250197.3694787,233904.78034894168
258,3959674224.9530983,233904.78034894168
259,3810932603.838312,233904.78034894168
260,4139611372.724755,233904.78034894168
261,4018265037.252204,233904.78034894168
262,4162500533.697677,233904.78034894168
263,4442239560.652013,233904.78034894168
264,4593461182.59011,233904.78034894168
265,4616822926.229356,233904.78034894168
266,4466068880.57652,233904.78034894168
267,4430458311.0379095,233904.78034894168
268,4329757985.104782,233904.78034894168
269,4438499713.171713,233904.78034894168
270,4529603627.724856,233904.78034894168
271,5082489747.684975,233904.78034894168
272,5188103905.1331005,233904.78034894168
273,5700400261.442055,233904.78034894168
274,6149687969.101465,233904.78034894168
275,5868518599.677227,233904.78034894168
276,5899550141.215616,233904.78034894168
277,5983137229.351329,233904.78034894168
278,5891164353.401048,233904.78034894168
279,5699219933.166741,233904.78034894168
280,5957875781.856486,233904.78034894168
281,6051592065.356681,233904.78034894168
282,6079941539.510285,233904.78034894168
283,5472161116.219887,233904.78034894168
284,5598337695.830433,233904.78034894168
285,6321350027.524913,233904.78034894168
286,7274081700.260365,233904.78034894168
287,7209978788.131638,233904.78034894168
288,6671912023.098325,233904.78034894168
289,6753858854.445615,233904.78034894168
290,7153450861.878518,233904.78034894168
291,7385314015.634152,233904.78034894168
292,7508625368.07006,233904.78034894168
293,7196468041.970058,233904.78034894168
294,7402756874.319293,233904.78034894168
295,7712141464.093167,233904.78034894168
296,7427413821.823367,233904.78034894168
297,7466446452.921245,233904.78034894168
298,7860203848.525966,233904.78034894168
299,8611046740.034851,233904.78034894168
300,8625081176.51714,233904.78034894168
301,8621551954.283497,233904.78034894168
302,8727780435.516464,233904.78034894168
303,8798350955.570515,233904.78034894168
304,9517770502.210907,233904.78034894168
305,9093364621.76507,233904.78034894168
306,8491007613.91463,233904.78034894168
307,8361026954.367619,233904.78034894168
308,8273994841.600668,233904.78034894168
309,8231686486.69137,233904.78034894168
310,7999599609.705304,233904.78034894168
311,7280001584.901769,233904.78034894168
312,7802784004.2169075,233904.78034894168
313,7299710080.455472,233904.78034894168
314,7169780334.029585,233904.78034894168
315,6652172774.007307,233904.78034894168
316,7228026303.490475,233904.78034894168
317,7173339099.670291,233904.78034894168
318,7084824415.954219,233904.78034894168
319,6950928943.228986,233904.78034894168
320,7473902506.566457,233904.78034894168
321,7169436232.177257,233904.78034894168
322,6583438843.785663,233904.78034894168
323,6986410588.521747,233904.78034894168
324,7243271364.506025,233904.78034894168
325,7179736762.542049,233904.78034894168
326,7410667983.348271,233904.78034894168
327,8028293993.643942,233904.78034894168
328,8072945998.919875,233904.78034894168
329,9047183607.382694,233904.78034894168
330,8834109292.385248,233904.78034894168
331,8566137684.910769,233904.78034894168
332,8351689892.177868,233904.78034894168
333,8505142751.399795,233904.78034894168
334,8387543809.004158,233904.78034894168
335,8195776364.814407,233904.78034894168
336,8265460045.277032,233904.78034894168
337,8650328139.809067,233904.78034894168
338,8942338495.375818,233904.78034894168
339,8982519890.689259,233904.78034894168
340,8698852376.839909,233904.78034894168
341,8554645027.636264,233904.78034894168
342,8342495703.324155,233904.78034894168
343,8308839798.8897295,233904.78034894168
344,8561324605.438896,233904.78034894168
345,8382137661.896329,233904.78034894168
346,8299185689.68473,233904.78034894168
347,8086100903.71862,233904.78034894168
348,8349130409.146651,233904.78034894168
349,8406006558.907107,233904.78034894168
350,8309495505.772678,233904.78034894168
351,8206570069.214593,233904.78034894168
352,7986178033.11031,233904.78034894168
353,7639795185.178183,233904.78034894168
354,7166514981.188069,233904.78034894168
355,7448246425.09652,233904.78034894168
356,7214129326.748158,233904.78034894168
357,7240943383.598031,233904.78034894168
358,7421011162.321271,233904.78034894168
359,7829903858.580342,233904.78034894168
360,7992318192.79266,233904.78034894168
361,8094100007.600882,233904.78034894168
362,8134846854.226196,233904.78034894168
