iter,sigma,best_value
1,1.056664983053319,2798379.898098871
2,1.217500296807628,2777057.558749058
3,1.4242193386764295,2749528.0794468224
4,1.6544789977517005,2738087.2793969284
5,1.945398085840355,2673083.963364667
6,2.4201242581161537,2615975.4740896747
7,3.146915839889,2516481.128753297
8,4.000379540774901,2464003.6161803775
9,5.4574924761144095,2296425.4580256846
10,7.3551155431677815,2076022.2938226545
11,11.167025385221493,1677451.2343610066
12,14.862418950636593,1677451.2343610066
13,20.202440426505614,1248821.625423221
14,30.933281005361923,538238.8362572584
15,47.67752438697053,40176.20223879797
16,60.969324031182,40176.20223879797
17,77.69058633267262,31251.97860291123
18,97.46932569437588,31251.97860291123
19,107.75932224770084,31251.97860291123
20,114.13447400717511,31251.97860291123
21,114.26602486580133,31251.97860291123
22,120.85246878564705,31251.97860291123
23,120.85228608662644,31251.97860291123
24,113.48737926743391,31251.97860291123
25,120.04910186211544,31251.97860291123
26,138.23454263050903,31251.97860291123
27,136.88649740157618,31251.97860291123
28,152.13292693518133,31251.97860291123
29,158.08411877457732,31251.97860291123
30,167.23734687483707,31251.97860291123
31,191.793761878621,31251.97860291123
32,191.02706724427898,31251.97860291123
33,192.15175502227422,31251.97860291123
34,181.61642763934145,31251.97860291123
35,161.59336458201264,31251.97860291123
36,153.54243168983433,31251.97860291123
37,152.95009666877155,31251.97860291123
38,165.84846197583198,31251.97860291123
39,191.72809109794292,31251.97860291123
40,198.24079893577613,31251.97860291123
41,192.0363505251172,31251.97860291123
42,194.0484229598644,31251.97860291123
43,187.3900616864979,31251.97860291123
44,219.11774704476545,31251.97860291123
45,242.62961570693463,31251.97860291123
46,280.05112505407965,31251.97860291123
47,285.77013433047154,31251.97860291123
48,283.95670280985706,31251.97860291123
49,283.7034291542359,31251.97860291123
50,256.8508750630727,31251.97860291123
51,274.5479838956682,31251.97860291123
52,286.9362677177484,31251.97860291123
53,285.56940308181106,31251.97860291123
54,298.44511785448526,31251.97860291123
55,279.81161086442114,31251.97860291123
56,265.42569082902014,31251.97860291123
57,278.8788599361554,31251.97860291123
58,303.3380226424238,31251.97860291123
59,325.2366725464522,31251.97860291123
