iter,sigma,best_value
1,0.9359085191250587,281751983912.2631
2,0.9082930682729474,279714721160.9714
3,0.8922637163769932,279714721160.9714
4,0.8885361628450497,278683503604.11615
5,0.9015646091531543,275696880046.82324
6,0.915572813759588,272662520462.46603
7,0.9543314709478611,270895930288.28668
8,1.0225240707335026,267800639133.0509
9,1.1024900125485824,266317737024.6225
10,1.2097406065066145,262776000278.27527
11,1.347224665724138,258726343516.81097
12,1.4948811235216872,258122561759.50098
13,1.6705770918860932,253713905460.63153
14,1.853774643086431,250217628816.13574
15,2.0630671727755883,245504778488.01157
16,2.2789804504139197,240074381968.12097
17,2.592136514781007,230553082363.58676
18,2.9113002866727196,223422236294.08914
19,3.3064267765839332,220963981538.93448
20,3.7241617891450307,217214771469.52255
21,4.11518023820597,212573360043.09024
22,4.460957739171689,207994952098.24255
23,4.834428489025847,201772219009.83685
24,5.319647844636999,192982514093.15903
25,5.760852181875823,187731150503.6259
26,6.114968940570952,185579931136.15332
27,6.635885064883532,168846826956.14862
28,7.145624064352598,160241921477.4282
29,7.79684238329809,138593829757.95517
30,8.385038580121243,135387451394.37973
31,9.189559628551482,123856395540.53154
32,10.030355817242372,115037841529.13152
33,11.037914322224106,102481648125.87381
34,12.342874420619655,95493465254.26836
35,13.986839746621344,84738443518.41322
36,15.605567579761704,55290843713.317955
37,17.005800289321982,55290843713.317955
38,18.306547951550083,50987337827.018166
39,19.888795465662255,41208020875.54809
40,21.379383854364796,33014879975.271675
41,23.370694657756193,20120811668.702587
42,25.526272622163198,18890795755.1515
43,27.761775346361112,16593032835.250978
44,30.203869863918747,9227963657.84506
45,32.29006620527192,9227963657.84506
46,34.47607714156999,9227963657.84506
47,36.606154115086056,7366249369.508947
48,38.10188241231826,7166371245.625697
49,38.66556177078678,7166371245.625697
50,39.76071341986495,7166371245.625697
51,40.10403636160257,7166371245.625697
52,40.58896621841965,7166371245.625697
53,40.03059261520751,7166371245.625697
54,40.22044975239483,7166371245.625697
55,39.76096904216064,7166371245.625697
56,39.05565566914348,7166371245.625697
57,38.10041798561831,7166371245.625697
58,36.706107198420696,7166371245.625697
59,34.41971769706075,7166371245.625697
60,33.214196849779285,7166371245.625697
61,32.28999763132286,7166371245.625697
62,31.18580437455193,7062126211.846433
63,30.2145147773608,7062126211.846433
64,28.56694286881266,3609167847.069524
65,27.02070616180513,3609167847.069524
66,25.788856400129482,3609167847.069524
67,24.61807400275971,3609167847.069524
68,23.252436433361094,3609167847.069524
69,22.12370194985373,2054709698.5961854
70,21.143750834663123,2054709698.5961854
71,20.09968904148177,2054709698.5961854
72,19.214651884660913,1635202964.3823817
73,18.92688896931216,1635202964.3823817
74,18.627668890075753,1518126644.730164
75,18.199889719246176,948123317.0097966
76,17.672342246686156,948123317.0097966
77,17.384679507397795,948123317.0097966
78,16.73531020303207,865160391.6154187
79,15.981795173114286,435441780.53725016
80,15.376821949842869,325839193.94653094
81,14.44505360204139,273226248.2135922
82,14.070226361209455,273226248.2135922
83,13.767941060364079,273226248.2135922
84,13.396112045510804,234175530.93172675
85,12.860978008550491,125439463.90424597
86,12.138445491302045,125439463.90424597
87,11.600127042758585,54901371.29062498
88,11.138534481696643,54901371.29062498
89,10.922520221256606,54901371.29062498
90,10.54815870397344,54901371.29062498
91,10.215158126146543,54901371.29062498
92,9.854763907729025,54901371.29062498
93,9.423087479884673,37293478.09623745
94,9.19298695931335,37293478.09623745
95,8.923835935117486,37293478.09623745
96,8.740863697265437,37293478.09623745
97,8.541917341318737,31005720.23417157
98,8.165168788868282,31005720.23417157
99,7.901192463790092,25619278.52072578
100,7.573846534471022,17309911.156785607
101,7.405879139716604,14868177.44307941
102,7.091754054545058,9130417.90669001
103,6.841289874361232,8807993.370930031
104,6.47471905435267,8807993.370930031
105,6.202733032765864,4841392.556248692
106,5.972258683610257,4841392.556248692
107,5.709128075540572,4841392.556248692
108,5.385815830958853,4841392.556248692
109,5.12048307321846,4195544.493611899
110,4.940610993507002,2304079.898468486
111,4.825775243194419,2304079.898468486
112,4.759803897998864,2304079.898468486
113,4.692369483303984,2304079.898468486
114,4.576515395141688,2304079.898468486
115,4.424637007549174,2304079.898468486
116,4.2599736198273295,2304079.898468486
117,4.049747012511627,1622696.6062313498
118,3.8484659267914583,1622696.6062313498
