iter,sigma,best_value
1,0.9237997824203128,2820293.185942134
2,0.9899632047945609,2789052.032639266
3,1.0857126580685164,2759230.4911660166
4,1.3012376606677636,2730900.1853680513
5,1.5382253994666657,2694640.089878757
6,1.801664939826763,2648863.345269759
7,2.2749176551039105,2575806.3461393327
8,2.6941560795521964,2532414.3436162723
9,3.1353850076643437,2518835.8049097
10,3.761174944304541,2401486.8740778384
11,5.209697405041366,2187109.515688072
12,6.4604713760462875,2111872.6323430617
13,7.979696944554772,1909225.90388995
14,9.243019864595674,1710611.0848577386
15,10.488431335735587,1710611.0848577386
16,12.365822323350102,1416315.7714759256
17,14.941745901590437,1118340.093688557
18,17.190088883953727,910315.4535445931
19,18.57468018061096,896659.1687455308
20,20.463701438840797,576648.4536633486
21,23.84644841193675,366046.7850493182
22,30.369323147215184,92875.73853152346
23,36.115839260374734,21714.579601055597
24,41.38030980351619,20142.571456918617
25,44.280685920197875,20142.571456918617
26,44.719289749633596,8456.182834402465
27,43.66698799330758,8456.182834402465
28,41.152353987339694,8456.182834402465
29,41.62468342596187,8456.182834402465
30,41.32948830297305,8456.182834402465
31,42.68615288634306,8456.182834402465
32,41.70065022731565,8456.182834402465
33,37.20718923169959,5894.44828669035
34,32.344419379294855,5894.44828669035
35,28.897868630267595,5894.44828669035
36,27.131832430848448,4457.864136021474
37,26.334858951643614,4457.864136021474
38,25.281104743818123,4457.864136021474
39,24.3965806737721,4457.864136021474
40,22.416196253528472,4068.491006093663
41,21.913271487311277,4068.491006093663
42,21.109750716289213,3305.926372253707
43,20.61828674631613,2337.1839022485433
44,23.026155289060924,2337.1839022485433
45,22.757477654214018,2337.1839022485433
46,22.28352894448704,2337.1839022485433
47,21.067090926789277,2337.1839022485433
48,20.166291967180896,2337.1839022485433
49,17.822716979653645,2337.1839022485433
50,16.227932091944847,1760.339271503505
51,15.294968892826196,1483.176775202149
52,15.003377887800053,1483.176775202149
53,13.863508821912312,1483.176775202149
54,13.055995634856856,1483.176775202149
55,12.493384671760168,1483.176775202149
56,13.324936229010214,1483.176775202149
57,13.678697851970433,985.5234633927289
58,13.274580838739857,985.5234633927289
59,12.80368517907396,985.5234633927289
60,12.525519422360965,921.9589334715199
61,12.053970101977377,921.9589334715199
62,11.171084514564555,921.9589334715199
63,10.461203724903681,918.0009229453674
64,10.661949329951788,520.2087284488491
65,10.98087313871646,520.2087284488491
66,10.507010072573033,520.2087284488491
67,9.985764121086685,520.2087284488491
68,8.686161586055231,520.2087284488491
69,8.068333994348423,520.2087284488491
70,7.033926095549934,520.2087284488491
71,6.230553018876968,520.2087284488491
72,5.557684735315616,468.43715061060584
73,5.073781178130763,468.43715061060584
74,4.91429357307065,468.43715061060584
75,4.787196123940812,468.43715061060584
76,4.661188520857852,457.66637106327687
77,4.262213949361788,457.66637106327687
78,4.218183729054943,457.66637106327687
79,4.11594129028265,457.66637106327687
80,4.338082927671607,415.96180465445275
81,4.572011118687585,323.5669160721871
82,4.761607150411842,305.2010566266219
83,5.1822358488214,257.2691591509428
84,5.527174851687079,210.74780323237104
85,5.994768084165863,210.74780323237104
86,5.8463405025036925,210.74780323237104
87,5.3239359171903935,210.74780323237104
88,5.131817521140404,210.74780323237104
89,5.163246853343251,210.74780323237104
90,5.228563924128055,210.74780323237104
91,5.098177329832946,210.74780323237104
92,4.853111901797989,210.74780323237104
93,4.683958887582947,210.74780323237104
94,4.658639136514223,210.74780323237104
95,4.67363523212941,210.74780323237104
96,4.397827099905507,210.74780323237104
97,4.002299175170612,210.74780323237104
98,3.6509418690121818,194.70543567704067
99,3.4320221188279207,194.70543567704067
100,3.5356661484691365,194.70543567704067
101,3.6580371942674774,185.1248512880149
102,3.5980401578393346,185.1248512880149
103,3.4385343718002934,148.7629243219515
104,3.1912862454852866,144.2652402389266
105,2.9220143332144914,144.2652402389266
106,3.0655713517744543,136.59952893264395
107,3.0135061589654297,127.38258430367972
108,2.979100951956596,116.83699061087309
109,3.09479141097909,92.45500739506178
110,3.063445601976441,84.83665659641976
111,3.026061541039274,76.40426603189312
112,3.2702896372259485,71.24461950868138
113,3.4665406698108616,66.61827756734117
114,3.223713657008183,66.61827756734117
115,3.2975407372859076,50.422080465354504
116,3.4667539541437176,50.422080465354504
117,3.381113709105173,31.199767846196288
118,3.15925114314125,31.199767846196288
119,3.1372250187892448,31.199767846196288
120,3.19886931709606,28.775494997792475
121,3.0977942002780976,10.910728325371377
122,3.0443976022608212,10.910728325371377
123,2.912031095523817,10.910728325371377
124,3.04422714233863,10.910728325371377
125,2.843256317938306,5.768132289932463
126,2.81341216366168,5.768132289932463
127,2.6121126494721305,3.925891259493643
128,2.3986520239740976,3.925891259493643
129,2.2530850528482396,3.925891259493643
130,2.2077651009670407,3.925891259493643
131,2.26373137324704,3.925891259493643
132,2.117804782570136,3.925891259493643
133,2.0026641825989477,3.925891259493643
134,1.8244156888848162,3.925891259493643
135,1.5726171915234568,3.925891259493643
136,1.4169533943649528,2.4294971292368426
137,1.375915691103906,1.3960461107156872
138,1.3949250953093661,1.3960461107156872
139,1.2968154308246582,1.3960461107156872
140,1.2257044084564408,1.3960461107156872
141,1.1712031733111474,1.2285275386828292
142,1.1535941691017004,1.2285275386828292
143,1.1601786988339586,1.1086556210480842
144,1.1419472568308622,1.1086556210480842
145,1.0670117532192194,0.7336771212171955
146,0.9573742607707689,0.4311967632050762
147,0.8483307843758083,0.4311967632050762
148,0.7727110380309683,0.4311967632050762
149,0.6924254180219362,0.4311967632050762
150,0.639713975268827,0.4311967632050762
151,0.5994783759288815,0.2410674281210762
152,0.5594668916961247,0.2410674281210762
153,0.5453048954581637,0.2410674281210762
154,0.5307032239216466,0.2410674281210762
155,0.48804002668619545,0.2195878207773768
156,0.4497669192108922,0.07364066792333918
157,0.39962098651201,0.07364066792333918
158,0.37446553053009834,0.07364066792333918
159,0.3686197293553242,0.06624005281385369
160,0.3665986902616109,0.06624005281385369
161,0.3399418211988042,0.06624005281385369
162,0.3044065400495472,0.06624005281385369
163,0.2874576939109289,0.06624005281385369
164,0.27685570289351086,0.05881960410720889
165,0.2786451224418502,0.05881960410720889
166,0.26294400278418073,0.016318529301096254
167,0.23834213918837602,0.016318529301096254
168,0.22218195519714604,0.016318529301096254
169,0.22240953790733436,0.016318529301096254
170,0.20790920321191442,0.016318529301096254
171,0.19396040079961352,0.016318529301096254
172,0.17935465204279538,0.016318529301096254
