iter,sigma,best_value
1,0.9428103564379637,9673677250.124916
2,0.9814186949205373,9599641472.098867
3,1.003120102809251,9446870218.430511
4,1.0865296304700416,9340258099.96204
5,1.1909318699670894,9067202579.058128
6,1.2358336607694054,9067202579.058128
7,1.2623766724436734,8888281463.909166
8,1.407118093876312,8363663413.110754
9,1.6262672049264886,8070835574.491531
10,1.8816690657155095,7726539596.1494055
11,2.2305048411983273,6863722693.226873
12,2.7770906410886065,6119158744.543124
13,3.4955172378389014,5425678071.886464
14,4.102176112689468,5105568365.575385
15,4.590411497006016,4715996614.450038
16,5.46986287072932,2759593768.58917
17,5.951058481369319,2759593768.58917
18,6.947321560705628,2197503828.89857
19,8.097147873741994,1650252717.5192237
20,9.821526814665344,243441834.6513993
21,11.676026525910945,103774.2259650291
22,13.060464156114715,103774.2259650291
23,13.696436231205036,103774.2259650291
24,13.629702578729276,103774.2259650291
25,13.38580551106359,103774.2259650291
26,13.532013310031349,103774.2259650291
27,13.247828739433595,103774.2259650291
28,12.30052087106457,103774.2259650291
29,11.323759458661288,103774.2259650291
30,10.531810932213226,103774.2259650291
31,9.852558460486582,103774.2259650291
32,8.724140744974136,103774.2259650291
33,8.194928179418117,103774.2259650291
34,8.243989820501112,103774.2259650291
35,8.143084461015405,103774.2259650291
36,8.195180903376492,103774.2259650291
37,7.335345222457527,103774.2259650291
38,6.6764576584534865,103774.2259650291
39,6.197794503828343,103774.2259650291
40,6.170598351461884,103774.2259650291
41,6.09610680722947,103774.2259650291
42,6.038319354282192,103774.2259650291
43,5.44356839860784,103774.2259650291
44,5.14752799541942,103774.2259650291
45,5.154322711793752,103774.2259650291
46,5.191416516885764,103774.2259650291
47,5.490886206815734,103774.2259650291
48,5.630093953688773,103774.2259650291
49,5.607018062266792,103774.2259650291
50,5.337842500223942,103774.2259650291
51,4.788759657498723,103774.2259650291
52,4.60756412482786,103774.2259650291
53,4.591544726149795,103774.2259650291
54,4.652148140254052,103774.2259650291
55,4.547747973478861,103774.2259650291
56,4.313519949025422,103774.2259650291
57,3.9903251905235084,103774.2259650291
58,3.891168666152184,103774.2259650291
59,3.7041936187060935,103774.2259650291
60,3.4397745669629916,103774.2259650291
61,3.4116761626903083,103774.2259650291
62,3.627406901182515,103774.2259650291
63,3.960663668177458,103774.2259650291
64,3.700102991371472,103774.2259650291
65,3.4107803467531306,103774.2259650291
66,3.2313480629762887,103774.2259650291
67,3.2039089300527364,103774.2259650291
68,2.962296581546842,103774.2259650291
69,2.7804016224969206,103774.2259650291
70,2.6445840710216686,103774.2259650291
