iter,sigma,best_value
1,0.9457535020762564,279805036787.22437
2,0.9145215679933993,278425398601.2937
3,0.8932416032056962,277233026098.91595
4,0.8916260559499668,275737828908.7997
5,0.9320706275376086,271185289154.88947
6,1.0077629120184508,269364909331.2593
7,1.0951486764630771,267050474659.61157
8,1.1880638280821008,263795135313.08313
9,1.3035140716252622,260709871927.53162
10,1.4259102985345458,259307624338.6901
11,1.564158106699501,254547972747.78104
12,1.6849339140293813,254151472103.8291
13,1.8267038447421633,249011796005.54477
14,1.9990156135820656,244684061468.438
15,2.143990682864221,242054726995.20184
16,2.3862571617814226,233554600502.9287
17,2.666342297044453,225539333683.50253
18,3.0078166064513865,215237137988.16373
19,3.3561006708000667,213171212186.4583
20,3.717176287142773,209863504649.49634
21,4.136590784200381,201243542139.423
22,4.627831701569698,189931608103.46667
23,5.204274073199781,183059019476.27167
24,5.833972888358553,174977493368.5838
25,6.472626926971179,167959652574.59937
26,7.1206535040445464,158887193538.53723
27,7.8520831584122766,142297326373.60413
28,8.637956356253248,129390361804.89586
29,9.699267417014223,111317028635.07207
30,10.927272427640197,98313572479.79248
31,12.173352841480167,89805351912.92747
32,13.494664615167808,81025227530.41547
33,15.118279912896993,67464014044.403305
34,16.63575673619887,67464014044.403305
35,17.737871867707508,52308197248.29582
36,19.035729727016857,48630532627.83381
37,20.738236873468402,34563352204.737915
38,22.61554265890451,33234957724.338757
39,24.30099783213541,33234957724.338757
40,26.276494485814435,25672433914.686485
41,28.529094523819932,19541779510.630432
42,30.861272657644204,16694194959.300184
43,33.229700505512426,16694194959.300184
44,34.8337428837376,12082281499.44679
45,36.07381127003557,12082281499.44679
46,36.31523626416885,12082281499.44679
47,36.554113399885,12082281499.44679
48,36.52100809731575,11780468930.226776
49,36.3085233251719,9062361882.180416
50,35.98590035121024,8771686169.858072
51,34.99435096753587,8771686169.858072
52,33.93719575547688,4448321512.763662
53,32.72787873202135,3214897497.2747993
54,32.1121996561812,3214897497.2747993
55,31.169315458959442,3214897497.2747993
56,30.620774647077056,3214897497.2747993
57,29.771982023406615,3214897497.2747993
58,28.37558922409881,3214897497.2747993
59,26.977530817567228,3214897497.2747993
60,25.674124196884126,3214897497.2747993
61,24.59652571809801,3214897497.2747993
62,23.714646167138167,3078562694.053293
63,22.963996007000148,3078562694.053293
64,22.3499250569209,3078562694.053293
65,21.69804464373847,3078562694.053293
66,21.224050818762283,3078562694.053293
67,20.732653047282326,3078562694.053293
68,19.872191403206255,3078562694.053293
69,19.35150687411752,2570051492.9443192
70,18.367466542583735,2111697832.6567886
71,17.880442727360318,1224538315.916819
72,17.099973809656447,1224538315.916819
73,16.218570767325836,620643854.839925
74,15.380442483972505,620643854.839925
75,14.942257039028789,456856029.66133887
76,14.70932096239212,344864101.9419974
77,14.574531877218268,241589665.1371057
78,14.463990725618553,241589665.1371057
79,14.092245278138096,131648602.66897684
80,13.830224473581827,131648602.66897684
81,13.608474408654624,131648602.66897684
82,13.366866439056109,131648602.66897684
83,12.959781992716977,118675862.6041209
84,12.480491338978323,118675862.6041209
85,11.850102237675781,118675862.6041209
86,11.461028333632449,89595297.22618642
87,11.030282576253084,89595297.22618642
88,10.571604878705896,55177641.19651772
89,10.072920388190227,49934028.09787807
90,9.566208110648216,35859031.26513135
91,8.995866233215919,19894370.743707478
92,8.601601365871197,19894370.743707478
93,8.33876694361944,19894370.743707478
94,7.88532889014389,19894370.743707478
95,7.549864091710209,19894370.743707478
96,7.179270115929297,19894370.743707478
97,6.84977690766844,14529861.116408005
98,6.617169935506783,13236314.700062335
99,6.417558031254033,13236314.700062335
100,6.112046258499033,10655279.804171778
101,5.829817468462816,8072485.203412381
102,5.556422252003245,2267143.2074919106
103,5.286728811842425,2267143.2074919106
104,5.072255012119395,2267143.2074919106
105,4.766761728768084,2267143.2074919106
106,4.467996914015114,2267143.2074919106
107,4.314532499475771,2267143.2074919106
108,4.136773381840541,2267143.2074919106
109,3.9832294269628603,2267143.2074919106
110,3.830353970470618,1666891.913617368
111,3.6570732793823315,1666891.913617368
112,3.5090480824177788,1471223.1998463038
113,3.356678145762471,1148846.3222130402
114,3.221071616908337,863251.2023904709
115,3.0833617351550173,863251.2023904709
116,2.9502995161225454,617523.6996214986
117,2.866432061041356,413579.16465208156
118,2.8043750870231796,413579.16465208156
119,2.698165947743177,366260.9503155061
120,2.592117437860394,366260.9503155061
121,2.4958546745444505,125386.20177256683
122,2.4335240857184637,125386.20177256683
123,2.4024542918796645,125386.20177256683
124,2.3259801651064005,125386.20177256683
125,2.2661177244550923,125386.20177256683
126,2.187697361284212,125386.20177256683
127,2.1045628109801,125386.20177256683
128,2.02629951398914,125386.20177256683
129,1.9429803595538446,125386.20177256683
130,1.8847293264957499,125386.20177256683
131,1.8879697687123052,118102.11114848834
132,1.8521682738593597,118102.11114848834
133,1.8012144861782056,118102.11114848834
134,1.7805144624175782,118102.11114848834
135,1.7360900613154633,77623.85150707002
136,1.6774384571944834,70264.973494597
137,1.608259059993304,70264.973494597
138,1.5118725620231745,40518.82163248105
139,1.4133763325226794,40518.82163248105
140,1.3421219902830022,33942.123629480106
141,1.3038944585267247,27773.456949102354
142,1.2519191259072042,27773.456949102354
143,1.2138859088670235,27773.456949102354
144,1.1837201462698104,18508.259923747537
145,1.1432879543330323,11302.077321719295
146,1.114721230008105,11302.077321719295
147,1.0810110885849806,11302.077321719295
148,1.0363201727438747,11302.077321719295
149,1.0136392442236928,11302.077321719295
150,0.9697981964630412,11302.077321719295
151,0.9256353586617425,11302.077321719295
152,0.9034351804191011,11302.077321719295
153,0.8935508676105072,11302.077321719295
154,0.8856104494073213,11302.077321719295
155,0.8741281215511149,11302.077321719295
156,0.867023077132018,11302.077321719295
157,0.8354199731850392,11302.077321719295
158,0.8269410110036085,11302.077321719295
159,0.8104207034828577,11302.077321719295
160,0.7846072079760696,11302.077321719295
161,0.7557858110645655,11302.077321719295
162,0.7176690017251192,11302.077321719295
163,0.6860485122728096,11302.077321719295
164,0.6651099876372274,10517.346447534703
165,0.6550155136664718,10517.346447534703
166,0.6500661699094606,8361.727814971668
167,0.6464631911413604,4932.01488682839
168,0.6422229806395261,4932.01488682839
169,0.635808337814693,4932.01488682839
170,0.6210620764719627,4932.01488682839
171,0.6110335952161107,4309.238177199976
172,0.5989019100915378,4214.263295492015
173,0.599362920340666,4214.263295492015
174,0.6014416570652894,4214.263295492015
175,0.5923044848606751,4214.263295492015
176,0.5857949045794216,4214.263295492015
177,0.5554142970271343,4214.263295492015
178,0.5311178672239426,4214.263295492015
179,0.5136971360913974,4214.263295492015
180,0.49942604180945865,4214.263295492015
181,0.4838580213271524,4214.263295492015
182,0.4745833533366117,4214.263295492015
183,0.4592696841210432,4214.263295492015
184,0.44509259381246824,3766.993070538679
185,0.424306282569087,3766.993070538679
186,0.4036378407008844,3766.993070538679
187,0.3848901547032142,3509.949905997286
188,0.3813283635923102,3005.723962044637
189,0.36789837793432006,3005.723962044637
190,0.3567177529773303,3005.723962044637
191,0.3478676595982425,3005.723962044637
192,0.3352658114487473,2935.1575085495488
193,0.3214440682088354,2935.1575085495488
194,0.310263186891562,2935.1575085495488
195,0.30942804634682874,2499.6520107060633
196,0.3084296546474088,2499.6520107060633
197,0.3006159876600943,2499.6520107060633
198,0.2954250172245252,2244.273613840414
199,0.29763305314100924,2149.922724129965
200,0.29692138009424407,2149.922724129965
201,0.3000726956065205,2149.922724129965
202,0.297924342229887,1822.0953485278353
203,0.30022009494520197,1763.5740719154578
204,0.29824526215814945,1763.5740719154578
205,0.2929708962175988,1763.5740719154578
