iter,sigma,best_value
1,1.004198023431899,2809621.6449213503
2,1.0848701376226018,2776710.4664776726
3,1.1891850356645681,2768929.3318642136
4,1.3344715283472075,2751232.6198923085
5,1.528705840929172,2703394.0880542304
6,1.7901868023820668,2666944.4953332944
7,2.07091466319484,2643882.7239799486
8,2.3692308648378897,2586704.998480936
9,2.6835353872772596,2534635.7071541166
10,3.093714823366019,2496246.385651695
11,3.8366630406009254,2329220.7666734927
12,4.378723439815218,2294591.091046986
13,5.257833423258312,2179970.7402299917
14,6.612312105227203,2018400.684450394
15,7.904531496195147,1847581.7996949763
16,8.69502652057629,1777901.9949354343
17,9.413014038433111,1624171.0371714812
18,11.391021716725259,1289943.4120912377
19,13.428802954026931,1134659.8438799337
20,16.068199026365267,742764.4810987874
21,20.951614404506483,392381.636982849
22,25.21814387570689,319293.62593549566
23,30.129755406482367,127205.45065479644
24,35.0370398261382,37906.61468800535
25,40.407048094281706,17757.470604232356
26,45.58104567856599,11347.960581069012
27,45.445542874119376,11347.960581069012
28,47.97051368791784,11347.960581069012
29,47.95091992527804,11347.960581069012
30,46.968320216217485,11347.960581069012
31,44.28555409703791,11347.960581069012
32,40.37078208367973,11347.960581069012
33,34.58241456551847,11347.960581069012
34,32.18169136054716,11347.960581069012
35,28.90340640590769,11347.960581069012
36,28.042991026744122,9174.412149968439
37,25.576058608542464,9174.412149968439
38,24.991494950596778,9174.412149968439
39,22.963701816649426,9174.412149968439
40,22.009890396063813,9174.412149968439
41,22.654983566371502,9174.412149968439
42,21.70244423926014,8108.237571782643
43,21.648912311162967,8108.237571782643
44,20.943855653860933,7237.100835121804
45,20.434010401041643,5380.052118155556
46,20.13585785498112,5380.052118155556
47,18.79338879657256,5380.052118155556
48,17.877137572630797,5380.052118155556
49,17.965316979643173,5380.052118155556
50,18.833239875913986,5380.052118155556
51,18.08749561629545,5380.052118155556
52,17.469086447132877,4286.453499390148
53,17.087190256809667,4286.453499390148
54,18.068627970408073,4286.453499390148
55,18.763395729432546,4286.453499390148
56,19.833738918745166,4286.453499390148
57,20.12728603766146,4286.453499390148
58,18.649949288797792,3700.7127215014616
59,19.45828436472515,3700.7127215014616
60,18.552266247354467,2290.085110504063
61,17.49198358989998,1965.0302336122072
62,17.241641598728123,1906.443805945811
63,16.10250491351284,1906.443805945811
64,16.147802282989193,1906.443805945811
65,14.68067996326882,1460.4206742311217
66,13.673945205274103,1460.4206742311217
67,13.506222643496478,1460.4206742311217
68,12.427614748930052,1460.4206742311217
69,11.142488428710578,1460.4206742311217
70,10.556116877256512,1113.4074141466917
71,10.724374391687691,1113.4074141466917
72,10.379619450583988,1113.4074141466917
73,9.88794573099429,1113.4074141466917
74,9.76875969778013,1113.4074141466917
75,9.354479406801842,1113.4074141466917
76,8.999351327259317,1113.4074141466917
77,8.235352420382107,1113.4074141466917
78,7.491753443882038,1113.4074141466917
79,6.88007185992569,1113.4074141466917
80,6.537173243343029,977.0370246341481
81,6.833842284287997,842.2470736796234
82,7.010861344033991,754.2987898916397
83,7.275175958839124,754.2987898916397
84,7.037838521496395,608.5096059060077
85,6.880035574848882,491.8518249945406
86,6.766000871725177,434.90706969613814
87,6.0980297926331595,340.3742605709492
88,5.711547835033779,340.3742605709492
89,5.18078040440797,340.3742605709492
90,4.8265994877153915,340.3742605709492
91,4.754691679414597,340.3742605709492
92,4.803849577044673,251.02694591871614
93,5.085182030617343,241.64834322706713
94,5.344580570785845,227.95427581556004
95,5.44698670733785,227.95427581556004
96,5.066950899190022,168.68851260198807
97,5.0243887140381736,168.68851260198807
98,4.9811290504785495,168.68851260198807
99,5.163658146637131,128.8175871590229
100,4.776825990020575,120.46659253410076
101,4.667891155289202,119.03387795285306
102,4.220756604781106,76.07100725767003
103,4.025981019921365,76.07100725767003
104,3.6126826541446695,70.33096923548828
105,3.656307217473188,70.33096923548828
106,3.669597253886512,70.33096923548828
107,3.7087784988646613,70.33096923548828
108,3.607022116444315,62.321050995359776
109,3.415365494320001,31.82529329647971
110,3.5151197123721154,31.82529329647971
111,3.2976877335806365,31.82529329647971
112,3.11646627386684,31.82529329647971
113,2.882474633410711,28.95645573767667
114,2.8170465938780196,28.29858624815028
115,2.59161620773493,28.29858624815028
116,2.4710953480483,20.984385476418478
117,2.565922632406184,14.614735039088465
118,2.4129854168024445,14.614735039088465
119,2.395812053619509,14.614735039088465
120,2.2627185768581612,14.614735039088465
121,2.0400862113796046,13.978188099466319
122,1.7837164732919288,13.978188099466319
123,1.637802766522502,13.978188099466319
124,1.4779190669942852,13.978188099466319
125,1.4350556223005573,13.978188099466319
126,1.334072233073339,13.978188099466319
127,1.2166938628757713,13.4512024712492
128,1.2058057548882286,12.742078952641162
129,1.2233826106837593,6.999277907218321
130,1.1781935659359943,6.589880134299198
131,1.2049581158133968,5.333218518857468
132,1.1663420525493837,5.333218518857468
133,1.2140206839253394,5.333218518857468
134,1.2343623005925564,5.333218518857468
135,1.1355572879331464,5.144560518258289
136,1.066183803352098,5.144560518258289
137,1.0568737593784299,5.144560518258289
138,1.0622055123381613,5.144560518258289
139,1.0478745480102274,4.833296578720129
140,1.0460684090263386,4.200123031206178
141,0.9914330514473194,3.710162937612639
142,0.9414543920008297,3.6129541849963616
143,0.939349416007163,3.6129541849963616
144,0.9230488259191235,3.6129541849963616
145,0.8645285799916427,3.6129541849963616
146,0.8276504626819049,3.6129541849963616
147,0.7991426783763791,2.922884610089087
148,0.8862407280564271,1.5828093521477329
149,0.9517408212451395,1.5440206337305553
150,0.9558209059911358,1.5440206337305553
151,0.9615752575547827,1.5440206337305553
152,0.9763881342462822,1.5440206337305553
153,1.033490627478651,1.2993799381470441
154,1.041319175033245,1.2993799381470441
155,0.9917431406058218,1.163698786605511
156,0.9644067232590134,1.1047245922341873
157,0.9242503521962586,1.1047245922341873
158,0.9055386891793903,1.1047245922341873
159,0.8884220467422161,0.86827838801198
160,0.848132043296442,0.5960045400844446
161,0.8184757170316957,0.5960045400844446
162,0.826385579940328,0.5960045400844446
163,0.8074579809539557,0.4426618996602903
164,0.7587982862097145,0.4426618996602903
165,0.6998998653095773,0.3335127437285133
166,0.6515058608593532,0.3335127437285133
167,0.633517698204441,0.3335127437285133
168,0.5855102481728377,0.27689741920303074
169,0.556442350482958,0.27689741920303074
170,0.5059719157541682,0.27689741920303074
171,0.5197044398880207,0.27689741920303074
172,0.4965763481253158,0.27689741920303074
173,0.4928417228272577,0.22888751460652476
174,0.46485712061375994,0.16292542940776972
175,0.44946279032203507,0.16292542940776972
176,0.41828269835827797,0.16292542940776972
177,0.4089233371539235,0.16292542940776972
178,0.420234423066316,0.16292542940776972
179,0.41453884875885594,0.16292542940776972
180,0.3905862741899103,0.16292542940776972
181,0.3604717627119383,0.07516689771548886
182,0.32771055149501016,0.07516689771548886
183,0.2967580759937183,0.07516689771548886
184,0.2806350587486643,0.07516689771548886
185,0.2709586620755722,0.07516689771548886
186,0.2522225434064773,0.07516689771548886
187,0.22550422217225058,0.03829251272480526
188,0.2177302392309654,0.022678626728641772
