iter,sigma,best_value
1,0.9392477539684393,298245.56791791145
2,0.9222429159976955,296570.9613287326
3,0.9173749815688452,295922.6162082431
4,0.9292050678668103,294768.1854413984
5,0.9740573171347527,293675.87584970874
6,1.0341572970900674,292973.40787159663
7,1.0795443286702373,292533.788366127
8,1.1239108804780018,291950.7518654643
9,1.1815652420171034,290090.3736500673
10,1.2575347761203703,287704.93146383116
11,1.3376008010409084,287120.7357302399
12,1.4353677727273748,283293.00305284315
13,1.521443800837465,283293.00305284315
14,1.614689713649179,281717.4761245953
15,1.7562761678778744,278012.3832048352
16,1.9141759510742078,274153.63498723024
17,2.081054116895789,272896.70617733663
18,2.233809118981553,270702.94870057004
19,2.411297677859199,265392.7486620382
20,2.6755355782155883,263627.8941378604
21,2.944667192023775,261237.49690110082
22,3.314625835517979,255604.89415653338
23,3.565370539345562,255604.89415653338
24,3.900672191062231,252160.27903972755
25,4.253486109295752,248758.7066935072
26,4.73147161410088,237745.17983856652
27,5.308746041503268,227795.4684430326
28,5.847229951235606,225396.06782901593
29,6.470577506149365,217924.69266985796
30,7.172711073510636,210541.76321980238
31,8.133225207011716,195093.35733958593
32,9.200848367003296,175559.70260764775
33,10.355027927925333,170199.53133674513
34,11.681242205297226,154743.8326947478
35,13.183260261322385,144615.6270616126
36,14.686671384283594,132752.93225846917
37,16.132110541611766,117921.58879217476
38,17.629385483650804,114416.46059022036
39,19.235743352433676,95939.81171959746
40,21.174497136064375,76496.78912296893
41,22.68552311080318,76496.78912296893
42,24.31397961876973,73381.0378491005
43,25.740040652321497,68323.94639235288
44,27.442774117028485,47980.98753457954
45,29.00964291012539,47980.98753457954
46,31.32352025302286,37048.479388012725
47,34.01699155889317,32361.509907153813
48,36.784934181224436,32361.509907153813
49,40.32051694610274,32361.509907153813
50,42.38409510351688,32361.509907153813
51,43.42042291452146,32361.509907153813
52,43.582371816402016,32361.509907153813
53,42.74853958059598,32361.509907153813
54,41.137765673460514,32361.509907153813
55,39.38343519686694,32361.509907153813
56,37.45516776338814,32361.509907153813
57,36.01194038637085,32361.509907153813
58,35.132119743210815,32361.509907153813
59,33.680522067586786,32361.509907153813
60,32.66003052111921,32361.509907153813
61,31.345557417739176,29917.667827516012
62,30.119480908097692,29917.667827516012
63,28.611731601614782,29917.667827516012
64,27.452519440187906,29917.667827516012
65,26.680443912435408,29917.667827516012
66,25.555437273556723,28490.208676151215
67,24.323249413617948,25611.282133183384
68,22.9659275757885,21893.63818148024
69,21.70164544492074,15028.660235606301
70,20.42421506254225,13953.364678303706
71,20.249465475135825,13953.364678303706
72,20.135054936362767,13953.364678303706
73,19.850755677082063,13397.453271577717
74,19.73101754466122,12520.007948492588
75,19.37198729387763,6676.241860779612
76,18.83507071301078,6676.241860779612
77,18.193930385165125,6676.241860779612
78,17.867099107743414,6676.241860779612
79,17.356617204029966,6654.770570374155
80,16.751183153463053,6654.770570374155
81,16.018030232539637,6507.853620302879
82,15.437790544783565,6507.853620302879
83,15.111975848274263,6507.853620302879
84,14.568624430346107,6507.853620302879
85,14.05266778200011,5935.065489870987
86,13.703790022563727,5641.709709832919
87,13.316591404554622,4608.755643450054
88,12.793095497885986,4608.755643450054
89,12.099327088947758,3019.5610342040413
90,11.70299146925621,3019.5610342040413
91,11.341676905574587,3019.5610342040413
92,10.847967662594943,3019.5610342040413
93,10.48678999949555,3019.5610342040413
94,10.010398510485016,2374.1602635580325
95,9.553100271774113,2374.1602635580325
96,9.129045178391415,2127.089005993692
97,8.86561662500817,2127.089005993692
98,8.506248152517346,1973.2302754718464
99,8.122029163593604,1936.249480970113
100,7.7583328496575295,1705.7768362010445
101,7.373123674719228,1705.7768362010445
102,6.97976014269059,1202.7258045002075
