iter,sigma,best_value
1,0.94116189666323,9582012408.83333
2,0.9336181681104986,9295787236.794981
3,0.9394403369332378,9201330587.324305
4,0.9513627608464362,8966599651.872301
5,0.9723682980467618,8873801126.77249
6,1.032641764605135,8577700539.1527
7,1.118230387598367,8013134579.741604
8,1.2029882366274334,8013134579.741604
9,1.2959822902154683,7864965709.41251
10,1.4253852377745926,7206290722.138107
11,1.5841654345383078,6970214109.571921
12,1.7885494773965,6469558673.579059
13,2.042673662806004,5785352942.920997
14,2.34357540862098,5234989898.996284
15,2.6448125148363433,5109214723.580665
16,3.032451305212224,4401847670.95713
17,3.473603017083849,3728992094.020254
18,3.92867876319174,3392388329.8212824
19,4.465099035364505,2299396388.2430058
20,5.052721861375104,1784525886.2883296
21,5.7775042008486714,1058153941.6099297
22,6.595481486311872,591850852.8348405
23,7.460148114980739,224967740.47212958
24,8.523298884687145,912400.5534215348
25,9.572789620347017,353601.84977837687
26,10.384128005097786,353601.84977837687
27,11.145670761170994,353601.84977837687
28,11.82164365468099,353601.84977837687
29,12.231427144649889,353601.84977837687
30,12.403609877150947,353601.84977837687
31,12.772344903518203,353601.84977837687
32,12.87435549458913,353601.84977837687
33,13.234948756642432,353601.84977837687
34,13.319011523247784,353601.84977837687
35,13.303042185632698,353601.84977837687
36,13.266511340402916,353601.84977837687
37,13.28934507170048,353601.84977837687
38,13.19289008170448,353601.84977837687
39,13.315441640512896,353601.84977837687
40,13.451940974029656,353601.84977837687
41,13.302583399496772,353601.84977837687
42,13.168922958762618,333013.59346325754
43,13.107900521698527,333013.59346325754
44,13.18533949061309,333013.59346325754
45,13.026220673352675,333013.59346325754
46,12.814359518700947,333013.59346325754
47,12.450663124825969,333013.59346325754
48,12.162384942314368,333013.59346325754
49,11.760578666808144,308659.8089660379
50,11.235923140909225,308659.8089660379
51,11.186361392477636,308659.8089660379
52,11.27138022980137,308659.8089660379
53,11.318711579499636,308659.8089660379
54,11.453349984127632,308659.8089660379
55,11.41516305731316,308659.8089660379
56,11.213234640520566,308659.8089660379
57,11.192420320300757,308659.8089660379
58,10.91542929352608,308659.8089660379
