iter,sigma,best_value
1,0.9441222782113167,281277637624.14777
2,0.9247434733400535,280012071421.4356
3,0.9092469400557196,277537894039.55023
4,0.9143951682481541,273199930114.09552
5,0.9398987951902847,271620359389.0142
6,1.0029037329929151,269088399944.3274
7,1.08627817588477,267110544534.94855
8,1.1777948451885327,264221220333.97348
9,1.3015448169707655,258991136712.53723
10,1.4268167124049542,258106736498.7253
11,1.5837183109202788,252193290826.59244
12,1.807481553412756,244199915287.31244
13,2.0791986600255026,242606920298.22446
14,2.395065639557312,236965074334.58505
15,2.747316341890002,228853388245.2539
16,3.1266060365585395,224126080276.92154
17,3.505662737600504,221100389977.68625
18,3.916046491885806,209610335816.28134
19,4.368531622311411,203857081844.201
20,4.886854018832965,194183008818.04892
21,5.398264472771731,186266251448.1378
22,5.910240569212676,181290286800.54208
23,6.5625191697230845,170490827024.2015
24,7.402097149844153,143786876796.94214
25,8.37727662050637,137622491249.43127
26,9.40555443467452,129934638009.35065
27,10.450149422440708,125971248529.20993
28,11.486163948426839,121384335923.81488
29,12.609931568361512,111434949354.89214
30,13.764890858536438,90800957417.77208
31,14.742944892757185,82325355081.27928
32,15.686966896780609,66225625175.65892
33,16.677273714005537,66225625175.65892
34,17.993199124140787,60951156400.85609
35,19.565284749277037,54267014788.11106
36,20.85674348203388,51266205331.71678
37,21.929005374661077,40949354863.542534
38,23.229333268376465,33844153465.69195
39,24.245473157544474,33844153465.69195
40,25.34399657064923,31741237121.422207
41,26.60133339865325,29571246814.904858
42,27.740818286489834,29571246814.904858
43,28.846419552588145,21981641612.758217
44,29.619551455153086,21981641612.758217
45,29.770080327914474,21981641612.758217
46,30.320356500376366,12231937304.073988
47,30.85536031189711,10857810139.312231
48,31.061695989638196,8183303515.422189
49,31.08443192586793,8183303515.422189
50,30.597728030728856,7702918285.055784
51,30.100186340189293,6964188823.289721
52,29.918137267231224,6102468614.014173
53,29.418878349833104,6102468614.014173
54,28.75645763576861,6102468614.014173
55,27.56603614660758,5424597492.701653
56,26.75883621724789,2226315919.882179
57,26.436299463689476,2226315919.882179
58,25.859519155392817,1861910706.2584364
59,25.380934729615152,1861910706.2584364
60,24.49053854783679,1861910706.2584364
61,23.270171012223578,1716898406.8376327
62,22.269121090479732,1094628011.5295198
63,21.368046435316057,1094628011.5295198
64,20.776178136405978,1094628011.5295198
65,20.161484126796143,960100700.7297468
66,19.48709788356207,410733403.073283
67,18.32774617368855,410733403.073283
68,17.705612826094818,410733403.073283
69,17.078688626332468,410733403.073283
70,16.218705199668094,373010831.43586606
71,15.502619743702745,373010831.43586606
72,14.695888779336334,269508254.71726596
73,14.097285314715945,247018157.81285626
74,13.725977878534483,247018157.81285626
75,13.219691245147922,247018157.81285626
76,12.79235132211835,247018157.81285626
77,12.429406051027955,172365517.16271964
78,12.211590108490508,172365517.16271964
79,12.00741580869824,172365517.16271964
80,11.779569259519524,172365517.16271964
81,11.367046868316665,133129894.8296235
82,10.948473267973402,103161901.65225995
83,10.603914719373785,54720161.66565135
84,10.362156517685413,54720161.66565135
85,10.148084952671978,54720161.66565135
86,9.873633218615977,54720161.66565135
87,9.536835319280636,42705417.23721837
88,9.178924526763073,42705417.23721837
89,8.673747682520716,29624937.339796193
90,8.262101310943251,29624937.339796193
91,8.123454174387133,29624937.339796193
92,7.679112262289435,17412178.846247308
93,7.2638131699938295,9498397.15470219
94,6.8347772565112805,9498397.15470219
95,6.545545936156394,9498397.15470219
96,6.312921420363626,4333775.038897515
97,6.051439526737444,4333775.038897515
98,5.7543073870007095,4333775.038897515
99,5.420649923646848,4333775.038897515
100,5.059696449725897,1917747.245403824
101,4.782760396622628,1917747.245403824
102,4.586043658753839,1917747.245403824
103,4.443980656961596,1917747.245403824
104,4.258641009710804,1909570.5671371575
105,4.050091295372958,1909570.5671371575
106,3.804709954628381,1909570.5671371575
107,3.6679378831205907,1909570.5671371575
108,3.541452196483141,1792878.6870142405
109,3.4354780779040643,1792878.6870142405
110,3.342831696625725,1720898.0315542
111,3.229362292205657,1720898.0315542
112,3.146407801145711,897507.1728508463
113,3.023197715415244,578647.8400862828
114,2.918443840511658,578647.8400862828
115,2.7758872975344735,578647.8400862828
116,2.6524216149262947,276239.11743232724
117,2.5541502960987126,276239.11743232724
118,2.450519544690624,276239.11743232724
119,2.3259574101958513,276239.11743232724
120,2.1690347169967414,258246.46297793384
121,2.055998282283048,258246.46297793384
122,1.9583908815006619,258246.46297793384
123,1.8995753106379705,258246.46297793384
124,1.8365265204039054,258246.46297793384
125,1.734720272597044,174362.36102102714
126,1.6261925709127534,174362.36102102714
127,1.568542371298297,156311.02122774775
128,1.492646029768661,156311.02122774775
129,1.4417625956198432,156311.02122774775
130,1.4378257667301457,156311.02122774775
131,1.4157290084328877,122052.49271414542
132,1.365330696408137,122052.49271414542
133,1.335700272793405,122052.49271414542
134,1.2953832211593401,122052.49271414542
135,1.2661888645212203,85719.92590745684
136,1.2524443904823543,60222.54658105344
137,1.2278412885818821,60222.54658105344
138,1.2182262472806231,51996.59099706616
139,1.1951866258443795,51996.59099706616
140,1.1906381322253605,51996.59099706616
141,1.1894575151637568,32241.175725323603
142,1.1629571462536599,32241.175725323603
143,1.1456705671731962,32241.175725323603
144,1.1162133748257401,32241.175725323603
145,1.0962032156625794,32241.175725323603
146,1.0510772477848704,23520.39072721053
147,1.032157562463689,22144.20587469468
148,1.0234823996333944,22144.20587469468
149,1.0077647984553844,22144.20587469468
150,0.9899832883176503,22144.20587469468
151,0.9727119758491601,22144.20587469468
152,0.9516716041993656,12130.009612378093
153,0.9333875549134486,12130.009612378093
154,0.9081982569859304,12130.009612378093
155,0.8818325436860878,12130.009612378093
156,0.8580189633552083,12130.009612378093
157,0.831496498717792,12130.009612378093
158,0.8120322075638717,12130.009612378093
159,0.7987302353327442,10683.243981483687
160,0.7761290017320571,10683.243981483687
161,0.7437889705583067,10683.243981483687
162,0.7200390821928812,10683.243981483687
163,0.6891535520885905,9303.717617675567
164,0.6545682184530841,9303.717617675567
165,0.6314741452812822,8364.199674322239
166,0.6071359615662484,7754.820039587907
167,0.5883778992635716,5132.278654934387
168,0.5647349926583397,5132.278654934387
169,0.5424465164154441,5132.278654934387
170,0.5240534747366599,5132.278654934387
171,0.5052842403128815,4762.833476697488
172,0.49093741380383804,4762.833476697488
173,0.4828872074513817,4762.833476697488
174,0.4683465063055978,3407.847103754342
175,0.45607786759382757,3407.847103754342
176,0.4462155327219831,3407.847103754342
177,0.4371509131833994,3103.57992087728
178,0.42614375994837017,3103.57992087728
179,0.42434067633283123,3103.57992087728
180,0.41981116493824394,3103.57992087728
181,0.42433694300548286,3103.57992087728
182,0.42003837468156435,3103.57992087728
183,0.4111936032005727,3103.57992087728
184,0.3978013669307115,3103.57992087728
185,0.3830313403059237,3103.57992087728
186,0.37138419438206277,3103.57992087728
187,0.36623462343196994,3103.57992087728
188,0.35824612035187603,3103.57992087728
189,0.3480902308836659,3103.57992087728
190,0.33555853012361064,3103.57992087728
191,0.319785162745485,3103.57992087728
192,0.304268959061402,3103.57992087728
193,0.292886930790794,3103.57992087728
194,0.2797220528848065,3103.57992087728
195,0.2751462987313629,3103.57992087728
196,0.27327705050232753,2915.4302924537737
197,0.27629313721419285,2915.4302924537737
198,0.27921473087472287,2915.4302924537737
199,0.2816267330448175,2915.4302924537737
200,0.2902266537538308,2792.060102971923
201,0.29738886491728006,2507.352274820103
202,0.30358149754990194,2507.352274820103
203,0.30138722028676357,2507.352274820103
204,0.2963164509769998,2392.680936092805
