iter,sigma,best_value
1,0.9515336856889277,2820149.3996582436
2,0.9556723619280614,2805242.399084897
3,1.0454482451661224,2784863.6215191237
4,1.2630472923632716,2755155.702260572
5,1.581217989077337,2700426.0791758704
6,1.8889898346260505,2651180.653711018
7,2.165483654748432,2640460.8795250123
8,2.4600459498916836,2606299.1455443334
9,2.896871432940013,2542751.991797955
10,3.432122444679674,2495307.625078971
11,3.921511939053199,2426955.7564743673
12,4.773397589654373,2304896.525328753
13,5.5172254716039495,2253414.7483018013
14,6.355325635750499,2093944.8337007058
15,7.529164302332641,1981729.1667631299
16,9.190215910345671,1771121.8226192999
17,11.393707934946123,1661300.9316350557
18,14.13252706664666,1461537.946352742
19,16.257455532538145,1211783.2700056897
20,18.3814740308338,1027571.239817917
21,22.426122161714147,487706.21490568505
22,27.180948954803622,281228.11484742665
23,35.54550634072581,46761.39895535978
24,46.42595302754039,31898.5344824263
25,55.07061582876237,31898.5344824263
26,58.59117845135307,31898.5344824263
27,61.789199395850765,20950.187871320024
28,63.27356431848472,18002.31295001003
29,62.86069983680663,18002.31295001003
30,61.814312436122286,18002.31295001003
31,61.23421106753025,18002.31295001003
32,59.49493591580611,18002.31295001003
33,57.30012163553511,18002.31295001003
34,56.6944163164294,18002.31295001003
35,53.006660586633174,18002.31295001003
36,48.839471865742155,18002.31295001003
37,43.51535848872138,11271.627664107002
38,44.055099134888934,11271.627664107002
39,43.65872506749698,11271.627664107002
40,42.25055176679738,11271.627664107002
41,40.23588632534278,11271.627664107002
42,39.68347111315457,11271.627664107002
43,40.45644373778826,9537.315718056827
44,37.70553979584044,9537.315718056827
45,38.1877631617739,9537.315718056827
46,35.277020510065576,9537.315718056827
47,34.20380249397169,7508.162316961421
48,32.8286362790496,7508.162316961421
49,35.36269901694316,4215.720081895187
50,36.49685723335979,4215.720081895187
51,39.59066956290258,4215.720081895187
52,39.727624252425386,4215.720081895187
53,38.0350161642009,4215.720081895187
54,35.62209774140998,4215.720081895187
55,34.875803564879384,4215.720081895187
56,35.30307220152947,4215.720081895187
57,34.021765580168555,4215.720081895187
58,30.056700940528366,2977.5539025566395
59,26.81188756499828,2977.5539025566395
60,24.872645072879198,2977.5539025566395
61,22.886139802659265,2977.5539025566395
62,22.852512927860676,2977.5539025566395
63,21.8841421069698,2312.342726277624
64,21.063837988391093,2312.342726277624
65,20.378247113653863,2312.342726277624
66,21.12020170216282,2312.342726277624
67,20.506317328473465,2312.342726277624
68,20.028828366909977,2308.226336597879
69,21.078378956915063,1430.3365930048988
70,22.15516357562192,1430.3365930048988
71,20.47309997674711,1430.3365930048988
72,19.967186752405972,931.6043296451261
73,19.324303089237944,931.6043296451261
74,18.770691224056918,931.6043296451261
75,18.023323133482066,931.6043296451261
76,16.799969778536294,931.6043296451261
77,14.895616528336452,931.6043296451261
78,13.913722678600504,931.6043296451261
79,13.317311616348245,572.5294853529122
80,12.68628167747784,572.5294853529122
81,12.010870580610122,572.5294853529122
82,11.690316384707758,572.5294853529122
83,11.257082685090833,572.5294853529122
84,11.087446148015093,572.5294853529122
85,10.427355991114448,572.5294853529122
86,10.025102389495215,572.5294853529122
87,9.309401340404422,572.5294853529122
88,8.391985841462938,572.5294853529122
89,7.22478043929939,572.5294853529122
90,6.634992485788558,572.5294853529122
91,6.73195761423596,420.8023051750215
92,6.781883109104517,390.3773313976662
93,6.555857628375118,390.3773313976662
94,6.498602800525348,390.3773313976662
95,6.097625254790793,308.5979329737957
96,6.0842651362757385,308.5979329737957
97,6.153273565886454,308.5979329737957
98,5.7574023343540235,248.49660637958263
99,5.391082368500487,248.49660637958263
100,5.125149141329031,248.49660637958263
101,5.082982210143655,236.53411148991557
102,4.826321121871635,195.85868570041612
103,4.971560396033471,188.46135692111164
104,4.62997541752794,180.670310308449
105,4.428497547377299,148.48069800996797
106,4.549122256059499,142.76358837007857
107,4.689848735723274,107.0532671791033
108,5.399466127321829,79.03697261722606
109,5.668296813058427,79.03697261722606
110,5.959581814103524,42.55798324026703
111,5.71468041497343,42.55798324026703
112,5.296178336259632,42.55798324026703
113,4.8149987812516,42.55798324026703
114,4.349538217992858,42.55798324026703
115,3.998417121157244,42.55798324026703
116,3.6082707474088855,42.55798324026703
117,3.5002721321348913,42.55798324026703
118,3.240643746192434,40.50303211544578
119,3.0480156884042082,40.50303211544578
120,2.9381979802454996,31.476606194294618
121,2.964530974555175,18.4578981772152
122,3.0199638213219573,16.47646465822233
123,3.134293234312124,16.47646465822233
124,3.34945413762556,16.47646465822233
125,3.362319850131023,7.646804647693165
126,3.157823852576513,7.646804647693165
127,2.7739244201608915,7.646804647693165
128,2.636416485355075,7.646804647693165
129,2.343902811955655,7.646804647693165
130,2.026296126195298,7.646804647693165
131,1.8157438203833545,7.0506020305881165
132,1.6232452028364535,7.0506020305881165
133,1.497093383420102,6.188535048400079
134,1.366157019897277,5.2635427663818986
135,1.3949852406439738,5.2635427663818986
136,1.2707488306247847,4.313077209388675
137,1.2503834333952366,3.262754041994379
138,1.243728472375892,3.2370286488507563
139,1.17382895376971,1.4582356721536485
140,1.1285560787173978,1.4582356721536485
141,1.0015568167055533,1.4582356721536485
142,0.9053796102033299,1.4582356721536485
143,0.8445462419637088,1.4582356721536485
144,0.8150471784858122,1.4582356721536485
145,0.7955930468554927,1.4582356721536485
146,0.8138761741118209,1.0245859326361448
147,0.8370172468651742,1.0245859326361448
148,0.8053965220219593,0.9260026910767486
149,0.7263067380250839,0.7276467148315096
150,0.6676652457708312,0.7276467148315096
151,0.6055079955924977,0.6781406987684321
152,0.5598193854858096,0.6781406987684321
153,0.5200156120834216,0.6781406987684321
154,0.4730803389891588,0.6781406987684321
155,0.42058806414302163,0.6781406987684321
156,0.40505581657956596,0.607402739642198
157,0.44111654606423056,0.44233803529678584
158,0.46761365757871354,0.4094826093130562
159,0.4953469136332348,0.3215606346286841
160,0.5255584180351416,0.3215606346286841
161,0.5432517631203893,0.3215606346286841
162,0.5775318556652707,0.3215606346286841
163,0.5376110208335901,0.3215606346286841
164,0.5406261205355891,0.21758956164629917
165,0.5239914993712804,0.21758956164629917
166,0.49486868259824834,0.21758956164629917
167,0.46664792169244235,0.21758956164629917
168,0.4669895158150604,0.18106735543572622
169,0.4559064007588444,0.11379889485761495
170,0.41113855377794606,0.11379889485761495
171,0.3712864689983494,0.11379889485761495
172,0.3345981487299488,0.11379889485761495
173,0.3172558235301506,0.11379889485761495
174,0.31887661941622397,0.08430076244039349
175,0.3120216676782595,0.08430076244039349
176,0.2911750475583817,0.08430076244039349
177,0.276844052719514,0.07609612318652463
178,0.28536516213156615,0.07609612318652463
179,0.2848408868934826,0.042353825656504036
180,0.27027328881206303,0.042353825656504036
181,0.26779612368554123,0.042353825656504036
182,0.23494273824094564,0.042353825656504036
183,0.21728621636159795,0.035001419524244425
184,0.19472228528388516,0.035001419524244425
185,0.16736876321739014,0.034858748349179465
186,0.14983676213363237,0.013222925210861857
187,0.1415175953714649,0.013222925210861857
188,0.14508790128996218,0.012667095295569126
189,0.13372996502525727,0.012667095295569126
190,0.12479795179099931,0.01033042677912971
191,0.11130226215995985,0.01033042677912971
192,0.10074805521836627,0.009206008376155289
193,0.09446101517914463,0.008929229459615627
194,0.09045024168168196,0.007918433148085631
195,0.0888397775854992,0.00419295835321469
196,0.08806457768102137,0.00419295835321469
197,0.0871797816828713,0.003799799881523326
198,0.08086968945264354,0.002853619554466058
199,0.07472039877485198,0.002358243176586009
200,0.06802869494244337,0.002358243176586009
201,0.06463017407198673,0.002358243176586009
202,0.05857476060311058,0.0022399158614648937
203,0.05564257971699546,0.0022399158614648937
204,0.052335618368443526,0.0016263121894762877
205,0.04972741690260088,0.0016263121894762877
