iter,sigma,best_value
1,0.9177255022333091,9748797947.156942
2,0.9457622696548306,9452171867.278982
3,1.041501464297016,9098431709.429974
4,1.1669266256060096,8978142881.587393
5,1.284438779275707,8749943471.466244
6,1.426117847517022,8401816431.102975
7,1.6142695437161603,7953343096.079862
8,1.7681715548717671,7627837494.141333
9,1.9160788655339094,7406581949.045697
10,2.1488190149320876,6495294943.692583
11,2.4987952423993014,5766989664.767957
12,2.9464376409846893,4598675767.733845
13,3.4596057183874995,3816930843.9601016
14,4.169336707425731,3180535002.702733
15,4.771735241627955,2976625702.7451916
16,5.403415700925685,2018248956.9863377
17,6.454717694891419,721236514.6838856
18,7.189678166509656,457425538.6635184
19,7.500995956112961,253542632.05487913
20,8.200537868973209,25360284.778902136
21,8.596847386605395,315929.39513510984
22,8.938707521119124,315929.39513510984
23,8.942680844019105,315929.39513510984
24,8.783916509119486,153133.26156428392
25,8.116735495751788,153133.26156428392
26,8.062263064612038,110089.64109765558
27,8.021876624404834,110089.64109765558
28,8.023300052993129,110089.64109765558
29,8.082293716738565,110089.64109765558
30,7.831310360781478,110089.64109765558
31,7.206845909143636,110089.64109765558
32,7.046139945524113,110089.64109765558
33,6.513352352037586,110089.64109765558
34,6.386411003081139,110089.64109765558
35,6.2732020849459715,110089.64109765558
36,5.722505730230671,110089.64109765558
37,5.709917400405002,110089.64109765558
38,5.6911259333639475,110089.64109765558
39,5.851940207673803,110089.64109765558
40,6.0411558935664,110089.64109765558
41,6.021614428158442,110089.64109765558
42,5.869337536310067,110089.64109765558
43,5.739280671717747,110089.64109765558
44,5.287471319358678,110089.64109765558
45,5.214416571123126,110089.64109765558
46,5.208223015888946,110089.64109765558
47,5.273074297143569,110089.64109765558
48,5.153088695790695,110089.64109765558
49,5.1983640734518906,110089.64109765558
50,5.033879555289732,110089.64109765558
51,5.139302672271478,110089.64109765558
52,4.950293560592432,110089.64109765558
53,4.970299194570027,110089.64109765558
54,4.891040564089402,110089.64109765558
55,5.07201736200667,110089.64109765558
56,5.458514795780324,110089.64109765558
57,5.505053422496574,110089.64109765558
58,5.668020236128292,110089.64109765558
59,6.189300623792857,110089.64109765558
60,6.473623705604295,110089.64109765558
61,6.683253275981686,110089.64109765558
62,6.873287674859586,110089.64109765558
63,6.904734973578973,110089.64109765558
64,6.733324229387329,110089.64109765558
65,6.509309551852437,110089.64109765558
66,6.267781332152669,110089.64109765558
67,6.005603830769679,110089.64109765558
68,5.839716938238109,110089.64109765558
69,5.594279185741319,110089.64109765558
70,5.538999041504817,110089.64109765558
71,5.356404305357451,110089.64109765558
72,5.300347205337181,110089.64109765558
73,5.239299020922693,110089.64109765558
74,5.180981571489107,110089.64109765558
75,5.327651927938338,110089.64109765558
76,4.854278337613468,110089.64109765558
77,4.63242098727441,102251.01003120262
78,4.571315793775483,102251.01003120262
79,4.560797521244707,102251.01003120262
