iter,sigma,best_value
1,1.0017469243127006,2810444.0925435936
2,1.024795772049456,2800357.3189478447
3,1.1046876069461522,2771996.3919428866
4,1.187094966322341,2752987.2009854666
5,1.2704716239634701,2720425.513906184
6,1.4280630565055747,2694549.825068285
7,1.6277433795710405,2676439.069915396
8,1.8086413696755974,2660098.902613135
9,2.042314853864851,2615926.4482686063
10,2.4170441492757733,2540527.3645434096
11,2.8662790668336147,2469881.6539770784
12,3.5198205398236353,2304590.1973723704
13,4.305353383853094,2182713.536466832
14,5.416641375976209,1931124.7005788446
15,6.844142948431889,1853653.8775139018
16,8.058035536563295,1805115.8068821223
17,10.008589296989,1454166.5303898274
18,12.739051908851462,953856.5237494755
19,14.521469782886367,953856.5237494755
20,18.223735975013117,599800.869035343
21,24.029897358148748,157683.70605779736
22,30.252047371195257,61476.20471517855
23,37.38845094772666,21193.673546588347
24,41.69863558548819,21193.673546588347
25,45.8488543171779,15529.8832852718
26,45.6674666947983,15529.8832852718
27,42.88836009910228,15529.8832852718
28,41.007549289550596,12491.2677380168
29,41.204034501564365,12491.2677380168
30,39.65136130696581,12491.2677380168
31,38.77207667563976,12491.2677380168
32,37.358270520596804,12491.2677380168
33,35.64085727040574,4172.365531120239
34,31.2067743833014,4172.365531120239
35,30.41341602208601,4172.365531120239
36,29.17399149611859,4172.365531120239
37,27.651770237843756,4172.365531120239
38,25.284925286245457,4172.365531120239
39,24.547660284924707,4172.365531120239
40,23.04434876803218,4172.365531120239
41,20.84486930732332,4172.365531120239
42,18.93020690885006,4012.6276908952477
43,17.767388588539436,4012.6276908952477
44,17.831812808627614,3299.3808885443145
45,17.0401697984104,2085.493148429443
46,15.660937090086252,2085.493148429443
47,15.978987642067276,2085.493148429443
48,16.595845570755895,2085.493148429443
49,16.943561171179272,2085.493148429443
50,16.159227793036592,2085.493148429443
51,16.2224681089359,2085.493148429443
52,16.31414303955283,2085.493148429443
53,15.668459373748327,2085.493148429443
54,14.803437109775459,2085.493148429443
55,14.250365294417238,2085.493148429443
56,12.703878461243399,2085.493148429443
57,12.499004097399844,2085.493148429443
58,13.2145414561193,2085.493148429443
59,13.309708307392171,2085.493148429443
60,13.281528118239873,2085.493148429443
61,12.01547511353835,2085.493148429443
62,11.530724764189292,2085.493148429443
63,11.922252218224521,2085.493148429443
64,12.114853101781327,2085.493148429443
65,13.230931650655236,2085.493148429443
66,14.420867831514334,2085.493148429443
67,14.167505088973352,2085.493148429443
68,12.681879878031511,2085.493148429443
69,12.161222617472822,2085.493148429443
70,11.48599256967121,2085.493148429443
71,11.086732030954625,2085.493148429443
72,10.446144059707052,2085.493148429443
73,9.656603395515235,2085.493148429443
74,9.497250437447963,2085.493148429443
75,9.735711282556359,2085.493148429443
76,9.957053372016224,2085.493148429443
77,9.887863000955003,2085.493148429443
78,10.95873079126824,2085.493148429443
79,11.03538077597678,2085.493148429443
80,10.881728113252315,2085.493148429443
81,10.426942425067852,2085.493148429443
82,9.341201050978416,2085.493148429443
83,9.30596903461153,2085.493148429443
84,9.329106126756834,2085.493148429443
85,9.311726203015693,1935.2714529930006
86,9.310565616024322,1935.2714529930006
87,8.71915182171116,1827.1096318148213
88,8.178632681046084,1776.525092466609
89,8.303445294730327,1427.5351150284691
90,8.464053475203421,1427.5351150284691
91,8.570201041084179,1301.4721468259816
92,8.85940419776914,862.3969982947177
93,8.881159837805871,862.3969982947177
94,8.930377771837302,862.3969982947177
95,8.551181203285472,862.3969982947177
96,8.282938738457899,774.6476103304107
97,8.332080848023876,578.1906012047302
98,8.52599250682165,489.9644439313688
99,8.607326820154363,489.9644439313688
100,8.024238131614354,488.1065631527075
101,7.710200422004074,488.1065631527075
102,7.260686400587988,488.1065631527075
103,7.0756915850842335,488.1065631527075
104,6.347048977241355,488.1065631527075
105,5.6533275652042025,488.1065631527075
106,5.702873854466036,349.3087690683134
107,5.5687490196756135,303.7411271175033
108,5.720161904602487,303.7411271175033
109,5.7758162425242805,303.7411271175033
110,5.489369678695955,301.63384183160156
111,5.349929758779932,226.45112256990535
112,5.574793382428131,218.461446312877
113,5.541981270816493,218.461446312877
114,5.449371744459411,218.461446312877
115,5.409880500060334,218.461446312877
116,5.29022296006605,182.73557890635593
117,5.221019933577348,139.2496858567811
118,5.046235590750561,139.2496858567811
119,4.995256361675908,101.05858801333092
120,5.5193015167253625,101.05858801333092
121,5.726686820789853,101.05858801333092
122,5.8145919442079625,101.05858801333092
123,5.796659680679339,86.86812694559649
124,5.6758430491515615,86.86812694559649
125,5.672688126395998,59.641037424411074
126,5.697783465223579,49.99866957282354
127,5.431466302927863,49.99866957282354
128,5.148566520887845,49.99866957282354
129,4.710002716878778,49.99866957282354
130,4.2497384388704225,47.12090090684957
131,3.798609441829113,16.182217934210513
132,3.457620372896245,16.182217934210513
133,3.128309965775398,16.182217934210513
134,2.801752731565511,16.182217934210513
135,2.678140551424802,16.182217934210513
136,2.4867814813345523,16.182217934210513
137,2.3386733722085618,16.182217934210513
138,2.269981182211098,16.182217934210513
139,2.3371303603498,16.182217934210513
140,2.406629610052836,16.182217934210513
141,2.3810986131946805,16.182217934210513
142,2.401783040646642,9.934942340763152
143,2.4580743811610426,9.934942340763152
144,2.494920945218204,9.934942340763152
145,2.354225370930746,9.934942340763152
146,2.1472266452147744,9.01098868552993
147,2.092646414952591,9.01098868552993
148,2.2088671594480362,2.672713606956936
149,2.1867623152638993,2.672713606956936
150,2.122365354904378,2.672713606956936
151,1.9555182757397798,2.672713606956936
152,1.903289761370262,2.672713606956936
153,1.83326595952926,2.672713606956936
154,1.6756492374813847,2.672713606956936
155,1.5337931656141044,2.672713606956936
156,1.3960623796897027,2.672713606956936
157,1.4032015809084717,1.4102709999364322
158,1.2986304758926213,1.4102709999364322
159,1.28104043720644,1.4102709999364322
160,1.1642648740354484,1.4102709999364322
161,1.0516632378404978,0.9098676054213266
162,1.0331746617149256,0.9098676054213266
163,0.9938948839362454,0.9098676054213266
164,1.0013691916295169,0.6583777801765107
