iter,sigma,best_value
1,0.9482064574805938,9657749561.960304
2,0.933917090385993,9421177941.01865
3,0.9348983390439317,9270918299.189373
4,0.9312025051795961,9097814829.425291
5,0.9234775224453236,8985284034.949999
6,0.9601970732956452,8822398097.766142
7,1.0083119714721163,8644898060.59373
8,1.076522558951152,8295683050.769165
9,1.1487322484506164,8132327022.478892
10,1.2245199793020094,7853827287.172057
11,1.334592361795767,7536764933.03506
12,1.4507071607352238,6932851779.190986
13,1.611000117155099,6656796957.597991
14,1.7586465433765521,6465596312.360419
15,1.944104387678714,5632178744.010277
16,2.1214619251522766,5494478822.185515
17,2.3265066812385182,5123892851.229935
18,2.5470599736743873,4686277196.676346
19,2.842762953645922,4272518988.4446497
20,3.212285579227133,3303453800.6146045
21,3.667973227529088,3003816545.6736197
22,4.196273236268345,2422885662.79746
23,4.755784963363888,1476291640.328484
24,5.3201988096847215,1055746306.2111883
25,6.005387758692651,603088493.518957
26,6.932356627816335,140854540.42560717
27,8.035804112391556,275321.59061189735
28,8.96507210777747,275321.59061189735
29,9.780142368325368,275321.59061189735
30,10.437096168273186,275321.59061189735
31,10.956527102437585,275321.59061189735
32,11.52840905741458,275321.59061189735
33,12.052613150369563,275321.59061189735
34,12.411339615907957,275321.59061189735
35,12.587131367131736,275321.59061189735
36,12.698003324355215,275321.59061189735
37,12.507715207232836,275321.59061189735
38,12.275714985529508,275321.59061189735
39,12.53749353277548,275321.59061189735
40,12.350212110677425,275321.59061189735
41,12.416540848515206,275321.59061189735
42,12.021250186861222,275321.59061189735
43,11.595757437210647,275321.59061189735
44,11.287011223158387,275321.59061189735
45,11.000897175765417,275321.59061189735
46,10.66419416301421,275321.59061189735
47,10.608962119833853,275321.59061189735
48,10.468026911741722,275321.59061189735
49,10.267676598534788,275321.59061189735
50,10.217086467166348,275321.59061189735
51,10.329466738752595,275321.59061189735
52,10.518678899233155,275321.59061189735
53,10.705452774898196,275321.59061189735
54,10.944137135667605,275321.59061189735
55,10.954489918888378,275321.59061189735
56,10.895949163917553,275321.59061189735
57,10.825229643000332,275321.59061189735
58,10.674221839239785,275321.59061189735
59,10.607447096244302,275321.59061189735
60,10.492230372948082,275321.59061189735
61,10.463197121460434,275321.59061189735
62,10.541181776052358,275321.59061189735
63,10.727812078619692,275321.59061189735
64,10.825584227920254,275321.59061189735
65,10.855184493324321,275321.59061189735
66,10.929865461632906,275321.59061189735
67,10.878128440358685,275321.59061189735
68,10.60944960826699,275321.59061189735
69,10.465478810221592,275321.59061189735
70,10.323620272417083,275321.59061189735
71,10.166704420020688,275321.59061189735
72,10.14309519904,275321.59061189735
73,10.020314605995026,275321.59061189735
74,9.874542564359519,275321.59061189735
75,9.72345124711412,275321.59061189735
76,9.551917363499339,275321.59061189735
77,9.208640634562185,275321.59061189735
78,8.972475138118586,275321.59061189735
79,8.930714436142567,275321.59061189735
80,8.809178436036945,275321.59061189735
81,8.859948156114092,275321.59061189735
82,8.900325797166332,275321.59061189735
83,9.038915856399203,275321.59061189735
84,9.042373075787147,275321.59061189735
85,9.049778937537988,275321.59061189735
86,9.164076680227817,275321.59061189735
87,9.504280714002263,275321.59061189735
88,9.419799936861674,275321.59061189735
89,9.195125135060708,275321.59061189735
90,9.211772292609279,275321.59061189735
91,9.102705214959895,275321.59061189735
92,8.93870642686831,275321.59061189735
93,8.814515808474194,275321.59061189735
94,8.600846917555373,275321.59061189735
95,8.274418596304395,275321.59061189735
96,8.218266673854266,275321.59061189735
97,8.147052771552698,275321.59061189735
98,8.118498627392743,275321.59061189735
99,8.212788209339152,275321.59061189735
100,8.374999457913102,275321.59061189735
101,8.590632318207152,275321.59061189735
102,8.739990316470251,275321.59061189735
103,8.799326672465789,275321.59061189735
104,8.716555028875622,275321.59061189735
105,8.622657067354133,275321.59061189735
106,8.815896990760184,275321.59061189735
107,8.715857262305022,275321.59061189735
108,8.56070070632936,275321.59061189735
109,8.498350154316341,275321.59061189735
110,8.32946942135105,275321.59061189735
111,8.231854811222334,275321.59061189735
112,8.06130862989011,275321.59061189735
113,7.987100402687397,275321.59061189735
114,7.935015000815706,275321.59061189735
115,7.750664564496949,275321.59061189735
