iter,sigma,best_value
1,0.9517447776405371,86595409005.81395
2,1.0075586625358135,85514478074.2845
3,1.0666990755426835,84947214707.69415
4,1.191718492628538,84252269455.6118
5,1.3448737147701435,82694654377.6099
6,1.445458273364868,81022784850.51588
7,1.582221332095354,80428736094.50145
8,1.7412625311208587,80428736094.50145
9,1.900304529625834,77793580073.476
10,2.077234702262578,76473626533.03806
11,2.422838367030467,73003733745.20535
12,2.829913314490674,68828486107.91597
13,3.503562691720973,62195952213.42873
14,4.421021383048272,55717127312.48859
15,5.290858486799328,53800774821.78543
16,6.167445660854389,47727959128.6409
17,7.699647874605009,41424237697.99981
18,9.34355191073953,34098674421.257065
19,10.749871483171209,30324901744.14808
20,13.150880999843293,21812336404.148
21,15.145788900747904,18592768188.46086
22,17.244341294248756,18592768188.46086
23,19.50111454665091,12187504066.977243
24,21.752985871278163,10749089115.576714
25,25.09899337655393,3597092387.603053
26,28.728077969635176,3597092387.603053
27,32.195767413557334,2249952239.284945
28,33.57721090053759,580000837.0472741
29,35.06567483842602,580000837.0472741
30,32.571702636431496,580000837.0472741
31,31.107705071886787,360469134.4536417
32,29.039777138889384,360469134.4536417
33,28.09234711790748,234970790.5517972
34,26.39918684647781,99543538.59566186
35,23.46978714970698,99543538.59566186
36,21.423612798159198,99543538.59566186
37,19.259609067440593,66613827.93629298
38,18.278514462762708,66613827.93629298
39,16.758661686145924,39905950.43116067
40,15.051897843206604,31616347.67724354
41,13.806141440689622,31616347.67724354
42,12.365434331810246,19562862.884231072
43,11.292176175294832,3552202.5901519675
44,11.49572411443609,3552202.5901519675
45,11.773741086332267,3052966.6941893944
46,11.432238478700233,3052966.6941893944
47,11.562251591046019,3052966.6941893944
48,11.976543459072527,3052966.6941893944
49,11.431671578664035,3052966.6941893944
50,10.60195607123441,3052966.6941893944
51,10.134348358871923,3052966.6941893944
52,10.06994672132004,990195.6276553749
53,10.463491481950431,990195.6276553749
54,10.584429939248846,990195.6276553749
55,10.63244062696275,990195.6276553749
56,10.343436350722587,990195.6276553749
57,9.565810901807124,990195.6276553749
58,9.055887964691228,990195.6276553749
59,8.43656576515707,990195.6276553749
60,7.596387552618882,749743.0422847051
61,7.258882492495572,749743.0422847051
62,7.241744702074037,610625.6960223638
63,7.035836344363442,610625.6960223638
64,7.018878610301553,212764.83464968557
65,7.201488275582215,212764.83464968557
66,7.162491860681005,212764.83464968557
67,6.8293310828649485,212764.83464968557
68,6.505757164201902,173126.27307938476
69,5.810033245375232,85310.58856208927
70,5.143002647251403,85310.58856208927
71,4.576627723546999,85310.58856208927
72,4.155131440282301,85310.58856208927
73,3.9312996665628894,85310.58856208927
74,3.6624382203077523,54652.72069637778
75,3.4838644821143623,50380.80395083954
76,3.3458422266234638,50380.80395083954
77,3.3009633957978886,50380.80395083954
78,3.033911635345378,10789.704144139412
79,2.8119252147172906,6515.352963212654
80,2.5375926843077807,6515.352963212654
81,2.406127850562041,6515.352963212654
82,2.363935805719648,6515.352963212654
83,2.163581442417617,6515.352963212654
84,1.9446678799642039,6515.352963212654
85,1.8718644772576352,5991.943237919317
86,1.8854695071514154,5991.943237919317
87,1.812083581707858,5991.943237919317
88,1.761610936842375,5991.943237919317
89,1.6360143959803957,5893.648232844613
90,1.5357573085007288,5426.493014629579
91,1.5363264975595827,4674.3277305170195
92,1.4930107529541645,4674.3277305170195
93,1.445227131923931,4674.3277305170195
94,1.3714131347890375,4674.3277305170195
95,1.3522457001359003,4674.3277305170195
96,1.340310979900531,4243.619836203336
97,1.2799425631912167,4243.619836203336
98,1.1836840047358905,4243.619836203336
99,1.1080581517469184,4243.619836203336
100,1.106517088094799,4021.1517268656607
101,1.1581253182662652,4021.1517268656607
102,1.1507918763913092,4021.1517268656607
103,1.089152776591717,4021.1517268656607
104,1.1212108679460098,4021.1517268656607
105,1.1995760515604903,4021.1517268656607
106,1.1371468137522547,4021.1517268656607
107,1.0213070684582084,3539.8032410682927
