iter,sigma,best_value
1,1.0974369998563944,97743.64621518254
2,1.3813648082148624,96479.87862464684
3,1.9573308110949768,94110.14845833922
4,2.766095026739611,90495.44580667962
5,3.9214929580471583,88413.58568352915
6,5.653500234626847,82444.37829086934
7,8.38240663686014,77862.80600373667
8,11.344657675445204,69294.94022271014
9,15.747281071703078,56978.97431478057
10,22.09660812589549,45691.67471140282
11,24.42791035645117,45691.67471140282
12,27.508591000840966,33674.74572487688
13,34.96744001637075,19663.919905219955
14,41.55636672282456,19663.919905219955
15,45.601933337281814,17192.212798417997
16,52.19897994555414,17192.212798417997
17,58.2905744013249,17192.212798417997
18,63.344650673687106,17192.212798417997
19,63.61976444358778,17192.212798417997
20,66.50348797621498,17192.212798417997
21,62.13772572714776,17192.212798417997
22,58.46532994271279,17192.212798417997
23,55.82202499145991,17192.212798417997
24,53.131396276345164,17192.212798417997
25,53.63298287244692,17192.212798417997
26,56.09316044420151,17192.212798417997
27,57.6872790553845,17192.212798417997
28,59.8136729447826,17192.212798417997
29,61.923778613386354,17192.212798417997
30,56.58810095438119,17192.212798417997
31,52.920400529676414,17192.212798417997
32,51.09452114141354,17192.212798417997
33,50.24548562563033,17192.212798417997
34,50.4187288786241,17192.212798417997
35,50.789042268825725,17192.212798417997
36,48.51352496344406,17192.212798417997
37,47.10639338438496,17192.212798417997
38,47.773863561580185,17192.212798417997
39,43.48227566200272,17192.212798417997
40,45.54084974123645,17192.212798417997
41,42.90615319933047,17192.212798417997
42,41.70888133907725,17192.212798417997
43,42.265179278509216,17192.212798417997
44,37.911428405294984,17192.212798417997
45,38.73902834029197,17192.212798417997
46,36.81233009633653,17192.212798417997
47,38.78873359980942,17192.212798417997
48,40.55006829269395,17192.212798417997
49,39.786870250861845,17192.212798417997
50,41.51777516628441,17192.212798417997
51,42.37311893284383,17192.212798417997
52,42.63177162551047,17192.212798417997
53,42.745853530138824,17192.212798417997
54,43.27057276246136,17192.212798417997
55,45.87240277635039,17192.212798417997
56,46.85406833058619,17192.212798417997
57,48.37653954616808,17192.212798417997
58,45.93367890312657,17192.212798417997
59,41.21095359856106,17192.212798417997
60,39.54723408792064,17192.212798417997
61,37.581354663025394,17192.212798417997
62,38.705831244259954,17192.212798417997
63,38.45262240044642,17192.212798417997
64,38.190994583568795,17192.212798417997
65,35.184756457108406,17192.212798417997
66,35.295209127359705,17192.212798417997
67,34.50664594903502,17192.212798417997
68,35.12231930305164,17192.212798417997
69,35.315904682429476,17192.212798417997
70,34.03853030622768,17192.212798417997
71,31.360120315644036,17192.212798417997
72,30.085632889453766,17192.212798417997
73,29.588424957432668,17192.212798417997
74,26.887990146685418,17192.212798417997
75,24.70605584471118,17192.212798417997
76,23.930814988862533,15085.44843998546
77,23.123054852743376,15085.44843998546
78,22.167168112702406,15085.44843998546
79,21.274513893690454,15085.44843998546
80,21.039571624717446,15085.44843998546
81,20.465613597433066,13499.430986592743
82,18.88363323885395,13499.430986592743
83,18.12600989331035,13499.430986592743
84,18.791442022569395,8578.52653045526
85,18.43713859586468,8578.52653045526
86,20.806845311532005,8578.52653045526
87,20.33537748877198,8578.52653045526
88,21.25801159547231,8578.52653045526
89,21.376560144326866,8578.52653045526
90,22.578500516196517,8578.52653045526
91,23.504582792169952,8578.52653045526
92,23.890965830929243,8411.238654923232
93,24.170269174742085,8411.238654923232
94,23.212152473520128,8411.238654923232
95,21.2757712462968,8411.238654923232
96,21.8386264622267,8411.238654923232
97,22.01527356582907,8411.238654923232
98,21.09647763206839,8411.238654923232
99,21.167600511296182,8411.238654923232
100,20.533659716381443,8411.238654923232
101,18.960017746393714,8411.238654923232
102,17.706947887139986,8411.238654923232
103,17.754028228826293,8411.238654923232
104,17.449367309946545,8411.238654923232
105,17.37397665617033,8411.238654923232
106,17.155120072070073,8411.238654923232
107,16.258128314039546,8411.238654923232
108,16.482272586727433,8411.238654923232
109,16.592099137216703,8411.238654923232
110,18.19664282369822,8411.238654923232
111,18.268289368784195,8411.238654923232
112,19.449322179081744,8411.238654923232
113,18.401739282156434,4942.319986506114
114,18.929002428301363,4942.319986506114
115,19.397498577031175,4942.319986506114
116,18.447996439822727,4942.319986506114
117,17.525978570857117,4942.319986506114
118,16.64008202853131,4942.319986506114
119,16.294382426333247,4942.319986506114
120,15.203136955797856,4942.319986506114
121,15.338438285801836,4942.319986506114
122,15.746366283934737,4942.319986506114
123,16.070314401184355,4942.319986506114
124,15.865090490668837,4942.319986506114
125,14.805197230778479,4942.319986506114
126,14.757158501319354,4942.319986506114
127,16.273028012959642,4942.319986506114
128,17.520011825643387,4942.319986506114
129,18.697265388892937,4942.319986506114
130,18.735736458309596,4942.319986506114
131,18.81987925655222,4942.319986506114
132,19.895299542468877,4942.319986506114
133,21.35615919911087,4942.319986506114
134,20.269951501921387,4942.319986506114
135,19.803274017596532,4942.319986506114
136,18.7338558222478,4942.319986506114
137,16.962500240254354,4942.319986506114
138,17.66759526955427,4942.319986506114
139,18.441034622602025,4942.319986506114
140,19.88358454988338,4942.319986506114
141,21.156099086805543,4942.319986506114
142,18.972986537672252,4942.319986506114
143,17.431010370017646,4942.319986506114
144,16.758956981460347,4942.319986506114
145,16.074918371530888,4942.319986506114
146,15.184355707248159,4942.319986506114
147,16.23075355775616,4942.319986506114
148,16.309084895656802,4942.319986506114
149,17.1118609155319,4942.319986506114
150,15.884268932680616,4942.319986506114
151,16.31671071495149,4942.319986506114
152,15.94621052189444,4942.319986506114
153,14.926671924021491,4942.319986506114
154,14.670915918959102,4942.319986506114
155,13.309564278842844,4942.319986506114
156,13.308723954070857,4942.319986506114
157,13.022296530200403,4942.319986506114
158,13.109661744901418,4942.319986506114
159,12.417263961765752,4942.319986506114
160,12.059914675041703,4942.319986506114
161,12.29712242242041,4942.319986506114
162,12.707279461336903,4942.319986506114
163,12.54577186060997,4942.319986506114
164,12.388466126259535,4942.319986506114
165,12.78111920991089,4942.319986506114
166,12.619012671854334,4942.319986506114
167,12.96327173490203,4942.319986506114
168,12.393931289374075,4942.319986506114
169,11.81853375726524,4942.319986506114
170,11.306862212115826,4942.319986506114
171,11.834984532765613,4942.319986506114
172,12.902089172575883,4942.319986506114
173,13.145598913703298,4942.319986506114
174,11.844318118672973,4942.319986506114
175,12.242700356335268,4942.319986506114
176,12.606606937509795,4942.319986506114
177,12.267117401017266,4942.319986506114
178,12.307235059208653,4942.319986506114
179,12.147196305108498,4942.319986506114
180,12.71215743962305,4942.319986506114
181,11.502188691297578,4942.319986506114
182,11.525769670973302,4942.319986506114
183,11.677615686597212,4942.319986506114
184,11.383151021319062,4942.319986506114
185,11.46124097377044,4942.319986506114
186,10.671953197489733,4942.319986506114
187,9.911131346545405,4942.319986506114
188,10.482894348393216,4942.319986506114
189,11.310838170964375,4942.319986506114
190,11.007186726401567,4942.319986506114
191,11.359141762674199,4942.319986506114
192,11.4930437338034,4942.319986506114
193,11.859116398851764,4942.319986506114
194,11.160837375797875,4942.319986506114
195,11.452035332678776,4942.319986506114
196,11.990308480476541,4942.319986506114
197,12.625127974498623,4942.319986506114
198,12.122478900234631,4942.319986506114
199,11.311156146374524,4942.319986506114
200,10.670721335921566,4942.319986506114
201,11.05312716959273,4942.319986506114
202,10.718613147035644,4942.319986506114
203,10.547278316820634,4942.319986506114
204,10.044712412010476,4942.319986506114
205,10.202505608345792,4942.319986506114
206,9.985681383381415,4942.319986506114
207,9.528643010212395,4942.319986506114
208,9.161249287587474,4942.319986506114
209,9.164115914420492,4942.319986506114
210,9.264065233343414,4942.319986506114
211,9.640447278547116,4942.319986506114
212,8.964944449056334,4942.319986506114
213,8.627133233591405,4942.319986506114
214,8.842573229402051,4942.319986506114
215,9.010080699717687,4942.319986506114
216,9.400504083268777,4942.319986506114
217,9.977396347006838,4942.319986506114
218,10.357360629501418,4942.319986506114
219,10.729859726041163,4942.319986506114
220,11.649472838872475,4942.319986506114
221,12.38424794576432,4942.319986506114
222,12.44431988544897,4942.319986506114
223,13.967411981912868,4942.319986506114
224,15.123711366816368,4942.319986506114
225,16.1191024832944,4942.319986506114
226,16.43767337456639,4942.319986506114
227,16.353291160785787,4942.319986506114
