iter,sigma,best_value
1,0.9530565147083357,9679633307.779388
2,0.9296598786233243,9551873290.79579
3,0.9357746330865981,9192928392.90506
4,0.9609876416276286,8988404349.640259
5,1.0012586771135286,8697507379.808521
6,1.0511603871305173,8442735074.179651
7,1.1188854132657462,8198291616.164734
8,1.21435842808709,7854425736.413714
9,1.3195578898918534,7702840317.094944
10,1.4753917695874859,7072033923.646329
11,1.6474861817432738,6867595712.16728
12,1.8354924080591084,6402250679.3007345
13,2.080307541538418,5803137223.402903
14,2.3785570276519645,5458234961.182269
15,2.6773398628798972,4831433933.704817
16,2.9476879380437944,4831433933.704817
17,3.258265270452576,3863519162.7443666
18,3.504471983757409,3863519162.7443666
19,3.8131401890417655,3349509604.248264
20,4.161722693607755,2869637573.3539257
21,4.54294466741124,2243749655.6646986
22,4.9934823421715615,1455492064.603327
23,5.550953875544329,1170593891.8277988
24,6.139146307578479,701508033.5234452
25,6.788146266251891,343328289.4942864
26,7.521313431880982,25565464.741280105
27,8.25291749634672,4996799.4244566355
28,9.025390831014935,1386027.9192569328
29,9.7129245353903,1386027.9192569328
30,10.366614790638554,1386027.9192569328
31,10.61778459428839,305779.0448718052
32,10.916222305769773,305779.0448718052
33,11.291382469005322,305779.0448718052
34,11.537630294592839,305779.0448718052
35,11.726744748280113,305779.0448718052
36,11.86171142259492,305779.0448718052
37,11.977305835131162,305779.0448718052
38,12.024370502355689,305779.0448718052
39,12.040655038306296,305779.0448718052
40,11.97231596924909,305779.0448718052
41,12.066919492890918,305779.0448718052
42,12.275871612742632,305779.0448718052
43,12.102068668729624,305779.0448718052
44,11.710781414479156,305779.0448718052
45,11.37478595991956,305779.0448718052
46,11.245158907485296,305779.0448718052
47,11.168014813771272,305779.0448718052
48,10.974558005461947,305779.0448718052
49,10.853822858240195,305779.0448718052
50,10.552221082824667,305779.0448718052
51,10.517945004997024,305779.0448718052
52,10.487918704591616,305779.0448718052
53,10.431957421903244,305779.0448718052
54,10.67689523128622,305779.0448718052
55,10.724424452595226,305779.0448718052
56,10.943233124211833,305779.0448718052
57,11.454740092512338,305779.0448718052
58,11.89806953865882,305779.0448718052
59,12.348661445212118,305779.0448718052
60,12.60202176935664,305779.0448718052
61,13.012684237715689,305779.0448718052
62,13.304869392283198,305779.0448718052
63,13.483633565052703,305779.0448718052
64,13.563374543834666,305779.0448718052
65,13.392453119365186,305779.0448718052
66,13.196890308218771,305779.0448718052
67,12.854441685186789,305779.0448718052
68,12.768532612282314,305779.0448718052
69,12.892885297943778,305779.0448718052
70,12.78628148965106,305779.0448718052
71,12.885914549127964,305779.0448718052
72,13.122641411881997,305779.0448718052
73,13.322877938102451,305779.0448718052
74,13.255178073499275,305779.0448718052
75,13.19924022316777,305779.0448718052
76,13.048134840360625,305779.0448718052
77,13.184004972995575,305779.0448718052
78,13.124932716126443,305779.0448718052
79,13.374737447849128,305779.0448718052
80,13.542026664971297,305779.0448718052
81,13.40763234570731,305779.0448718052
82,12.921786456533804,305779.0448718052
83,12.519937809769255,305779.0448718052
84,12.154072632466017,305779.0448718052
85,11.729420934272424,305779.0448718052
86,11.461825572945463,305779.0448718052
87,11.216878746761626,305779.0448718052
88,11.292704514475291,305779.0448718052
89,11.236175558262723,305779.0448718052
90,11.026646066499266,305779.0448718052
91,10.961510310309444,305779.0448718052
92,10.935335423884391,305779.0448718052
93,11.145148142410813,305779.0448718052
94,11.462288680326804,305779.0448718052
95,11.78402981771155,305779.0448718052
96,12.210290340779844,305779.0448718052
97,12.428892524867194,305779.0448718052
98,12.40980308061005,305779.0448718052
99,12.20438191023108,305779.0448718052
100,12.16622102462262,305779.0448718052
101,12.304696933973817,305779.0448718052
102,12.25586478241611,305779.0448718052
103,12.267899275498447,305779.0448718052
104,12.310859794228804,305779.0448718052
105,12.15012975919944,305779.0448718052
106,11.925190847265096,305779.0448718052
107,11.73471825319754,305779.0448718052
108,11.485010328753193,305779.0448718052
109,11.59039774255627,305779.0448718052
110,11.634677833007608,305779.0448718052
111,11.632651105166746,305779.0448718052
112,11.766163960132067,305779.0448718052
113,11.751587600521821,305779.0448718052
114,11.708071532400718,305779.0448718052
115,11.654612602536313,305779.0448718052
116,11.68604957519213,305779.0448718052
117,11.513912164023127,305779.0448718052
118,11.520847077227154,305779.0448718052
119,11.522146881942042,305779.0448718052
120,11.430187173338252,305779.0448718052
121,11.31897598853829,305779.0448718052
122,11.122965951367616,305779.0448718052
123,11.301038928637114,305779.0448718052
124,11.280715814600503,305779.0448718052
125,11.321775857160148,305779.0448718052
126,11.434030879609677,305779.0448718052
127,11.914277809593417,305779.0448718052
128,12.227968411747192,305779.0448718052
129,12.31966776685365,305779.0448718052
130,12.41284439966656,305779.0448718052
131,12.506335665311425,305779.0448718052
132,12.660970141320714,305779.0448718052
133,12.46838859583178,305779.0448718052
134,12.140561176477968,305779.0448718052
135,11.89687607107303,305779.0448718052
136,11.610792359089551,305779.0448718052
137,11.374940407953597,305779.0448718052
138,11.156567702467125,305779.0448718052
139,11.203694918271994,305779.0448718052
140,11.168554333145789,305779.0448718052
141,10.977661610176387,305779.0448718052
142,10.667371397306963,305779.0448718052
143,10.355200710499103,305779.0448718052
144,10.173279142734057,305779.0448718052
145,9.946472136150689,305779.0448718052
146,9.782227023580761,305779.0448718052
147,9.624848315581096,305779.0448718052
148,9.451010636202518,305779.0448718052
149,9.185959303817498,305779.0448718052
150,9.04978917959237,305779.0448718052
151,9.00345865312145,305779.0448718052
152,9.005844352860827,305779.0448718052
153,8.97050238816354,305779.0448718052
154,8.975997842549939,305779.0448718052
155,8.999164281856421,305779.0448718052
156,8.952719398010595,305779.0448718052
157,9.039355791311957,305779.0448718052
158,9.213905770522267,305779.0448718052
159,9.716557425924723,305779.0448718052
160,10.12788125244666,305779.0448718052
161,10.37048095121069,305779.0448718052
162,10.560510309347132,305779.0448718052
163,10.59476742754805,305779.0448718052
164,10.40409785262073,305779.0448718052
165,10.35767567090432,305779.0448718052
166,10.38665971648532,305779.0448718052
167,10.413021952574345,305779.0448718052
168,10.412040482268537,305779.0448718052
169,10.15678315272853,305779.0448718052
170,10.1170517928847,305779.0448718052
171,9.959252531440157,305779.0448718052
172,9.790502291654992,305779.0448718052
173,9.614751459925165,305779.0448718052
174,9.751886129026746,305779.0448718052
175,9.945225810032074,305779.0448718052
176,10.192977951474763,305779.0448718052
177,10.059887752364869,305779.0448718052
178,9.976495683408425,305779.0448718052
179,9.727445274786778,305779.0448718052
180,9.739634333360105,305779.0448718052
181,9.701826272926537,305779.0448718052
182,9.69833530147982,305779.0448718052
183,9.529070612623656,305779.0448718052
184,9.328472029812895,305779.0448718052
185,9.1274874684987,305779.0448718052
186,9.020684227031678,305779.0448718052
187,9.162431117915485,305779.0448718052
188,9.37937127272668,305779.0448718052
189,9.420368114476108,305779.0448718052
190,9.173828897447056,305779.0448718052
191,9.108639379680495,305779.0448718052
192,9.145901929239379,305779.0448718052
193,9.063697724190984,305779.0448718052
194,8.943326458167245,305779.0448718052
195,8.996913334400237,305779.0448718052
196,9.277818948106754,305779.0448718052
197,9.402568606490199,305779.0448718052
198,9.646363887958977,305779.0448718052
199,9.806285302316597,305779.0448718052
200,9.689728922113328,305779.0448718052
201,9.765893456454927,305779.0448718052
202,9.88924754533126,305779.0448718052
203,10.063264855225023,305779.0448718052
204,10.164866988308068,305779.0448718052
205,10.089409351213591,305779.0448718052
206,9.935512318677725,305779.0448718052
207,9.71882266048169,305779.0448718052
208,9.667385072733856,305779.0448718052
209,9.726578196780485,305779.0448718052
210,9.950562651882736,305779.0448718052
211,10.056258753685102,305779.0448718052
212,10.344379295217356,305779.0448718052
213,10.643025781444432,305779.0448718052
214,10.811845473178133,305779.0448718052
215,10.818678475749701,305779.0448718052
216,10.817601532908935,305779.0448718052
217,10.968764999059019,305779.0448718052
218,11.169597234585254,305779.0448718052
219,11.294952438296104,305779.0448718052
220,11.366646305162003,305779.0448718052
221,11.291894886712198,305779.0448718052
222,11.365031237318492,305779.0448718052
223,11.551373533650608,305779.0448718052
224,11.75752163566921,305779.0448718052
225,11.70953957619576,305779.0448718052
226,11.437184751242132,305779.0448718052
227,11.53190491189992,305779.0448718052
228,11.757411969134685,305779.0448718052
229,11.992081478458301,305779.0448718052
230,12.082579184686065,305779.0448718052
231,12.234585768916846,305779.0448718052
232,12.281370061149087,305779.0448718052
233,12.326959726120414,305779.0448718052
234,12.249962132233657,305779.0448718052
235,12.264946077728236,305779.0448718052
236,12.101855751669326,305779.0448718052
237,12.029745487198314,305779.0448718052
238,11.898813599486088,305779.0448718052
239,11.892177709975925,305779.0448718052
240,12.123329407448788,305779.0448718052
241,12.363697773138568,305779.0448718052
242,12.4635095137901,305779.0448718052
243,12.455782211687426,305779.0448718052
244,12.402457497855972,305779.0448718052
245,12.5153894921624,305779.0448718052
246,12.78775868337468,305779.0448718052
247,13.070297630607062,305779.0448718052
248,13.244310859921612,305779.0448718052
249,13.142997057783536,305779.0448718052
250,12.97079781807046,305779.0448718052
251,12.94318654677866,305779.0448718052
252,12.919809988682884,305779.0448718052
253,12.858202557157455,305779.0448718052
254,12.577989018504688,305779.0448718052
255,12.176542339651585,305779.0448718052
256,11.864282282119696,305779.0448718052
257,11.490828179090862,305779.0448718052
258,11.13564819176776,305779.0448718052
259,11.268488433765349,305779.0448718052
260,11.31101403125363,305779.0448718052
261,11.339978937569187,305779.0448718052
262,11.370713375840014,305779.0448718052
263,11.379140858903215,305779.0448718052
264,11.30552278427634,305779.0448718052
265,11.341809672951758,305779.0448718052
266,11.498935182974447,305779.0448718052
267,11.800768688427386,305779.0448718052
268,12.325176315037968,305779.0448718052
269,12.740571185798398,305779.0448718052
270,13.03884669364739,305779.0448718052
271,13.54042639699568,305779.0448718052
272,13.727880167175147,305779.0448718052
273,13.80649794854307,305779.0448718052
274,13.804033673037564,305779.0448718052
275,14.149944618617974,305779.0448718052
276,14.051160703910757,305779.0448718052
277,13.724667209100012,305779.0448718052
278,13.376452533744915,305779.0448718052
279,13.112746869748802,305779.0448718052
