iter,sigma,best_value
1,0.9353668534185247,87358239947.88054
2,0.9378733287511047,85941157160.07521
3,1.0145852735038081,84088073614.13075
4,1.1807978698823682,82255875893.1643
5,1.4036632275235774,79923835857.81125
6,1.6494814318081448,78136713505.65994
7,2.017497197643339,75653740512.76038
8,2.423271268784293,74349266786.92776
9,2.82538913938465,70745284780.73831
10,3.3413111296168925,66487191869.09808
11,3.9112347463212456,63944138551.991646
12,4.6211494340979575,56067449385.31527
13,6.071337108834815,49047842961.24858
14,8.21699020181182,42007187796.82215
15,9.957760391899333,36038194641.186485
16,11.681690124699536,33237133036.78623
17,13.654612092796805,28381495879.27742
18,15.213522479664055,25435113909.883953
19,16.068491768878534,21613894077.833443
20,17.059336626363784,18581256762.579227
21,18.010799654588418,15606252167.05302
22,20.052601434692342,10619771376.105066
23,21.589852125409767,6755230771.59646
24,22.161228527004404,6755230771.59646
25,23.38709899900407,5373132178.476065
26,24.36921275745757,2755579035.1705174
27,25.402894592574725,1171895794.0078363
28,24.820821546147826,803933231.3233705
29,24.694968230507563,477662545.67272365
30,24.921507761048378,124789468.03770943
31,24.42150967640686,106809712.82512659
32,23.159312929876855,68109726.66454647
33,22.41024365330534,68109726.66454647
34,22.698240517866246,68109726.66454647
35,21.77125145352095,68109726.66454647
36,20.51790099877132,68109726.66454647
37,21.22567149682442,68109726.66454647
38,20.657573390958742,68109726.66454647
39,19.189465446278945,68109726.66454647
40,18.308045408094205,68109726.66454647
41,18.085984019730834,24617172.418626066
42,17.42225416458036,10125693.511390565
43,16.774456747920723,10125693.511390565
44,15.755921531270824,10125693.511390565
45,15.039650190115722,10125693.511390565
46,14.491737310441966,5610452.377567176
47,14.20590657825416,5610452.377567176
48,12.962756515974581,5610452.377567176
49,11.439621453186115,4581491.0532584
50,10.842669886928721,4581491.0532584
51,10.62346281432901,4581491.0532584
52,10.632209394413577,3878922.9061858896
53,9.91655778446624,3831863.4857325796
54,9.339140338973337,3831863.4857325796
55,8.972889356225764,2620014.634820792
56,8.707155241510224,873152.1927524311
57,8.388904252044489,873152.1927524311
58,8.35368845480344,873152.1927524311
59,8.328931476461085,873152.1927524311
60,8.160471531751403,873152.1927524311
61,8.156408994972457,873152.1927524311
62,7.843114145398099,873152.1927524311
63,6.923163136887944,873152.1927524311
64,6.756971318620441,873152.1927524311
65,6.194872470806506,873152.1927524311
66,5.833420059232112,474437.1314787664
67,5.369710942130392,474437.1314787664
68,5.480893417242141,474437.1314787664
69,5.526659201823999,474437.1314787664
70,5.43414460031754,474437.1314787664
71,5.613983703063135,474437.1314787664
72,5.7723474183571994,474437.1314787664
73,5.412322604011095,474437.1314787664
74,5.293957274531115,474437.1314787664
75,5.046789644493611,423289.4565078011
76,5.102426169239448,423289.4565078011
77,5.322669823230302,271554.9137127283
78,5.017434281209091,247191.8143998772
79,4.659894868310973,152906.70608163605
80,4.425468900774153,152906.70608163605
