iter,sigma,best_value
1,1.0166602392821158,2815500.549767746
2,1.1933492537314438,2768046.8536322247
3,1.555021527262685,2708376.2838095883
4,2.0702347645194354,2662564.862255884
5,2.9515516239100195,2618559.3834013804
6,4.306557760898113,2429790.5839431453
7,6.668010955664852,2226989.655616088
8,10.432197818087326,1743121.276840538
9,16.671431722385574,1340763.6888137297
10,24.998648589614895,982063.0080722761
11,36.22564568806923,463337.4754274828
12,54.41583063678578,94649.93214932617
13,80.00088051041392,46558.20482664072
14,104.51491348308457,46558.20482664072
15,116.29789066455989,46558.20482664072
16,123.63666864781632,46558.20482664072
17,130.2058169524716,46558.20482664072
18,136.95301180276877,46558.20482664072
19,154.4250964961503,46558.20482664072
20,154.8423074993577,46558.20482664072
21,150.47379956314404,46558.20482664072
22,154.6179430196309,46558.20482664072
23,162.7501449240125,46558.20482664072
24,165.77948700398565,46558.20482664072
25,170.06895838528712,46558.20482664072
26,171.2197980185216,46558.20482664072
27,172.19763782581427,46558.20482664072
28,167.66046988894763,46558.20482664072
29,167.35160565613228,46558.20482664072
30,157.8205683348627,46558.20482664072
31,164.9617926038532,46558.20482664072
32,180.58774254237326,46558.20482664072
33,193.3626385852319,46558.20482664072
34,212.37833476848,46558.20482664072
35,236.86121419867536,46558.20482664072
36,247.21979457834883,46558.20482664072
37,264.1372114971015,46558.20482664072
38,289.3259373632293,46558.20482664072
39,307.83230478202466,46558.20482664072
40,304.4060210224422,46558.20482664072
41,320.4613704748912,46558.20482664072
42,339.5617895131704,46558.20482664072
43,328.4944675006697,46558.20482664072
44,319.1114171085141,46558.20482664072
45,339.6012629802806,46558.20482664072
46,371.91219127320284,46558.20482664072
47,386.2867975428325,46558.20482664072
48,427.9249625357979,46558.20482664072
49,495.26927205741214,46558.20482664072
50,498.60722777632367,46558.20482664072
51,541.8016139048818,46558.20482664072
52,597.8476227222949,46558.20482664072
53,555.4816185317775,46558.20482664072
54,509.18627530711643,46558.20482664072
55,495.7880777061625,46558.20482664072
56,472.70598687760526,46558.20482664072
57,473.2022983174421,46558.20482664072
58,494.8626231027108,46558.20482664072
59,513.2538132317235,46558.20482664072
60,543.2792669434941,46558.20482664072
61,552.9693472656884,46558.20482664072
62,606.9700603890868,46558.20482664072
63,600.3957393405217,46558.20482664072
64,634.6136519211478,46558.20482664072
65,683.3259039027769,46558.20482664072
66,694.834034575976,46558.20482664072
67,728.5929444624529,46558.20482664072
68,731.6079770005219,46558.20482664072
69,737.1405477990828,46558.20482664072
70,775.8716851976104,46558.20482664072
71,754.8328712533219,46558.20482664072
72,730.2716457367671,46558.20482664072
73,756.1360427907475,46558.20482664072
74,748.6422059661011,46558.20482664072
75,755.412675578778,46558.20482664072
76,728.6743960421331,46558.20482664072
77,730.7265572002734,46558.20482664072
78,748.7815158127256,46558.20482664072
79,731.1522490438928,46558.20482664072
80,734.7605570532173,46558.20482664072
81,662.7584473715254,46558.20482664072
82,642.0291642117135,46558.20482664072
83,633.1952026813739,46558.20482664072
84,604.8918496306608,46558.20482664072
85,630.6320294087407,46558.20482664072
86,714.0599045343221,46558.20482664072
87,669.0331345592161,46558.20482664072
88,727.9151356320499,46558.20482664072
89,804.9536412190743,46558.20482664072
90,836.8225645644079,46558.20482664072
91,794.6293939092528,46558.20482664072
92,766.6325880653029,46558.20482664072
93,780.5960422139993,46558.20482664072
94,734.8392646827559,46558.20482664072
95,750.2507462293363,46558.20482664072
96,709.9497817354013,46558.20482664072
97,726.4016667467071,46558.20482664072
98,725.4357021049757,46558.20482664072
99,748.7631522012987,46558.20482664072
100,738.9517045739339,46558.20482664072
101,765.9956855970465,46558.20482664072
102,792.1896840322423,46558.20482664072
103,876.5032499641605,46558.20482664072
104,854.705401143557,46558.20482664072
105,872.2054226852166,46558.20482664072
106,890.7909622929609,46558.20482664072
107,905.5197160848454,46558.20482664072
108,842.8924570008784,46558.20482664072
109,851.5431258872691,46558.20482664072
110,885.3999076634367,46558.20482664072
