iter,sigma,best_value
1,0.9254545206627147,300018.3122692168
2,0.9028326996456596,298832.4498679998
3,0.8794629557198129,297551.5775877798
4,0.8888187364363144,296619.1671338225
5,0.9035817569116008,295774.7017803153
6,0.9228722456957452,295196.2822360249
7,0.9726934758457482,292842.78212544037
8,1.0256938487505034,292129.0172352805
9,1.1097405790464112,290773.73211645737
10,1.1838255902293713,289647.50989936467
11,1.2894664933566429,287141.42614696
12,1.4298811955219066,285650.1393425581
13,1.5791595252946355,283686.3260154878
14,1.7198772850884052,283177.14988559857
15,1.9134998139675068,278563.3874792823
16,2.106130987870357,276366.81038277055
17,2.3172641535686367,273749.06902757345
18,2.5400791812552157,269192.70402625913
19,2.788907156705574,268535.12385552924
20,3.13275997244987,259978.60780826258
21,3.4907796555094084,258938.22651990523
22,3.950453418825281,250095.2608325947
23,4.444918496147256,244255.2623923104
24,4.930778165438825,242266.12769773355
25,5.497871533042089,235118.8077562893
26,6.123387771228712,228653.79926901252
27,6.757197235569078,222078.07611673325
28,7.256342450302825,222078.07611673325
29,7.829399111258305,214767.49374824177
30,8.383393029936343,207782.20973875994
31,9.218779259870052,197520.75252242637
32,10.37970346666898,179886.72376987603
33,11.746984770614946,176505.06732660782
34,12.805163671564877,176505.06732660782
35,14.121469776624819,165918.0281103744
36,15.448027790908256,138357.15293821742
37,16.53363366398032,138357.15293821742
38,18.130323511243144,117068.594908893
39,19.497538835903512,117068.594908893
40,21.068219002405137,94949.90200609516
41,22.629520584792896,94949.90200609516
42,24.179172858462262,93925.65677573993
43,26.248609540220222,70923.94455242834
44,28.712820811550653,62705.45063250714
45,30.831430377124306,57489.734331866144
46,33.03983772329784,43597.43206860156
47,34.98435522190496,38337.06129828674
48,37.020716700980756,26226.45821957187
49,38.786031511942056,26226.45821957187
50,39.86081332765542,26226.45821957187
51,39.98684179018512,26226.45821957187
52,39.85224792405932,26226.45821957187
53,39.493357665710995,26226.45821957187
54,38.47357239759948,26226.45821957187
55,36.86149110954813,26226.45821957187
56,35.8758604797772,26226.45821957187
57,35.38867105007421,26226.45821957187
58,34.610961743694745,26226.45821957187
59,33.27597132701678,26226.45821957187
60,32.62374425383692,20243.169392637396
61,31.83303723583385,20243.169392637396
62,30.409552653437387,20243.169392637396
63,29.1526053474141,20243.169392637396
64,27.82029647514439,20243.169392637396
65,26.379355443530386,20243.169392637396
66,25.307289217710775,20243.169392637396
67,24.35830074931396,20243.169392637396
68,23.16610016019967,19260.604450370083
69,22.066848289954777,13166.690217997433
70,21.390666938703937,13166.690217997433
71,20.620420104607437,13166.690217997433
72,19.239048124140254,12012.366400527735
73,17.932521688254102,10229.54371812591
74,16.787218301247417,7439.734561607022
75,15.849182541263374,6174.568076085049
76,15.033117863932402,6174.568076085049
77,14.322895955885565,6174.568076085049
78,13.747486865013194,6174.568076085049
79,13.407678983525537,6174.568076085049
80,12.964919554941622,4515.601731745451
81,12.594730724797193,4515.601731745451
82,12.285635279678973,4515.601731745451
83,12.030233302197013,4515.601731745451
84,11.738825929644639,4088.154808530902
85,11.481732235854398,4088.154808530902
86,10.889444131709867,3133.257193732783
87,10.561443779891091,3108.8735798849266
88,10.2718496712224,2793.334891496321
89,9.958230679143528,2714.725557692133
90,9.757849713564264,2445.9579504699213
91,9.446263951672586,2163.4820531573587
92,9.266354245532357,2163.4820531573587
93,8.965340295831407,2163.4820531573587
94,8.596950850287815,1513.2720090038588
95,8.091461432479113,1513.2720090038588
96,7.618268450291717,1513.2720090038588
97,7.147812191929559,1019.2511713015617
98,6.789225816575135,1019.2511713015617
99,6.54113602810216,1019.2511713015617
100,6.153609498251352,1019.2511713015617
101,5.819328185050124,1019.2511713015617
102,5.600121476874848,1019.2511713015617
103,5.328097484315841,993.152899214705
104,5.161123539195139,993.152899214705
