iter,sigma,best_value
1,0.9811817741864942,279832225187.5538
2,0.9764878825713501,278226221408.4554
3,1.023784336283279,273918112486.00925
4,1.1092338465138438,269476882142.68982
5,1.1982295922583055,269476882142.68982
6,1.3085528220551115,263723529645.88104
7,1.4645517413965548,258470981807.3241
8,1.704005469674076,251028299935.35468
9,2.012317144832267,248338440181.0852
10,2.39282234548534,239676918386.20627
11,2.8131846946058654,238497190841.49945
12,3.3296366778508437,229995093974.5996
13,4.02656439286578,217209336168.586
14,4.970838076735495,203486412711.18622
15,6.18866123484484,187386558363.8403
16,7.74296219631958,174195279514.95706
17,9.60244446010483,159166173227.88104
18,11.857409028416107,137728716685.36594
19,14.579023207165601,137728716685.36594
20,17.850351117827074,112766415343.97978
21,21.77651482197572,108587243483.73494
22,26.726592537250117,83662172017.62614
23,33.087321723369044,54098821601.88388
24,41.362781951803,54098821601.88388
25,48.69288053145615,54098821601.88388
26,57.425010302513876,54098821601.88388
27,65.26461816879291,54098821601.88388
28,72.26083802738407,54098821601.88388
29,76.61432515107462,54098821601.88388
30,79.60211327551818,54098821601.88388
31,81.9058658059206,54098821601.88388
32,86.03812728305147,54098821601.88388
33,87.72586098699038,54098821601.88388
34,88.61643816399126,54098821601.88388
35,89.47027261391189,54098821601.88388
36,89.68809964262834,54098821601.88388
37,89.7884335506236,54098821601.88388
38,89.91786588497428,54098821601.88388
39,90.12145885187992,54098821601.88388
40,90.3686446281133,54098821601.88388
41,91.63973167473797,54098821601.88388
42,90.31157777194596,54098821601.88388
43,90.55793663695877,54098821601.88388
44,92.42528789884412,54098821601.88388
45,92.42853486574896,54098821601.88388
46,91.83188415710977,54098821601.88388
47,93.15765802072612,54098821601.88388
48,93.11453660454966,54098821601.88388
49,90.91459089362874,54098821601.88388
50,90.66366904239585,54098821601.88388
51,89.11442956144994,54098821601.88388
52,85.9263964278122,54098821601.88388
53,84.63787214332818,54098821601.88388
54,84.70811353700887,54098821601.88388
55,84.70987298807366,54098821601.88388
56,83.67575055984905,54098821601.88388
57,84.51239163473376,54098821601.88388
58,84.50102476535216,54098821601.88388
59,83.84035286029668,54098821601.88388
60,85.16566553503903,54098821601.88388
61,85.8451269958685,54098821601.88388
62,85.05869598956639,54098821601.88388
63,84.40130705840454,54098821601.88388
64,83.06274967465488,54098821601.88388
65,81.30738666367526,54098821601.88388
66,80.6322344624436,54098821601.88388
67,80.42116438423918,54098821601.88388
68,79.66484419897829,54098821601.88388
69,75.21100301426691,54098821601.88388
70,73.31803585297396,54098821601.88388
71,72.19003440195527,54098821601.88388
72,72.56421281200203,54098821601.88388
73,72.67843438022568,54098821601.88388
74,71.5255491268487,54098821601.88388
75,73.04382981744574,54098821601.88388
76,74.43236455154879,54098821601.88388
77,77.46908938332471,54098821601.88388
78,78.55697890306571,54098821601.88388
79,79.8194206431523,54098821601.88388
80,79.86766029784567,54098821601.88388
81,79.58904573853698,54098821601.88388
82,78.44478057148841,54098821601.88388
83,75.8968781452889,54098821601.88388
84,75.03953623819554,54098821601.88388
85,74.47239149677632,54098821601.88388
86,72.30567761182772,54098821601.88388
