iter,sigma,best_value
1,0.8820223586773296,2839163.1751807285
2,0.9034033616137827,2831975.3502324726
3,0.9141252558773182,2805024.412358083
4,1.1326895594054656,2765991.2407320575
5,1.2271218506608632,2765991.2407320575
6,1.4570063877434147,2708774.2115778886
7,1.767321501544426,2676706.450942068
8,2.3116799014483447,2605917.37869299
9,3.2702051524393068,2522239.035189768
10,4.48200670479224,2397041.223447341
11,6.155377801250109,2190759.7173619755
12,8.469901647500343,2049483.5774904117
13,12.078362052525613,1666953.6908086601
14,17.182338136087505,1290706.8090296052
15,26.58530726182503,646851.7628483393
16,40.2348022522642,268470.0861427229
17,58.6022580595924,43865.15606535014
18,78.18652167264969,43865.15606535014
19,105.16937296994229,43865.15606535014
20,127.98892761810227,43865.15606535014
21,140.33016405818444,43865.15606535014
22,143.5550923838715,43865.15606535014
23,149.52728360293486,43865.15606535014
24,149.2259006600288,43865.15606535014
25,172.56346032404252,43865.15606535014
26,179.34197601368862,43865.15606535014
27,190.49965536056015,43865.15606535014
28,191.944759417845,43865.15606535014
29,182.70735667721564,43865.15606535014
30,167.52687596380832,43865.15606535014
31,155.44703908425456,43865.15606535014
32,157.55147916192774,43865.15606535014
33,154.32649360888738,43865.15606535014
34,158.9007571871018,43865.15606535014
35,162.26228090916507,43865.15606535014
36,173.2684405180189,43865.15606535014
37,188.13774831847627,43865.15606535014
38,187.74599889105,43865.15606535014
39,188.57588995025222,43865.15606535014
40,205.16181309442658,43865.15606535014
41,215.22907441260892,43865.15606535014
42,212.10911891298892,43865.15606535014
43,192.8758393406946,43865.15606535014
44,187.62639637440162,43865.15606535014
45,169.96147239502196,43865.15606535014
46,167.90214168124314,43865.15606535014
47,164.78206973284657,43865.15606535014
48,158.80141646393557,43865.15606535014
49,169.77093544197925,43865.15606535014
50,167.17631136274355,43865.15606535014
51,158.9487001572996,43865.15606535014
52,167.6257165064527,43865.15606535014
53,173.22004262779677,43865.15606535014
54,170.17458720405537,43865.15606535014
55,158.9829866300214,43865.15606535014
56,154.1934907478381,43865.15606535014
57,148.16637391494984,43865.15606535014
58,155.51359419144265,43865.15606535014
59,167.82927184643452,43865.15606535014
60,177.78425585139362,43865.15606535014
61,191.52495305614931,43865.15606535014
62,209.3266459937398,43865.15606535014
63,234.57863095490868,43865.15606535014
64,249.68041757820436,43865.15606535014
65,254.77985899609712,43865.15606535014
66,277.1557308559522,43865.15606535014
67,295.0969305627798,43865.15606535014
68,280.92740697427956,43865.15606535014
69,285.59792427620374,43865.15606535014
70,282.739464297641,43865.15606535014
71,283.46154523599915,43865.15606535014
72,312.3313838433143,43865.15606535014
73,350.0166146873349,43865.15606535014
74,377.6191236056277,43865.15606535014
75,436.10095888242887,43865.15606535014
76,504.2460792296998,43865.15606535014
77,572.3820505329085,43865.15606535014
78,581.5126001316507,43865.15606535014
79,575.9674432467609,43865.15606535014
80,578.4558191995463,43865.15606535014
81,562.8714955711308,43865.15606535014
82,530.9013430067934,43865.15606535014
83,477.9352846245356,43865.15606535014
84,490.8166688855713,43865.15606535014
85,479.27540296773014,43865.15606535014
86,442.8286508272643,43865.15606535014
87,410.1478350849713,43865.15606535014
88,433.0901054780979,43865.15606535014
89,406.8397176273239,43865.15606535014
90,452.15977147458136,43865.15606535014
91,452.97981000793646,43865.15606535014
92,457.69227837108826,43865.15606535014
93,478.8906271549588,43865.15606535014
94,490.183921887759,43865.15606535014
95,478.0696923927302,43865.15606535014
96,485.8379354644755,43865.15606535014
97,470.28542114302934,43865.15606535014
98,506.24411199090264,43865.15606535014
99,543.5906776857267,43865.15606535014
100,610.6703027749143,43865.15606535014
101,657.035210652871,43865.15606535014
