iter,sigma,best_value
1,0.962976759700668,9689203545.034855
2,0.9821260055864327,9548722903.369713
3,1.1628466745939767,9109848590.303162
4,1.3833196435811481,9087959775.455126
5,1.7275116786439482,8348730473.124926
6,2.3154843067881834,7994210676.890243
7,3.3458406902200433,6666155388.580547
8,5.1950954171728565,4676953449.180415
9,7.660426910691104,3992471643.0711074
10,11.442512621347737,1843324310.293771
11,17.50836303577461,43006285.42257778
12,26.26854776556983,3670299.6386987506
13,34.16205749809261,1232078.1562641829
14,44.5605690570217,1232078.1562641829
15,50.94722292676643,1232078.1562641829
16,58.98193123901841,1232078.1562641829
17,65.34252428171023,1232078.1562641829
18,65.01957687476636,1232078.1562641829
19,70.30132302206589,1232078.1562641829
20,77.04792762110912,1232078.1562641829
21,82.23580364076224,1232078.1562641829
22,92.42072288801128,1232078.1562641829
23,96.44056532769865,1232078.1562641829
24,107.40476942471776,1232078.1562641829
25,110.24933412560904,1232078.1562641829
26,116.74097834246191,1232078.1562641829
27,123.17433463836277,1232078.1562641829
28,142.88593743531965,1232078.1562641829
29,156.93743870670926,1232078.1562641829
30,169.9483466242286,1232078.1562641829
31,200.11139886101984,1232078.1562641829
32,219.1535370537613,1232078.1562641829
33,224.76767209179724,1232078.1562641829
34,213.0233814455499,1232078.1562641829
35,214.58490243261625,1232078.1562641829
36,226.62663748424615,1232078.1562641829
37,258.65102417551356,1232078.1562641829
38,290.7573943229288,1232078.1562641829
39,349.24931473838876,1232078.1562641829
40,405.2388551368974,1232078.1562641829
41,448.8766522896944,1232078.1562641829
42,508.673901936219,1232078.1562641829
43,623.4468866128483,1232078.1562641829
44,711.9579367107932,1232078.1562641829
45,848.9988021954763,1232078.1562641829
46,914.5418407007505,1232078.1562641829
47,907.5933722742584,1232078.1562641829
48,953.8877502475901,1232078.1562641829
49,1020.7429538813609,1232078.1562641829
50,1012.603074182808,1232078.1562641829
51,994.1848979619465,1232078.1562641829
52,1026.2245427231305,1232078.1562641829
53,1022.6667402070393,1232078.1562641829
54,1026.4989834168327,1232078.1562641829
55,1029.0801255951728,1232078.1562641829
56,1188.2723551338129,1232078.1562641829
57,1310.4268497388841,1232078.1562641829
58,1366.3111140708613,1232078.1562641829
59,1656.5503793946018,1232078.1562641829
60,2028.8260279153985,1232078.1562641829
61,2323.000277341769,1232078.1562641829
62,2512.181812675727,1232078.1562641829
63,2559.6741746449534,1232078.1562641829
64,2730.4406122592245,1232078.1562641829
65,2840.3484204493675,1232078.1562641829
66,3293.2197607317876,1232078.1562641829
67,3541.015477102049,1232078.1562641829
68,3390.0054394893277,1232078.1562641829
69,3724.0402854512345,1232078.1562641829
70,4073.6481479085883,1232078.1562641829
71,4305.714133021755,1232078.1562641829
72,5139.980317037938,1232078.1562641829
73,6031.473677493199,1232078.1562641829
74,6874.345577848053,1232078.1562641829
75,7726.4303879789,1232078.1562641829
76,9064.639802993235,1232078.1562641829
77,9501.569178070933,1232078.1562641829
78,10754.97011944564,1232078.1562641829
79,10269.910963006309,1232078.1562641829
80,11788.773404456651,1232078.1562641829
81,14868.904912147284,1232078.1562641829
82,18890.31086977394,1232078.1562641829
83,24129.81187846077,1232078.1562641829
84,26354.54438142711,1232078.1562641829
85,29970.12235405549,1232078.1562641829
86,34731.264783479644,1232078.1562641829
87,39362.29181005845,1232078.1562641829
88,47645.121621667466,1232078.1562641829
89,56119.458115478126,1232078.1562641829
90,67290.1661127598,1232078.1562641829
91,78142.30123585992,1232078.1562641829
92,94372.42476869184,1232078.1562641829
93,111970.91926637567,1232078.1562641829
94,133566.29808513328,1232078.1562641829
95,161845.17780835836,1232078.1562641829
96,190248.81833932395,1232078.1562641829
97,203746.60652599536,1232078.1562641829
98,219715.21320452893,1232078.1562641829
99,236196.44597622138,1232078.1562641829
100,238473.08450318925,1232078.1562641829
101,252124.5844749739,1232078.1562641829
102,259426.84638279417,1232078.1562641829
103,245874.43388753803,1232078.1562641829
104,239780.30326032275,1232078.1562641829
105,263950.4990356837,1232078.1562641829
106,273090.8960171007,1232078.1562641829
107,280634.6078069773,1232078.1562641829
108,321650.1760150387,1232078.1562641829
109,392329.68031478167,1232078.1562641829
110,416505.32934653084,1232078.1562641829
111,450692.0176904522,1232078.1562641829
112,499399.85696916125,1232078.1562641829
113,529788.1875590784,1232078.1562641829
114,610618.5159237426,1232078.1562641829
115,679705.5914398956,1232078.1562641829
116,741466.0281877897,1232078.1562641829
117,805265.4687714769,1232078.1562641829
118,802243.8891318779,1232078.1562641829
119,873907.7892673316,1232078.1562641829
120,975655.3619959285,1232078.1562641829
121,1133209.9162315745,1232078.1562641829
122,1327591.8269541624,1232078.1562641829
123,1724005.7169596804,1232078.1562641829
124,2116152.0531256013,1232078.1562641829
125,2693910.7941884887,1232078.1562641829
126,3008925.3456456084,1232078.1562641829
127,2984059.2911001244,1232078.1562641829
128,3085082.3799084965,1232078.1562641829
129,3407166.6344366814,1232078.1562641829
130,3858869.8824328585,1232078.1562641829
