iter,sigma,best_value
1,1.0675616860870185,98971.75666691785
2,1.1437396392366463,98436.34007797937
3,1.2467795277555898,97243.42427686852
4,1.4902295849431724,95988.35188663109
5,1.8020688683549249,95065.15804254112
6,2.299871520287126,91703.45035160238
7,3.2289826591354744,87124.08177633176
8,4.80930630831363,82722.12436600505
9,7.124492857813685,77793.11967132443
10,10.541958727412986,65627.24674463544
11,15.968125521385204,51711.92212265362
12,24.69265907195851,45568.47451983578
13,38.45766412083407,40758.52522849674
14,54.685038375856124,17496.252997872296
15,65.7987332007948,17496.252997872296
16,76.20412601790481,17496.252997872296
17,78.43101110291032,17496.252997872296
18,86.47912151694932,17496.252997872296
19,95.40288690066214,17496.252997872296
20,89.31856663597134,17496.252997872296
21,85.70791612374353,17496.252997872296
22,81.30807410219236,17496.252997872296
23,82.9455821673963,17496.252997872296
24,79.41052965189948,17496.252997872296
25,73.61481562089365,17496.252997872296
26,69.31787407540062,17496.252997872296
27,67.86657443662145,17496.252997872296
28,66.37377822171507,17496.252997872296
29,69.6975385173742,17496.252997872296
30,68.08500335125798,17496.252997872296
31,68.55060151010538,17496.252997872296
32,72.28572560621336,17496.252997872296
33,72.62946197588053,17496.252997872296
34,75.17998069865949,17496.252997872296
35,75.7047980657444,17496.252997872296
36,78.42687353677898,17496.252997872296
37,73.58970004088079,17496.252997872296
38,71.28245407610186,17496.252997872296
39,72.53850002783328,17496.252997872296
40,80.78440504637341,17496.252997872296
41,69.81906204508506,17496.252997872296
42,69.11790459053528,17496.252997872296
43,66.56698960036614,17496.252997872296
44,63.62238514072725,17496.252997872296
45,61.71950475097985,17496.252997872296
46,60.12990298898275,17496.252997872296
47,60.81444493925615,17496.252997872296
48,55.99084115156766,17496.252997872296
49,56.90097289778923,17496.252997872296
50,56.635532297230995,17496.252997872296
51,57.390723458692946,17496.252997872296
52,55.61187968721527,17496.252997872296
53,53.83951940153472,17496.252997872296
54,56.440817293785585,17496.252997872296
55,56.74069814050771,17496.252997872296
56,58.42685618013393,17496.252997872296
57,58.10188635398655,17496.252997872296
58,56.53958443775177,17496.252997872296
59,61.114084212144064,17496.252997872296
60,65.77823779568175,17496.252997872296
61,65.25403452070339,17496.252997872296
62,58.78320867775931,17496.252997872296
63,58.388749390689156,17496.252997872296
64,55.29674347834325,17496.252997872296
65,51.621532980074754,17496.252997872296
66,55.71815795995406,17496.252997872296
67,57.63638279460519,17496.252997872296
68,58.03773200741994,17496.252997872296
69,60.016206604535206,17496.252997872296
70,55.64715230005361,17496.252997872296
71,55.33415702794232,17496.252997872296
72,55.06493332471567,17496.252997872296
73,54.73176719917213,17496.252997872296
74,53.37503042225809,17496.252997872296
75,54.83766785434793,17496.252997872296
76,53.83488625921351,17496.252997872296
77,53.917805490740875,17496.252997872296
78,53.75589710691965,17496.252997872296
79,56.474213570533706,17496.252997872296
80,61.889680328880246,17496.252997872296
81,64.0660041571997,17496.252997872296
82,73.11041494538334,17496.252997872296
83,75.2904022755043,17496.252997872296
84,76.56292250937399,17496.252997872296
85,80.61330573832855,17496.252997872296
86,77.99331240472108,17496.252997872296
87,83.01042747051602,17496.252997872296
88,84.22754672556401,17496.252997872296
89,78.95288632268594,17496.252997872296
90,72.57421251559673,17496.252997872296
91,69.85893333427524,17496.252997872296
92,65.11935370046079,17496.252997872296
93,63.22615294136764,17496.252997872296
94,63.5659567222026,17496.252997872296
95,62.83097670668124,17496.252997872296
96,61.284354743271855,17496.252997872296
97,58.30150085805112,17496.252997872296
98,53.57991108726563,17496.252997872296
99,52.87108290256623,17496.252997872296
100,50.964648598838174,17496.252997872296
101,52.240466669004704,17496.252997872296
102,56.497253802020325,17496.252997872296
103,56.3002611822777,17496.252997872296
104,64.1155914555708,17496.252997872296
105,62.485455739155604,17496.252997872296
106,61.98201895482995,17496.252997872296
107,58.238923480274494,17496.252997872296
108,59.88559239909743,17496.252997872296
109,55.15785927706155,17496.252997872296
110,55.61558333224366,17496.252997872296
111,57.99496180969498,17496.252997872296
112,54.2998834320424,17496.252997872296
113,54.81398444393045,17496.252997872296
114,56.82006817859277,17496.252997872296
115,57.91913658400467,17496.252997872296
116,61.35491952532518,17496.252997872296
117,65.44039646811791,17496.252997872296
118,71.4977008771829,17496.252997872296
119,69.35623736146285,17496.252997872296
120,62.04697387207997,17496.252997872296
121,64.55593791523691,17496.252997872296
122,66.98798777861988,17496.252997872296
123,64.01600360973096,17496.252997872296
124,72.4220862774338,17496.252997872296
125,76.72467631059764,17496.252997872296
126,74.95657350390479,17496.252997872296
127,74.11897694807806,17496.252997872296
128,72.8702085846121,17496.252997872296
129,69.96752536384703,17496.252997872296
130,69.8416013148257,17496.252997872296
131,70.5767093905405,17496.252997872296
132,67.24767545161858,17496.252997872296
133,65.6507971278913,17496.252997872296
134,63.55219522690006,17496.252997872296
135,64.65582919412422,17496.252997872296
136,74.76487412490913,17496.252997872296
137,77.30280232870267,17496.252997872296
138,79.96500962285985,17496.252997872296
139,77.50533704135633,17496.252997872296
140,83.99344497910084,17496.252997872296
141,77.24836604837134,17496.252997872296
142,79.7431892736543,17496.252997872296
143,80.40417315332118,17496.252997872296
144,87.94776171150302,17496.252997872296
145,81.61302284509857,17496.252997872296
146,78.72774677555951,17496.252997872296
147,75.74171069295939,17496.252997872296
148,69.38288744462085,17496.252997872296
149,67.08919324613545,17496.252997872296
150,66.89969361551857,17496.252997872296
151,68.1770167864557,17496.252997872296
152,68.80991898719735,17496.252997872296
153,72.52376996042531,17496.252997872296
154,78.78525045609692,17496.252997872296
155,77.75866994021288,17496.252997872296
156,79.60452928748576,17496.252997872296
157,83.68945693734217,17496.252997872296
158,77.37404935990986,17496.252997872296
159,74.69906331501356,17496.252997872296
160,71.04151619265954,17496.252997872296
161,70.74135561955893,17496.252997872296
162,65.33010743772154,17496.252997872296
163,61.06685671386893,17496.252997872296
164,59.424723120729126,17496.252997872296
165,63.618846965267736,17496.252997872296
166,61.335647444814036,17496.252997872296
167,60.48541891203981,17496.252997872296
168,61.99381375868322,17496.252997872296
169,59.59890952413924,17496.252997872296
170,56.884589727091054,17496.252997872296
171,53.220411259728394,17496.252997872296
172,53.7211615268984,17496.252997872296
173,54.99272663691397,17496.252997872296
174,57.943477968768114,17496.252997872296
175,55.862111975956466,17496.252997872296
176,55.475092401829954,17496.252997872296
177,53.038421559527706,17496.252997872296
178,54.71940052511792,17496.252997872296
179,53.36387570490955,17496.252997872296
180,49.67604262658774,17496.252997872296
181,49.07493230825843,17496.252997872296
182,47.59094997625316,17496.252997872296
183,46.63215647547418,17496.252997872296
184,42.002699799824704,17496.252997872296
185,40.918987270704015,17496.252997872296
186,41.936189179675154,17496.252997872296
187,42.5302593452617,17496.252997872296
188,43.34198039895146,17496.252997872296
189,44.9693663052005,17496.252997872296
190,46.70028388286649,17496.252997872296
191,47.40721138533797,17496.252997872296
192,46.81394658434355,17496.252997872296
193,49.03609707204529,17496.252997872296
194,49.27709662374755,17496.252997872296
195,50.18520582182628,17496.252997872296
196,52.018987644621625,17496.252997872296
197,56.913596106938996,17496.252997872296
198,56.44080265002738,17496.252997872296
199,55.180830386242874,17496.252997872296
200,53.02082717473374,17496.252997872296
201,48.90606585117704,17496.252997872296
202,49.618699739863764,17496.252997872296
203,55.91774940371229,17496.252997872296
204,62.006728142160256,17496.252997872296
205,70.77985528338853,17496.252997872296
206,77.99449211147419,17496.252997872296
207,86.64844411973644,17496.252997872296
208,89.96769685610067,17496.252997872296
209,92.88780207142061,17496.252997872296
210,90.02867276461845,17496.252997872296
211,90.0336001363525,17496.252997872296
212,88.4868109776603,17496.252997872296
213,80.99095898773146,17496.252997872296
214,78.00449470463705,17496.252997872296
215,86.95267055566725,17496.252997872296
216,86.34420358780714,17496.252997872296
217,87.02724881204526,17496.252997872296
218,81.76481348763845,17496.252997872296
219,80.38199260178527,17496.252997872296
220,78.56597941899214,17496.252997872296
221,79.55719312862948,17496.252997872296
222,83.07539936680936,17496.252997872296
223,77.66258750243577,17496.252997872296
224,77.43565896370073,17496.252997872296
225,90.50296881946974,17496.252997872296
226,101.88652241181892,17496.252997872296
227,106.71664603668385,17496.252997872296
228,101.97648438302292,17496.252997872296
229,99.05771696812796,17496.252997872296
230,103.09876676651398,17496.252997872296
231,103.75338939089963,17496.252997872296
232,102.38932119549638,17496.252997872296
233,105.65446331952259,17496.252997872296
234,105.31004110529746,17496.252997872296
235,107.08771818268939,17496.252997872296
236,102.12905653800694,17496.252997872296
237,101.784215412032,17496.252997872296
238,91.75412330482153,17496.252997872296
239,99.8386603571321,17496.252997872296
240,108.07531794231767,17496.252997872296
241,109.00961997354194,17496.252997872296
242,107.30929179412755,17496.252997872296
243,113.55739229530742,17496.252997872296
244,120.0633073845318,17496.252997872296
245,125.34856828318873,17496.252997872296
246,118.17596669645172,17496.252997872296
247,112.11555723349572,17496.252997872296
248,106.21944683454007,17496.252997872296
249,104.7789506030822,17496.252997872296
250,98.29875646180945,17496.252997872296
251,96.04429720195498,17496.252997872296
252,91.39822085572007,17496.252997872296
253,86.85107855578394,17496.252997872296
254,93.8846032880476,17496.252997872296
255,95.99595301397979,17496.252997872296
256,93.65763760267208,17496.252997872296
257,95.57646871045169,17496.252997872296
258,95.50220575781599,17496.252997872296
259,90.92706199346917,17496.252997872296
260,93.70219873409953,17496.252997872296
261,90.22314253657109,17496.252997872296
262,94.19535804688695,17496.252997872296
263,89.26149248210719,17496.252997872296
264,92.24512658163835,17496.252997872296
265,90.11612620084286,17496.252997872296
266,87.21099782218647,17496.252997872296
267,82.89922915900056,17496.252997872296
268,82.0342378640429,17496.252997872296
269,82.08303488122446,17496.252997872296
270,85.04074270692219,17496.252997872296
271,84.99868642381986,17496.252997872296
272,84.09072386773782,17496.252997872296
273,86.14103435220798,17496.252997872296
274,90.11024553949298,17496.252997872296
275,88.96898165042934,17496.252997872296
276,84.98196245049475,17496.252997872296
277,84.25895429815108,17496.252997872296
278,86.18529971690185,17496.252997872296
279,89.20316445708403,17496.252997872296
280,85.71641896561677,17496.252997872296
281,79.8122138059769,17496.252997872296
282,81.70764924895698,17496.252997872296
283,86.18761894437728,17496.252997872296
284,92.28679029666492,17496.252997872296
285,87.80356417690203,17496.252997872296
286,83.39922883073524,17496.252997872296
287,81.5063111384241,17496.252997872296
288,83.09592242404855,17496.252997872296
289,75.29685685254671,17496.252997872296
290,78.85529176711731,17496.252997872296
291,75.03472254048137,17496.252997872296
292,72.49724260945231,17496.252997872296
293,70.56784870844517,17496.252997872296
294,69.37648705921778,17496.252997872296
295,75.6852066337651,17496.252997872296
296,82.95657870923782,17496.252997872296
297,78.66699571707667,17496.252997872296
298,79.55461786509373,17496.252997872296
299,83.45728079572251,17496.252997872296
300,79.57709354609932,17496.252997872296
301,73.0458256251134,17496.252997872296
