iter,sigma,best_value
1,0.9515151669894455,9811414809.059767
2,0.878987362325745,9699238635.318193
3,0.8961220967744856,9539988200.183828
4,0.9382532626261803,9442250247.988947
5,1.0297745111949486,9241145892.905231
6,1.1423418801236522,8999027265.047808
7,1.286455983307253,8821982821.418716
8,1.433891459279829,8466326602.262639
9,1.4983704778431133,8391194993.204346
10,1.6431629239339094,8063122496.59176
11,1.8039207804120732,7704455430.100174
12,2.047447248219339,7248606756.963071
13,2.3258164905491285,6783871452.413219
14,2.7244148437144173,6334574775.506133
15,3.2018122883138997,5603283998.710351
16,3.760651940800501,4753805240.512873
17,4.396082296227282,4032771392.674301
18,5.304355702808947,3321699971.786882
19,6.388469792744201,2446790285.521958
20,7.4925487528376085,1460915846.6560326
21,8.908003225960408,910364049.1758649
22,10.630263643954041,298401589.9354471
23,12.993635762506228,36867140.72760367
24,14.863887077939227,18533475.41920992
25,15.643500065018367,3721910.381577952
26,15.631810933236766,3721910.381577952
27,15.481768438208727,3614638.706813432
28,14.577799872431207,3614638.706813432
29,13.225639711424533,3614638.706813432
30,11.739165931247962,485824.004290684
31,10.343799779427647,485824.004290684
32,9.544404012281793,485824.004290684
33,8.624673225542585,485824.004290684
34,7.591285820341453,170150.78310369505
35,6.53765447234617,170150.78310369505
36,5.688262906771807,170150.78310369505
37,4.847112777453846,143216.38577310424
38,4.239903835296492,143216.38577310424
39,3.7627628510231803,143216.38577310424
40,3.192813897454765,143216.38577310424
41,2.8521689549497458,143216.38577310424
42,2.6732340329652535,143216.38577310424
43,2.4348226188199216,143216.38577310424
44,2.211597483461305,143216.38577310424
45,1.967258916756224,143216.38577310424
46,1.7447705974423766,135554.13756347258
47,1.5294131396554607,135554.13756347258
48,1.3747392236686244,121113.34963561609
49,1.1907346304538087,121113.34963561609
50,1.1094404813040724,112824.67075182332
51,1.0027918341768143,112824.67075182332
52,0.8742851588985081,112824.67075182332
53,0.7611037999974876,112663.19910453692
54,0.6738556941422601,112663.19910453692
55,0.5648445529727789,112663.19910453692
56,0.47386002651893866,112140.11862660808
57,0.41541382292217455,112140.11862660808
58,0.38234419621576077,112140.04514651831
59,0.32711117846737897,112140.04514651831
60,0.2931210452522518,112140.04514651831
61,0.2597705515631576,112140.04514651831
62,0.2497728075503441,112140.04514651831
63,0.22734824579572618,112110.03079412118
64,0.2042063107966715,112091.21424925506
65,0.1822022818552516,112091.21424925506
66,0.16327505421565397,112091.21424925506
67,0.14518635829620197,112091.21424925506
68,0.12872147186247151,112091.21424925506
69,0.11361428144698293,112056.43672073107
70,0.1005263790661705,112051.13230431237
71,0.09095148856305153,112051.13230431237
72,0.08150157795284631,112051.13230431237
73,0.07270508529629868,112051.13230431237
74,0.06366615100274255,112051.13230431237
75,0.05711928374199115,112047.6030848055
76,0.04917401374153887,112047.6030848055
77,0.042651914917163025,112046.84421700613
78,0.03691490130753537,112046.84421700613
79,0.03427506656760026,112046.84421700613
80,0.031847094546893634,112046.84421700613
81,0.030510153846163478,112046.84421700613
82,0.02898026979649535,112046.84421700613
83,0.028075022153341404,112046.84421700613
84,0.025972272343799004,112044.36299963336
85,0.023542761269839306,112044.36299963336
86,0.0221682006488583,112044.36299963336
87,0.020049792666110854,112044.36299963336
88,0.017857424528629706,112044.36299963336
89,0.015940951627912273,112044.36299963336
90,0.014122875192884618,112043.87061074782
91,0.012551472042384226,112043.87061074782
92,0.011015682794450136,112043.7413061568
93,0.0094470719051821,112043.7413061568
94,0.00874788355608516,112043.4041391397
95,0.007989666467576146,112043.38981707666
96,0.007125323944622033,112041.79341343914
97,0.006717592833623403,112041.79341343914
98,0.0060697822769146025,112041.79341343914
99,0.005345342122857219,112041.64066228963
100,0.004911896230477721,112041.40226433227
101,0.004521895977861889,112040.54381341163
102,0.004188788488453013,112040.27990851243
103,0.003988443013037588,112040.13584713294
104,0.0037153917054352855,112039.7942721933
105,0.0037397524302794907,112039.42397772137
106,0.003654651092548455,112038.73883577065
107,0.0037786096575533512,112038.48971768477
108,0.003944887666850443,112037.85724082125
109,0.0041137435993900216,112037.85724082125
110,0.004047409339152991,112037.66705533079
111,0.0038725654657515126,112037.15696705018
112,0.003747566147751908,112037.00242070039
113,0.003562965849482589,112036.58910206205
114,0.0032943819733432774,112036.21835957166
115,0.0030797514662881205,112036.02218757285
116,0.003018615753013808,112035.8229975586
117,0.002775179923754513,112035.8229975586
118,0.0026004472462352324,112035.8229975586
119,0.0024638600053849473,112035.42692809946
120,0.0022519950164005416,112035.40997433929
121,0.0020613663645187618,112035.30568804189
122,0.0020422216269970414,112035.06804258062
123,0.0018569103114737429,112035.01442182911
124,0.0017694586735025363,112034.82685910624
125,0.0015916626198436436,112034.81980136012
126,0.0015327958656327198,112034.65199378866
127,0.001434654561912168,112034.64922730628
128,0.00139403301565695,112034.4021997919
129,0.0013464852290054467,112034.19749109723
130,0.0013078583160674245,112034.08981044225
131,0.0011999704793739018,112034.08981044225
132,0.0011881210918082094,112033.84055958875
133,0.0011407477126737253,112033.73329853316
134,0.0010938606197193033,112033.67097400747
135,0.0010263075976884467,112033.51774672451
136,0.0010132387418963118,112033.34216880827
137,0.0009702098626695226,112033.25626270579
138,0.0009535306677855229,112033.16939378723
139,0.0008945093431201998,112033.09229169843
140,0.000882702643767145,112032.92132134186
141,0.0008418975958287901,112032.82735845212
142,0.0008261944112257451,112032.6975613049
143,0.000856097984029336,112032.55215153874
144,0.0008431197330957004,112032.48213338756
145,0.0008498257032493071,112032.35447712832
146,0.0009186733578145175,112032.24789816399
147,0.0009736676320163081,112031.88673638825
148,0.0010802592834630628,112031.63708207828
149,0.001170738171300871,112031.42740743102
150,0.0012995044956224345,112031.23355947388
151,0.0014011553216508295,112031.05502989911
152,0.0015274114563605173,112030.45613381444
153,0.0016415255515159718,112030.08894095567
154,0.001827331892758785,112029.50112963344
155,0.0019393696364274097,112029.14221049468
156,0.00206871067034447,112028.70988139088
157,0.0021971712837955144,112028.17301736401
158,0.0023114833037137794,112027.7780019469
159,0.0025111045050926714,112026.59454575565
