iter,sigma,best_value
1,0.9456388788366953,283765194223.4461
2,0.9349803022173974,281641943198.47
3,0.9101312554777756,281092555858.4036
4,0.8786382143799549,280077069823.06665
5,0.8609911118727137,279485721862.8999
6,0.8646526374462122,276387896354.40326
7,0.8575244528554757,275639456408.0799
8,0.8680987812456655,274866472241.66754
9,0.9065603228725563,273118630656.32147
10,0.9603857260906608,271729281497.47327
11,1.0309134823391453,267947589150.1842
12,1.1168767842025555,265454698443.05017
13,1.2216397091137368,263936376409.93076
14,1.3040970893016894,263563769011.4577
15,1.420525383934533,259021727499.19632
16,1.5104001589676832,258379511575.08627
17,1.6505571371634065,255326496757.50226
18,1.8190455640469378,253510297822.0365
19,2.0535092110883384,249361829140.69507
20,2.342812290101931,247042880058.31842
21,2.7183036043923448,240644426389.4588
22,3.008117181310249,239406353887.38647
23,3.319719329075793,235348807673.93835
24,3.5583767105640356,234038652719.98462
25,3.789063848235888,229128184629.72153
26,3.904638032836592,224692001768.30396
27,4.023469270750629,222136113842.41348
28,4.1668955042163995,215796711713.73663
29,4.411848120683099,212660907901.4958
30,4.5536905044388885,211352121010.69757
31,4.693996245498463,209439992361.71805
32,4.963464599392443,199852978250.59738
33,5.2760418337975485,191068015618.1694
34,5.678469407324244,183524224446.5507
35,6.2470881111578285,177804123411.45062
36,7.025545289786497,168394134518.36758
37,7.932519329026147,156979694080.60608
38,9.099898399311737,153599984145.86493
39,10.498680607194691,145854490624.0165
40,12.203755685658898,142111480195.08557
41,14.250232977630152,134552623941.78738
42,15.42520955926357,130206306038.48737
43,17.009102637737975,117647916138.23569
44,17.877701059115758,106311392379.98816
45,19.228835694516963,106311392379.98816
46,20.643857221543872,99157187266.22934
47,21.29552760286169,86150017092.18944
48,21.377872731826933,86150017092.18944
49,21.86078627562084,86150017092.18944
50,22.38265828925536,83809647443.95604
51,22.543185681724903,77096063674.11182
52,22.26189566237376,77096063674.11182
53,22.102463211957325,76045166537.98047
54,21.965290002873687,66601770770.94582
55,21.71402868828604,51394996195.93299
56,21.80188278795463,51265284429.44621
57,21.289303306831126,50408185471.47348
58,20.606987492739144,45411526980.99517
59,20.05002621506199,40938417045.83631
60,19.170092339079517,40938417045.83631
61,18.191510413807347,40938417045.83631
62,17.990350756254152,30425907174.25579
