iter,sigma,best_value
1,0.8530817562183307,2842430.2238435745
2,0.7385766194087231,2834387.6493001543
3,0.7217531234403389,2815152.733964427
4,0.7600512020562169,2812532.7247879365
5,0.7690577202383175,2800555.9313247623
6,0.7648767776758082,2792093.5390252913
7,0.8180718843231493,2783037.571185459
8,0.8907134418250949,2772836.1117637632
9,0.9690385092903874,2758989.6708672447
10,1.0852713397822618,2743567.2407520213
11,1.2048081185184911,2719914.1877380195
12,1.356587662361546,2691298.3960886598
13,1.509960474394858,2678481.259363197
14,1.6644415469006806,2638284.9399396926
15,1.8725260684837097,2608672.3376612887
16,2.1443919419923123,2559587.8407290643
17,2.475546500081637,2498277.8127723513
18,2.8877107476605213,2454177.595222139
19,3.42014751657464,2362996.684038178
20,4.123855554764801,2303937.121049696
21,4.8521000513859525,2209272.4440723923
22,5.535934056028273,2123295.9283320857
23,6.487831256227629,2044424.8070336995
24,7.730846130804285,1968047.3107991694
25,8.502631291703153,1806252.147722855
26,9.456250349443824,1665248.0087476298
27,10.775595868325727,1527365.2732161132
28,12.662308381280393,1309509.4186092205
29,13.981492538231315,1159401.8134848424
30,15.669368385010527,976118.8800740023
31,17.835052274531108,873576.0893978971
32,20.371512639597842,692159.1248710027
33,23.466642557633154,509714.55502197763
34,26.819266734190432,340609.7281636425
35,31.691582109786783,202093.96576022686
36,36.875795219431076,152229.82686402247
37,39.10903308720276,140802.07847971414
38,37.933423473310626,140673.93383732287
39,35.29114110720334,121220.19185596294
40,30.73322792618278,121220.19185596294
41,27.21497232304216,119620.01526616386
42,24.721055653650687,113803.25696772631
43,22.474048342708628,108889.7453462803
44,22.373374073208872,86674.23159102854
45,22.394802094212988,86109.69545689183
46,20.91652907029234,85238.30445328417
47,19.829558509704913,73421.9364112149
48,19.553826240134207,69946.56476294874
49,19.15280133922574,69164.71688426199
50,18.41442814728425,61540.360359484024
51,16.843673113140962,61540.360359484024
52,15.474014380712365,59813.930975507545
53,13.8057425334331,59326.441950226435
54,12.593255846202569,54979.156444408996
55,11.611791750622144,54979.156444408996
56,10.875511792401676,53655.787531155045
57,10.245803234010339,51071.48843740131
58,10.486731171771735,48258.558196312566
