iter,sigma,best_value
1,0.9254527692023888,9706062058.726255
2,0.9106744778358838,9362154823.102327
3,0.9107054943806816,9179651671.766285
4,0.9367365317206436,8912352596.89502
5,0.9784823647948652,8663644405.63659
6,1.0218711217751253,8598532814.531149
7,1.0968996464149654,8190752296.029016
8,1.2160941693983482,7825463121.814672
9,1.2930229684626393,7825463121.814672
10,1.3803985743040283,7684621532.732698
11,1.4719874622663842,7357859462.955082
12,1.5848885735063434,6941207666.5971985
13,1.7382023206546093,6634297541.900193
14,1.9128314189704152,6312502277.386805
15,2.1389836956328425,5693381452.418414
16,2.3507119649496873,5451577267.818631
17,2.58646949483198,5189406118.045599
18,2.872369198309299,4609602946.300662
19,3.1954205733936916,4333071193.367726
20,3.5628386486530133,3699312740.7049203
21,4.003287275460775,3090366576.504656
22,4.480661220546404,2309473825.919588
23,4.903043963501747,2100186593.355692
24,5.4595948872536075,1254561999.5302277
25,6.142443874780103,947961915.7531806
26,6.912866850552565,249008520.43817708
27,7.756569708601327,93466725.56602238
28,8.553721942958749,56435868.4266079
29,9.391508314929574,12583966.261326108
30,10.071024316577327,291215.7923615622
31,10.562837579506597,291215.7923615622
32,11.110541817750656,291215.7923615622
33,11.648007153956376,291215.7923615622
34,12.218527660775191,291215.7923615622
35,12.500681495099487,291215.7923615622
36,12.74788243828959,291215.7923615622
37,12.898921230331,291215.7923615622
38,13.01577008123841,291215.7923615622
39,13.159373936967715,291215.7923615622
40,12.950218039099818,291215.7923615622
41,12.713233854397599,291215.7923615622
42,12.599061626056372,291215.7923615622
43,12.444268665330391,291215.7923615622
44,12.479940454619664,291215.7923615622
45,12.576320484376101,291215.7923615622
46,12.597258588612846,291215.7923615622
47,12.34304106934861,291215.7923615622
48,12.03385157508774,291215.7923615622
49,11.823335665513795,291215.7923615622
50,11.594701210245715,291215.7923615622
51,11.542986678622745,291215.7923615622
52,11.674024077309761,291215.7923615622
53,11.60278392251468,291215.7923615622
54,11.398612288328069,291215.7923615622
55,11.312621163875262,291215.7923615622
56,11.250552753317384,291215.7923615622
57,11.053403812580859,291215.7923615622
58,10.960840619249362,291215.7923615622
59,10.865404494746109,291215.7923615622
60,10.805803310306198,291215.7923615622
61,10.98792828051746,291215.7923615622
62,11.141853266138797,291215.7923615622
63,11.241005181578466,291215.7923615622
64,11.010191175170132,291215.7923615622
65,11.16555512677084,291215.7923615622
66,11.397460149014048,291215.7923615622
67,11.508729870706665,291215.7923615622
68,11.704191702139154,291215.7923615622
69,11.883641326588,291215.7923615622
70,12.29661999688264,291215.7923615622
71,12.671009209651414,291215.7923615622
72,12.960546966384182,291215.7923615622
73,12.88091713603749,291215.7923615622
74,12.903377798033278,291215.7923615622
75,13.104876594391293,291215.7923615622
76,13.426145785458212,291215.7923615622
77,13.25292663253383,291215.7923615622
78,13.367300031111235,291215.7923615622
79,13.163306152631403,291215.7923615622
80,12.964752880251284,291215.7923615622
81,12.617481708228572,291215.7923615622
82,12.225013724426804,291215.7923615622
83,11.930328668312717,291215.7923615622
84,12.019489303804383,291215.7923615622
85,12.198744864801274,291215.7923615622
86,12.08643868454174,291215.7923615622
87,12.071420747306549,291215.7923615622
88,11.823596842870858,291215.7923615622
89,11.590276009919565,291215.7923615622
90,11.404222599540653,291215.7923615622
91,11.098115180534029,291215.7923615622
92,10.705324329409875,291215.7923615622
93,10.682936752952655,291215.7923615622
94,10.853785257925793,291215.7923615622
95,10.955397423991176,291215.7923615622
96,11.05788269197307,291215.7923615622
97,10.943498082521215,291215.7923615622
98,11.014141026239903,291215.7923615622
