iter,sigma,best_value
1,0.9466454790687894,85028652.5105235
2,0.9424739403225189,84158857.04619494
3,0.9560884448494036,83910263.33855057
4,0.9951040215944678,83704290.83781774
5,1.0482735744969947,83200337.79542285
6,1.1065196899480754,82727077.5020476
7,1.1943734155839285,81847589.99683127
8,1.297990045725197,81415407.9112461
9,1.4139108201327955,80880473.3827999
10,1.5305674420832744,80584824.4546492
11,1.6778762334488584,79775349.43909495
12,1.8245636893911965,79069203.62385146
13,1.9645098249439317,79004869.09344234
14,2.1158350194534403,78339099.26978122
15,2.306626920791727,77668681.16694912
16,2.5257884828324393,76188444.43149345
17,2.768649448814536,75366844.71672969
18,3.0059939063358025,74360395.70118065
19,3.2929731116673144,72227669.4486385
20,3.591302331067145,72187796.12756103
21,3.997286311782019,70350388.42527738
22,4.381320028288785,69070793.19991536
23,4.8442015922634205,66024683.40384131
24,5.299922533729727,64759302.43174651
25,5.826350836684218,63042915.17287764
26,6.577031658485494,60793048.55321309
27,7.291914064320588,58617713.095917255
28,8.103425569696885,58051991.38828039
29,8.962215513866497,53955431.172375835
30,9.881435383036841,52518866.45127162
31,10.647513668431841,49963324.65859934
32,11.687425768640896,44961649.47623207
33,12.993987287625533,40668995.358328454
34,14.518798741202437,35238457.905036956
35,16.204912787711496,31582851.88663341
36,18.29556723698005,26585530.40062008
37,20.853144564090314,21544217.841391787
38,23.668119224814188,17573430.748270556
39,26.60160434624003,12812410.521640332
40,30.673984055370486,5056738.090358282
41,35.079459143473365,3356641.981599373
42,39.520612253195885,1968672.6376238521
43,44.53656054692823,791143.8778852135
44,48.77396717901639,791143.8778852135
45,52.509522996131736,576528.9463453192
46,55.53139885045182,210703.1602990411
47,57.22155032459026,210703.1602990411
48,58.914111422173995,155568.59182297075
49,59.94246272705298,155568.59182297075
50,60.63621425521872,155568.59182297075
51,61.85031286510876,155568.59182297075
52,62.81326684281196,155568.59182297075
53,63.013196859292805,155568.59182297075
54,62.916640277911526,141703.2483680466
55,61.1498627745226,141703.2483680466
56,61.22166293832351,141703.2483680466
57,61.31209783182044,141703.2483680466
58,62.39687801832719,141703.2483680466
59,63.136550488025264,141703.2483680466
60,63.06747637492735,141703.2483680466
61,64.5977388191695,141703.2483680466
62,66.03264743116218,141703.2483680466
63,66.38047076480638,141703.2483680466
64,65.99669043467559,141703.2483680466
65,65.91004957842132,141703.2483680466
66,65.02988790851845,141703.2483680466
67,64.1666528133783,141703.2483680466
68,63.64630727099263,141703.2483680466
69,64.21015156569462,141703.2483680466
70,63.529942601469415,141703.2483680466
71,63.25000043102486,141703.2483680466
72,62.10690354713727,141703.2483680466
73,61.14673516554208,141703.2483680466
74,59.64441388225414,141703.2483680466
75,58.26845391066208,141703.2483680466
76,57.508015999550324,141703.2483680466
77,56.88195421536733,141703.2483680466
78,56.07232955971112,141703.2483680466
79,55.14859962288245,141703.2483680466
80,53.3743285722279,141703.2483680466
81,50.92578516150164,141703.2483680466
82,49.012565755422436,141703.2483680466
83,47.80624383278807,141703.2483680466
84,46.716566757931346,141703.2483680466
85,45.40971904893873,141703.2483680466
86,44.26132734953354,141703.2483680466
87,43.33630994303482,141703.2483680466
88,42.57900281389178,141703.2483680466
89,42.421873396738526,141703.2483680466
90,42.001014422248524,141703.2483680466
91,41.83373023451628,141703.2483680466
92,41.324021084570454,141703.2483680466
93,40.64180542793405,141703.2483680466
94,40.84981742241567,141703.2483680466
95,40.95995438283476,141703.2483680466
96,41.49763983786104,141703.2483680466
97,40.995308811942955,141703.2483680466
98,40.48250491043619,141703.2483680466
99,41.29917773049229,141703.2483680466
100,41.164170913531386,141703.2483680466
101,40.23499008152165,141703.2483680466
102,39.585610010149495,141703.2483680466
103,40.521119846771505,141703.2483680466
104,40.747250947607384,141703.2483680466
105,41.12494394916334,141703.2483680466
106,40.96132152337545,141703.2483680466
107,40.5461579501789,141703.2483680466
108,38.92736321882342,141703.2483680466
109,38.04411380153551,141703.2483680466
110,37.29250167596888,141703.2483680466
111,36.40901546995609,141703.2483680466
112,35.098879775525305,141703.2483680466
113,34.53789397115578,141703.2483680466
114,33.61683341966068,141703.2483680466
115,32.86161641637112,141703.2483680466
116,31.8582556358476,141703.2483680466
117,30.200702253235644,139374.5448633325
118,28.434981056061712,139374.5448633325
119,27.188737114671007,139374.5448633325
120,26.576222469044428,139374.5448633325
121,26.082942780605702,139374.5448633325
122,25.664150573804555,139374.5448633325
123,25.35986335826257,124865.50588496694
124,24.976151412347697,124865.50588496694
125,24.05713445626793,124865.50588496694
126,23.202609604755096,120648.0260675499
127,22.3393822749927,116795.09672709988
128,21.621636566431675,116795.09672709988
129,21.19140305472912,116795.09672709988
130,20.87874133717024,116795.09672709988
131,20.873873365401245,116795.09672709988
132,20.922165920165995,112788.3272852965
133,20.464033772003383,112788.3272852965
134,19.30572882976716,112788.3272852965
135,18.65403666643692,112788.3272852965
136,18.381267148744392,112788.3272852965
137,17.981526787932815,112788.3272852965
138,17.7072608091546,112788.3272852965
139,17.662582028751256,112788.3272852965
140,17.3237044042147,112788.3272852965
141,17.05919155762148,112788.3272852965
142,17.350657905636794,112788.3272852965
143,17.5643643217471,112788.3272852965
144,17.32788227514422,112788.3272852965
145,17.38207808800821,112788.3272852965
146,17.480141229591112,112788.3272852965
147,17.299402581752013,112788.3272852965
148,16.936256155000727,112788.3272852965
149,17.01253160149444,109425.82727959602
150,17.40426518332599,109425.82727959602
151,17.80750705862188,109425.82727959602
152,18.46321832457392,103313.87639972813
153,19.14753597135153,87219.7182779699
154,19.412700254650975,87219.7182779699
