iter,sigma,best_value
1,0.9348775624502965,99375.79747690819
2,0.9746888414068484,99003.0184897179
3,1.0414598769257628,98607.43763026093
4,1.1297099991442145,97555.2311349832
5,1.1556607657412998,97555.2311349832
6,1.2893699493625974,96701.05682627397
7,1.495108833627953,95546.48645384345
8,1.6126610648974053,94875.24623061095
9,1.8624333447610875,93132.29763277537
10,2.180318790383291,91345.59786990032
11,2.7407365032883724,88914.38622372439
12,3.1613696823948314,88089.25249365951
13,3.7013782102135457,83175.06479874201
14,4.681427655797326,80385.38048378722
15,5.675206700588849,76735.84112256559
16,6.972867848995369,71811.05825944888
17,8.44516753052327,66842.30541631652
18,10.225092713578272,61790.74071486101
19,11.486353739567738,59431.08133415698
20,13.10946173756666,52626.155825708585
21,14.707943718011174,47911.86618366866
22,16.838360208475667,41368.45976460232
23,19.379203699219257,34710.80230131884
24,22.27688444528831,26542.597083862816
25,27.803249242256868,16629.049699580573
26,32.40307259528436,13890.604824589256
27,34.54169280796676,13890.604824589256
28,37.503979204344425,7318.600087886019
29,41.79217839728407,7318.600087886019
30,42.35863598877243,7318.600087886019
31,44.502309883136704,5868.822212311189
32,44.590575863949475,5868.822212311189
33,42.7983655653788,5868.822212311189
34,40.527776859954315,4934.036553583857
35,38.5634150929867,4934.036553583857
36,33.34900950430152,4235.646840019843
37,29.223056339425884,4235.646840019843
38,27.986325599806104,4235.646840019843
39,27.077970959782487,4117.5012013002115
40,25.88503710916937,3035.9349679195775
41,24.73243357893432,3035.9349679195775
42,22.809539308257317,1103.3951526837031
43,20.002370631287,1103.3951526837031
44,18.25145457579378,1103.3951526837031
45,16.915927657602854,976.0111271013407
46,15.690554173149927,976.0111271013407
47,14.251891008143174,976.0111271013407
48,13.591462140372196,818.2937292281734
49,12.24974595591404,818.2937292281734
50,11.317696919933518,180.36143647010056
51,11.071430479188095,180.36143647010056
52,10.459530670189194,180.36143647010056
53,9.737015849988069,180.36143647010056
54,9.583710475422503,180.36143647010056
55,9.205780689044476,180.36143647010056
56,8.568751983294558,180.36143647010056
57,7.757509418691633,180.36143647010056
58,6.916318391221089,96.0055513753093
59,6.433836887388865,96.0055513753093
60,5.837392927476344,96.0055513753093
61,5.109255043404496,96.0055513753093
62,4.52798496010737,66.89842474409821
63,4.00009300239585,66.89842474409821
64,3.491243416350675,33.75523560517418
65,3.2044038531148873,33.75523560517418
66,2.925234100230397,33.75523560517418
67,2.756900794436746,33.75523560517418
68,2.65164743427779,30.33250009287933
69,2.5065763307624986,30.33250009287933
70,2.2931722262106864,28.965169262551772
71,2.1755617322113574,11.074823069103065
72,2.0991349175243097,11.074823069103065
73,2.087001094372322,11.074823069103065
74,1.9789905303471214,9.031208338119535
75,1.8539930738924124,9.031208338119535
76,1.759081456960153,9.031208338119535
77,1.6242289859324637,6.7741740018232734
78,1.4467383094309045,4.489746819579735
79,1.2822950365468735,3.7754678297125315
80,1.1811549008498345,3.7754678297125315
81,1.0768340954367317,3.7754678297125315
82,1.027256442067023,2.303369207706759
83,0.95966779221256,2.303369207706759
84,0.9163113629094078,1.1564296971574812
85,0.835993158234234,1.1564296971574812
86,0.8288811146822936,1.1564296971574812
87,0.7875725640796778,1.0224759724422139
88,0.7176691551052947,0.7877682608324458
89,0.6454468112184331,0.7877682608324458
90,0.564257991564146,0.6713632842632099
91,0.5098260493217132,0.6713632842632099
92,0.4922354802121497,0.4354920140154948
93,0.472938340420778,0.19601012881706148
94,0.45681711672846975,0.19601012881706148
95,0.41502025202026965,0.19601012881706148
96,0.38449601283030926,0.19601012881706148
97,0.3454028046336344,0.19601012881706148
98,0.31475239241676783,0.19601012881706148
99,0.28690980884806755,0.19601012881706148
100,0.25599005475903797,0.10719550523624062
101,0.23757304788713005,0.10719550523624062
102,0.2378086654592397,0.10719550523624062
103,0.20809559039164502,0.10719550523624062
104,0.1915018609871519,0.05010171170473456
105,0.19014698265671093,0.05010171170473456
106,0.17767336193537964,0.05010171170473456
107,0.16408790157102499,0.047103166738737
108,0.15850165325645457,0.047103166738737
109,0.14657691320745278,0.03538530703689276
110,0.14141585930216308,0.03538530703689276
111,0.12577051479057663,0.021515352174939068
112,0.1145439391356008,0.01598260930392571
113,0.10217497531020729,0.01588229661331228
114,0.09360767168049812,0.01135248998305874
115,0.09468671375282295,0.01135248998305874
116,0.09188616350340954,0.01135248998305874
117,0.08188247996449835,0.01135248998305874
118,0.07575538625588603,0.009898789752660129
119,0.0694104719185357,0.009898789752660129
120,0.065299142509085,0.008282001945188256
121,0.06557758232981398,0.005397905658711231
122,0.06555517004319686,0.004128500546090873
123,0.06294257939071375,0.0009971757526168515
124,0.05885790887769747,0.0009971757526168515
125,0.05586124018577303,0.0009971757526168515
126,0.04899692041406698,0.0009971757526168515
127,0.045163304744671846,0.0009971757526168515
128,0.042429900967501544,0.0009971757526168515
129,0.03985756895967419,0.0009971757526168515
130,0.037520957499510996,0.0007565624145794207
131,0.03640195891113103,0.0007565624145794207
132,0.033605463512465995,0.0007565624145794207
133,0.031214264580957746,0.0007565624145794207
134,0.027893370011508066,0.0004308491027446032
135,0.0257508661733064,0.0004308491027446032
136,0.024713084615807953,0.00027751005517514756
137,0.0241749918930081,0.00027751005517514756
138,0.02222222305503284,0.00027751005517514756
139,0.021564245413567062,0.00027751005517514756
140,0.020644315644579823,0.00027751005517514756
141,0.01977143166599782,0.00027751005517514756
142,0.018002330344686797,0.00026976610696246656
143,0.016690443568761974,0.00026976610696246656
144,0.01617374526362796,0.00026976610696246656
145,0.015240662403445382,0.00017613575067254312
146,0.013929136926872376,0.00017613575067254312
147,0.01238898527198998,0.00017613575067254312
148,0.01122356289404191,0.00014187780195020424
149,0.010681062482415515,0.00014187780195020424
150,0.01037060204876398,0.00012948152024898268
