iter,sigma,best_value
1,0.9870127649090468,9769696987.92246
2,1.0333108392788648,9512168445.05341
3,1.1327152591966665,9195136509.309795
4,1.1833353562626499,9195136509.309795
5,1.3103086969313646,9021765040.313414
6,1.4303471015607478,8725547646.85468
7,1.623533398150528,8277444508.571228
8,1.7766716460847758,8277444508.571228
9,2.1452204002506763,7533162172.927185
10,2.4664208017067737,7124691289.004022
11,2.8472600391890728,6393115556.354591
12,3.166837302141205,6258573577.320048
13,3.7899248633955063,5229509571.406941
14,4.736129156328333,3258538489.7213926
15,5.906647611415801,2686736870.1920223
16,7.3487109712792975,2066325638.7446446
17,8.76968919508154,1282381190.4530056
18,10.581774397654122,461404795.51140934
19,12.439298838058379,11118350.420574207
20,13.06943806220386,11118350.420574207
21,13.950095489414823,83143.62600263987
22,15.698928380074715,83143.62600263987
23,16.871686504587508,83143.62600263987
24,17.357659073765216,83143.62600263987
25,17.09844594678215,83143.62600263987
26,16.445641167331125,83143.62600263987
27,15.741994252582202,83143.62600263987
28,14.348826614936556,83143.62600263987
29,12.833993237065448,83143.62600263987
30,12.594377804444656,83143.62600263987
31,13.448418640587445,83143.62600263987
32,13.847900765520215,83143.62600263987
33,13.040190515155823,83143.62600263987
34,11.695086810852324,83143.62600263987
35,11.103797169508944,83143.62600263987
36,10.52361985300242,83143.62600263987
37,9.76345074135649,83143.62600263987
38,9.802181940766149,83143.62600263987
39,10.04831001896345,83143.62600263987
40,9.612947704879165,83143.62600263987
41,9.051078738706604,83143.62600263987
42,8.505609345354689,83143.62600263987
43,8.502831064551557,83143.62600263987
44,8.073266875786993,83143.62600263987
45,7.851258796729456,83143.62600263987
46,8.797111036596911,83143.62600263987
47,9.275754734687771,83143.62600263987
48,10.119427578014042,83143.62600263987
49,11.078102952151692,83143.62600263987
50,11.20834374949768,83143.62600263987
51,11.219072037009312,83143.62600263987
52,12.004976999937536,83143.62600263987
53,12.951082844259314,83143.62600263987
54,12.85407137540551,83143.62600263987
55,13.674149808591075,83143.62600263987
56,13.815083239131814,83143.62600263987
57,13.743758096322173,83143.62600263987
58,12.677399106919356,83143.62600263987
59,12.825263946503027,83143.62600263987
60,12.91485303011475,83143.62600263987
61,12.804583030228224,83143.62600263987
62,12.988301243976307,83143.62600263987
63,13.285775601928163,83143.62600263987
64,13.290444131252938,83143.62600263987
65,13.070923425991916,83143.62600263987
66,12.741024695850134,83143.62600263987
67,12.267791064770945,83143.62600263987
68,12.183241324410455,83143.62600263987
69,12.292524956036626,83143.62600263987
70,11.733867038144718,83143.62600263987
71,10.305234354279904,83143.62600263987
72,9.522319503537402,83143.62600263987
73,9.10653552222911,83143.62600263987
74,8.691413472072863,83143.62600263987
75,9.138112538933514,83143.62600263987
76,9.263094529338812,83143.62600263987
77,9.705879839948393,83143.62600263987
78,9.690007208049026,83143.62600263987
79,9.938915278001927,83143.62600263987
80,10.632086954888155,83143.62600263987
81,10.592043292735207,83143.62600263987
82,9.886004656727506,83143.62600263987
83,9.980996615367694,83143.62600263987
84,10.059658129930897,83143.62600263987
85,10.20473826927456,83143.62600263987
86,10.426498927443793,83143.62600263987
87,10.766811115217072,83143.62600263987
88,10.339611542017947,83143.62600263987
89,10.368646596991098,83143.62600263987
90,9.66451396667365,83143.62600263987
91,8.982455766453349,83143.62600263987
92,8.908090418699128,83143.62600263987
93,9.299722206584304,83143.62600263987
94,9.61712739272504,83143.62600263987
95,9.681356408609284,83143.62600263987
96,9.561872483699931,83143.62600263987
97,9.671817139810484,83143.62600263987
98,9.218146793255231,83143.62600263987
99,9.008417392020336,83143.62600263987
100,8.461122662861515,83143.62600263987
101,8.36393076336406,83143.62600263987
102,8.584390750152329,83143.62600263987
103,8.126287517339621,83143.62600263987
104,8.08477532670465,83143.62600263987
105,7.623013509744311,83143.62600263987
106,7.357821295249719,83143.62600263987
107,7.389055920920697,83143.62600263987
108,7.030193016338509,83143.62600263987
109,6.812594513840964,83143.62600263987
110,7.101399278852855,83143.62600263987
111,8.076661826326427,83143.62600263987
112,8.817936886162872,83143.62600263987
113,9.071512167646224,83143.62600263987
114,8.527250152050142,83143.62600263987
115,8.804100720682925,83143.62600263987
116,8.498738246895103,83143.62600263987
117,8.243587079482609,83143.62600263987
118,8.549832500934809,83143.62600263987
119,8.160255540685545,83143.62600263987
120,8.02969287978185,83143.62600263987
121,7.718129136856987,83143.62600263987
122,7.658389876102979,83143.62600263987
123,7.578295770292524,83143.62600263987
124,7.759455694623305,83143.62600263987
125,7.587546129367891,83143.62600263987
126,7.557500887012183,83143.62600263987
127,7.4372409000956266,83143.62600263987
128,6.650062778767582,83143.62600263987
129,6.544712643084278,83143.62600263987
130,6.58795533877267,83143.62600263987
131,6.342925555831708,83143.62600263987
132,6.295241480717886,83143.62600263987
133,5.831895790635689,83143.62600263987
134,5.829883416400273,83143.62600263987
135,5.513893905687689,83143.62600263987
136,5.226184823931401,83143.62600263987
137,4.9586087128274805,83143.62600263987
138,4.948362099121547,83143.62600263987
139,4.823584504394038,83143.62600263987
140,4.468762468572622,83143.62600263987
141,4.2038829135083535,83143.62600263987
142,4.238654707623893,83143.62600263987
143,4.147228684873031,83143.62600263987
144,3.881862636644025,83143.62600263987
145,4.012135949556017,83143.62600263987
146,3.9115947141287033,83143.62600263987
147,3.731804189145457,83143.62600263987
148,3.5545689956281232,83143.62600263987
149,3.787473569266969,83143.62600263987
150,3.66593876129437,83143.62600263987
151,3.426624934102756,83143.62600263987
152,3.4296357373981716,83143.62600263987
153,3.377479319938114,83143.62600263987
154,3.3090600303419495,83143.62600263987
155,3.329553153553779,83143.62600263987
156,3.519719135494153,83143.62600263987
157,3.6159178901598343,83143.62600263987
158,3.7126193378623977,83143.62600263987
159,3.589489234553609,83143.62600263987
160,3.381773306266546,83143.62600263987
161,3.3173996556207457,83143.62600263987
162,3.2367928959510435,83143.62600263987
163,3.130332460146292,83143.62600263987
164,3.1565857526297543,83143.62600263987
165,3.2209857886091386,83143.62600263987
166,3.3362999746085866,83143.62600263987
167,3.865392759899493,83143.62600263987
168,4.3071276762284,83143.62600263987
169,4.510665551563879,83143.62600263987
170,4.4902605715722785,83143.62600263987
171,4.263346235870391,83143.62600263987
172,4.067895169845736,83143.62600263987
173,3.972061846243729,83143.62600263987
174,3.7723230946774673,83143.62600263987
175,3.382166982609735,83143.62600263987
176,3.4045506477100407,83143.62600263987
177,2.9357546261586944,83143.62600263987
178,2.6950221791239737,83143.62600263987
179,2.6458560931121897,83143.62600263987
180,2.5137384742142603,83143.62600263987
181,2.475966612193411,83143.62600263987
182,2.4889915206289523,83143.62600263987
183,2.325438562708095,83143.62600263987
184,2.2585781804576435,83143.62600263987
185,2.227892612475332,83143.62600263987
186,2.2209916767013373,83143.62600263987
187,2.204143823733647,83143.62600263987
188,2.0908359735614583,83143.62600263987
189,2.062046264860542,83143.62600263987
190,2.110168452655791,83143.62600263987
191,2.196255689262862,83143.62600263987
192,2.126996408131193,83143.62600263987
193,1.9083177118549588,83143.62600263987
194,1.7572803283088212,83143.62600263987
195,1.5876269661745495,83143.62600263987
196,1.5555160636058123,83143.62600263987
197,1.5183544472222141,83143.62600263987
198,1.4230195881807592,83143.62600263987
199,1.401062066990632,83143.62600263987
200,1.3937786607757856,83143.62600263987
201,1.418407335643004,83143.62600263987
202,1.3270283555069171,83143.62600263987
203,1.3325304055459932,83143.62600263987
204,1.3589226962381784,83143.62600263987
205,1.3925958700079146,83143.62600263987
206,1.4773104642146653,83143.62600263987
207,1.4824800168361214,83143.62600263987
208,1.510866152714517,83143.62600263987
209,1.5495810833512806,83143.62600263987
210,1.5336246793344481,83143.62600263987
211,1.6013292795705194,83143.62600263987
212,1.610687420507381,83143.62600263987
213,1.4639698337826008,83143.62600263987
214,1.3901890167479742,83143.62600263987
215,1.3757738430711552,83143.62600263987
216,1.260521105997472,83143.62600263987
217,1.2960167356239716,83143.62600263987
218,1.3011423075067774,83143.62600263987
219,1.3736682087622891,83143.62600263987
220,1.4982270914917615,83143.62600263987
221,1.706541457499714,83143.62600263987
222,1.9249832532703368,83143.62600263987
223,2.2036197479630335,83143.62600263987
224,2.299875080056453,83143.62600263987
225,2.4994296874453865,83143.62600263987
226,2.5785155463157947,83143.62600263987
227,2.9253934221160027,83143.62600263987
228,3.256458140816606,83143.62600263987
229,3.5280510646135808,83143.62600263987
230,3.8618899154451345,83143.62600263987
231,4.192222347883589,83143.62600263987
232,4.541350511606821,83143.62600263987
233,4.867501362479853,83143.62600263987
234,4.783713599821022,83143.62600263987
235,4.856795307864079,83143.62600263987
236,5.180082143211503,83143.62600263987
237,5.602592592664363,83143.62600263987
238,6.24173511802153,78774.47370146065
239,7.316806416693126,69924.48522876459
240,8.23700317442901,68795.49537928276
241,8.501593537209386,68795.49537928276
242,8.052816539550825,68795.49537928276
243,8.107179985891603,68795.49537928276
244,7.915264974771141,57945.47045411695
245,7.619139106414582,57945.47045411695
246,7.036480901396823,57945.47045411695
247,7.051084099454733,57945.47045411695
248,7.500771942020835,57945.47045411695
249,8.376346077533261,57945.47045411695
250,9.560334796345089,57945.47045411695
251,10.498710966481582,57945.47045411695
252,10.575537582034167,57945.47045411695
253,9.725077155779625,56499.064427117555
254,9.094518607894546,56499.064427117555
255,9.19897748357398,53839.14617637733
256,8.755568963478378,53682.35144131733
257,8.394030392363817,53682.35144131733
258,7.887075731793114,53682.35144131733
259,7.670117373688466,53334.652596378546
260,7.9207552162885,49656.539191542186
261,8.035520154907177,49656.539191542186
262,8.122179167456519,49656.539191542186
263,8.25489638338295,48948.224671850774
264,7.40961128070962,48948.224671850774
265,7.26132579937917,48948.224671850774
266,7.298947591029046,48948.224671850774
267,6.954816200703459,48948.224671850774
268,6.398314132637488,48948.224671850774
269,6.349557922825757,48948.224671850774
270,6.849958757664051,48948.224671850774
271,6.613363035869749,44822.675467158195
272,6.788795550862168,44822.675467158195
273,7.130208419108585,42528.74554968723
274,7.867793278018577,41564.89635161262
275,8.56367903685853,41564.89635161262
276,9.154836300812804,38887.284483300566
277,10.033238555276956,38887.284483300566
278,10.697525392997608,38159.759568549765
279,11.842611914463225,35334.87389594187
280,13.099731072843172,33719.99532243953
281,13.854773688424073,33410.01625515251
282,13.694224097156368,33410.01625515251
283,12.634778474890117,33410.01625515251
284,13.063423357897527,31756.70781957677
285,12.980727441426517,31756.70781957677
286,12.827155344743309,31357.648363752443
287,12.2739549561884,31065.471169734526
288,11.4892869023148,31065.471169734526
289,10.631543184716342,31065.471169734526
290,10.629209796116163,30420.176598927897
291,10.347518000507321,30420.176598927897
292,9.847225041103606,30420.176598927897
293,9.419000987989945,30420.176598927897
294,8.858848567309451,30420.176598927897
295,8.4993659673461,30420.176598927897
296,8.087646090377994,30352.25157307063
297,7.928738135818048,30352.25157307063
298,8.062185422409922,30352.25157307063
299,8.247296744117902,30352.25157307063
300,8.085698639093126,30352.25157307063
301,8.018319221276425,28649.78013220339
302,7.535206777044633,28649.78013220339
303,7.6370165843891025,28649.78013220339
304,7.26164523315231,28649.78013220339
305,7.5499158218810685,28649.78013220339
306,7.908687544755445,28519.48375413876
307,8.200342302232952,28162.20032045287
308,8.641131445993476,25794.96390991816
309,8.891307618541466,25794.96390991816
310,8.267795657850362,25794.96390991816
311,8.437288090730037,25794.96390991816
312,8.34124492629339,25627.6234792503
313,8.050147263168183,25627.6234792503
314,7.926734548530574,25351.28692217577
315,7.581765036002698,25189.667514299217
316,7.429900238552594,25189.667514299217
317,7.290063535151623,25189.667514299217
318,6.939869224234404,25189.667514299217
319,6.685680060257557,25189.667514299217
320,6.887596646840713,25017.270913868986
321,6.759923439096981,24741.700438864442
322,6.937851347963863,24741.700438864442
323,7.146255187335256,24585.23957992671
324,7.125288082134219,24394.1615585291
325,6.984705538091109,24394.1615585291
326,6.942380122929085,24394.1615585291
327,6.597722423596246,24000.45142851301
328,6.677598624963274,23501.432217620913
329,6.635539806466751,23501.432217620913
330,6.841169844960573,23501.432217620913
331,6.526818637485583,23501.432217620913
332,6.561028880394832,22592.636530318003
333,6.733500105309046,22592.636530318003
334,7.172113061973205,22592.636530318003
335,7.400231606804915,22317.22412449463
336,7.239517963348996,22317.22412449463
337,7.590273086684362,20720.654551886717
338,8.363516473717375,20720.654551886717
339,9.45022672675342,19626.48266624424
340,11.12785349631161,19626.48266624424
341,12.460898527891949,18531.357024775527
342,12.797649013176725,18531.357024775527
343,13.207851387347523,17621.448188440725
344,13.38581871492378,17621.448188440725
345,14.013276009886871,17238.27596073497
346,13.993650620422484,17238.27596073497
347,13.865602338093527,16468.17420489785
348,14.627543937765429,15002.450163458248
349,15.943449923469046,14471.90902151953
350,15.114279992516035,14471.90902151953
351,14.898127047439967,13747.87906211769
352,16.041028478324108,12091.667340742699
353,17.95857190449418,10974.174465111837
354,20.504753129464287,9725.79861061594
355,22.026586325670632,9725.79861061594
356,21.42219610714086,9725.79861061594
357,20.57638346193433,9725.79861061594
358,19.162926057596813,9725.79861061594
359,17.741183949793676,9725.79861061594
360,17.52582792086927,9725.79861061594
361,16.614298087353532,9725.79861061594
362,16.17219346259763,9725.79861061594
363,15.984120821066854,9725.79861061594
364,15.923245690662599,9725.79861061594
365,14.998285197001058,9725.79861061594
366,14.350369212558832,9351.148850430847
367,13.624517975856843,8510.000937089053
368,13.360725316658836,7871.776629154371
369,13.766801124760402,6974.199923770208
370,14.371070746753116,6141.140241824367
371,14.243440746559626,6141.140241824367
372,14.046174719135243,6141.140241824367
373,13.64987226082552,6141.140241824367
