iter,sigma,best_value
1,0.9359108307033864,282006578965.7213
2,0.9094026109847251,278288989311.5472
3,0.9064821653518655,276185499591.40967
4,0.9352490370781487,273495169892.95535
5,0.9714654629397591,271563700960.3177
6,1.0098580096823329,270224889006.7381
7,1.0569058755604648,268592816793.9105
8,1.1251443721440582,265918803085.75168
9,1.2244571224562522,259551873997.0156
10,1.3343447328781821,257755200798.15186
11,1.4876267255007911,252523459696.35205
12,1.682343345122236,248279767502.07178
13,1.902403443891654,243958272857.53604
14,2.1943212632029323,237570148652.1247
15,2.48693935923065,230850466574.06204
16,2.826464925813633,223885977267.4508
17,3.1921656319880207,216956495306.12686
18,3.643485942323348,206990474006.11002
19,4.077652728046445,196463213339.42932
20,4.63297844427176,190258984537.9233
21,5.255143886579403,180440668610.70462
22,5.865269661668067,175784721877.3455
23,6.469294052586911,164846603786.72012
24,7.1329765636157685,144064819246.48087
25,7.775113110788884,141430573507.15143
26,8.396561873839298,130660180441.17343
27,9.18615871343263,114632444930.89996
28,9.862203274420025,105976190903.69289
29,10.508437714036367,105976190903.69289
30,11.481090699636576,88098765041.0187
31,12.43117474292885,88098765041.0187
32,13.218546152295952,77826715743.41985
33,14.33054283387058,66327140640.86791
34,15.622302164539038,66327140640.86791
35,17.262451197441592,44842230864.73982
36,18.70686141672377,44842230864.73982
37,20.065654548186906,44842230864.73982
38,22.19130006539839,43400967374.16529
39,23.67490620884791,26309988833.89076
40,25.30014232426033,21873057742.09287
41,27.150341023363328,16397758713.20891
42,28.967772577270935,9487014737.88361
43,30.62688479287802,9487014737.88361
44,31.74063797739101,9487014737.88361
45,32.828060685116085,6776809740.167188
46,33.83915755239012,6776809740.167188
47,34.40947909330055,5483025671.857265
48,34.833111225936605,3869952930.942672
49,34.99022905833238,3869952930.942672
50,34.54265540558742,3869952930.942672
51,33.56357212972671,3869952930.942672
52,32.77985395071387,3869952930.942672
53,32.198954349161696,3869952930.942672
54,30.70343333325072,3506710382.6962233
55,29.264507509256667,3506710382.6962233
56,27.54573542026007,3506710382.6962233
57,26.607659280917403,3362098972.4858484
58,25.161433140059067,3362098972.4858484
59,23.919640111616843,3362098972.4858484
60,22.866691335024683,3362098972.4858484
61,21.52747610234494,2133703896.6162827
62,20.76187432376361,1711369934.0633059
63,19.910136739630214,1703082596.394861
64,18.978737907981653,1703082596.394861
65,18.732960165116108,1459712380.7061505
66,18.54773139267527,1459712380.7061505
67,18.453739566662502,1459712380.7061505
68,18.252622824052484,1459712380.7061505
69,18.074039562481648,1007735702.1553622
70,17.684089064113042,1007735702.1553622
71,16.920579169831637,263762136.3526828
72,16.079462989908667,263762136.3526828
73,15.358158940515496,263762136.3526828
74,14.84269406555977,235566571.56542554
75,14.655547462284577,235566571.56542554
76,14.289585532800066,172098719.57577035
77,13.71706243621969,172098719.57577035
78,13.310754858826085,172098719.57577035
79,12.899269504377314,156879150.51440495
80,12.424771038068718,114999617.95020951
81,12.014511014013987,114999617.95020951
82,11.618119644963985,55888891.43890087
83,11.250439133291527,55888891.43890087
84,11.068632617861399,55888891.43890087
85,10.815228128601223,53911923.61426501
86,10.383759894518393,27816650.577646106
87,9.790494897987395,19558062.103338566
88,9.190659130340073,19558062.103338566
89,8.747194205201833,19558062.103338566
90,8.266238584306196,19558062.103338566
91,7.9295548168876255,19558062.103338566
92,7.688967741688725,19558062.103338566
93,7.376203466628095,17069368.787574425
