iter,sigma,best_value
1,0.9638297790113374,295897.8396082762
2,0.9660732353323185,294763.52374784905
3,0.9855549249234028,294520.4048336869
4,1.007042748573047,293438.1979525635
5,1.0503717731006876,291339.79082292685
6,1.1016760917044939,290158.08261332137
7,1.1673597633996213,288776.9947885879
8,1.2559789357034008,286975.8950490698
9,1.3891316305195878,283705.257418547
10,1.544676466660963,282263.5913633021
11,1.6873942795843133,281741.33450250974
12,1.815537202699659,278935.5417892964
13,1.9795442785027035,277022.9443232697
14,2.1378319680763327,275091.4192969474
15,2.332518100419733,270849.08270953025
16,2.609133464300793,267026.3043340991
17,2.9140137677796214,262516.07911962713
18,3.225659497530448,259206.35272430468
19,3.5660643019062257,256286.48224333854
20,3.9348301630611746,252473.14353750154
21,4.3453214453261015,246643.01156883535
22,4.782626605094448,238340.32511815563
23,5.201244123184838,233832.46153949373
24,5.624689463589299,229198.7832535216
25,6.07887065784835,220521.0274946537
26,6.580679431162103,211667.35574906378
27,7.153345590667231,202964.712566619
28,7.969516610238642,191006.11282345265
29,8.807228627462896,184261.70134634583
30,9.720608279477876,170941.50047586323
31,10.734429680699884,161159.14956436402
32,11.981273811774988,155432.36190345598
33,13.434132685698591,137292.08741368796
34,14.808341347083655,128689.46489878267
35,16.367432771066436,116398.42003817427
36,17.816048129341308,113749.25281324738
37,19.56190409224679,89504.7348698389
38,21.66621283458055,79988.36872111213
39,23.82152440498518,70920.87513846098
40,26.281589607511478,56821.69670702722
41,28.85414368924644,56821.69670702722
42,30.953357233838652,39602.63695810447
43,32.703135346550305,34073.87981411824
44,34.80301667324144,34073.87981411824
45,36.404714164678886,33287.32886896727
46,37.255138013900336,33287.32886896727
47,37.92084403838864,33287.32886896727
48,37.45877707483869,33287.32886896727
49,36.59237618638236,33287.32886896727
50,36.180267462438614,33287.32886896727
51,35.0820863003113,33287.32886896727
52,34.65695176742564,33287.32886896727
53,34.37648737508788,33287.32886896727
54,33.31297832075564,33287.32886896727
55,32.255953287249135,21690.165771021024
56,30.274065248055358,17555.82968571577
57,28.574948859342733,17555.82968571577
58,27.546737411581233,17555.82968571577
59,26.02879714573029,17555.82968571577
60,24.329384198246373,17555.82968571577
61,23.089248857255708,16295.236336686636
62,21.9445231773325,16251.51081128208
63,21.351073384730544,16251.51081128208
64,21.017332349741988,16251.51081128208
65,20.649827717956445,16251.51081128208
66,19.98571409091059,16251.51081128208
67,19.18460256161778,16055.524843275633
68,18.297049407216466,16055.524843275633
69,17.36149085053179,12807.142749958357
70,16.55989761475528,9948.768378372171
71,15.883853646925779,9948.768378372171
72,15.413575780577254,9948.768378372171
73,14.848950090378288,8153.911134205016
74,14.37367248826598,6928.425282685658
75,13.907107774988201,6928.425282685658
76,13.57449040220904,6928.425282685658
77,13.239977599994848,6928.425282685658
78,13.009163154269128,5231.49647761282
