iter,sigma,best_value
1,0.9435108325651984,298275.5434107595
2,0.938128108944588,295934.10635920713
3,0.9412220696061346,295785.98594420485
4,0.9737441048053989,293604.60444951226
5,1.0211917128225656,292813.0620052822
6,1.0950820228629952,290418.1184690841
7,1.1775622183928296,289266.5533088858
8,1.303522237658101,285729.99631507846
9,1.4133509108767555,284779.40435777116
10,1.523539336389905,283151.8838177363
11,1.6546503930923593,281839.5668112386
12,1.8355583077552837,277868.4934393453
13,2.0618639970725803,275713.33882351656
14,2.334744885222409,270623.4750408736
15,2.6646357491548653,267524.5488291216
16,3.0208432276513957,263456.22205575235
17,3.5161235767272294,256953.30808618956
18,4.052423430181182,253685.52191456154
19,4.647714654818632,245553.3702289207
20,5.357050145509891,237485.09956221702
21,6.1723095962988825,222928.810366109
22,7.0680487698194545,218766.9971331133
23,8.041930458255731,214405.7101996003
24,9.269058135115236,199007.50072351246
25,10.63568638106,179332.2828714398
26,12.30593285447082,168041.97336481258
27,14.207622489425841,149349.7510818948
28,16.359746900021655,145585.11214313115
29,18.8569333132791,127780.27929631797
30,21.736605072486594,119173.37664963311
31,24.774429188374224,99943.31905881412
32,27.820967857206153,91753.3800969888
33,30.14356050624138,83387.7929213753
34,32.23239437177481,62398.691363646394
35,33.97855406289079,52527.36956031714
36,36.110158160909876,43732.79267909287
37,38.42850498661854,43732.79267909287
38,40.21930716882768,43732.79267909287
39,41.628389257091975,35874.672725002594
40,42.175857508404654,35874.672725002594
41,42.48315682064894,35874.672725002594
42,42.65965696934263,35874.672725002594
43,42.380829267846764,35874.672725002594
44,41.66341624299269,35874.672725002594
45,40.432012663664636,35874.672725002594
46,39.47156513024083,35874.672725002594
47,38.16167064701181,35874.672725002594
48,36.51466822443346,26294.75381398934
49,35.079553108389995,26294.75381398934
50,34.18120993494447,26294.75381398934
51,33.56440655955804,26294.75381398934
52,32.24720353248163,25476.548522667636
53,30.654736572846737,25383.450921804324
54,28.91654411532903,25383.450921804324
55,27.271765726321888,16404.147895207112
56,25.846267914650323,15807.608735129019
57,24.311060979491906,15807.608735129019
58,23.092002442748313,11466.457453470228
59,22.198297074913423,11466.457453470228
60,21.167677940184802,11466.457453470228
61,20.396017176807526,11114.856515021198
62,19.438305412540355,9466.967873255893
63,18.384576531361375,9466.967873255893
64,17.28209990016296,9466.967873255893
65,16.478299877993102,9267.251488918362
66,15.574330926786248,6678.853392759747
67,14.612031195367567,6151.239439538157
68,13.96697210470554,6151.239439538157
69,13.383773450930923,6151.239439538157
70,12.784547258906791,4521.350111580849
71,12.39469853252275,4078.6910496026794
72,12.046150554132298,4078.6910496026794
73,11.765485168679247,4078.6910496026794
74,11.446588174280174,4010.2550129478846
75,11.217518644669488,4010.2550129478846
76,10.897857294564858,4010.2550129478846
77,10.545655990148353,4010.2550129478846
78,10.201964938501797,3785.124021180969
79,9.735117875463681,3785.124021180969
80,9.185520676363684,2524.0915133962944
81,8.727925997476213,2436.4701655672648
82,8.456166127025414,2400.3574254867776
83,8.254725423396374,1844.3592749598406
84,8.067853541556806,1844.3592749598406
85,7.9103576470766175,1533.674803394255
86,7.780017099669709,1533.674803394255
87,7.582399448798288,1533.674803394255
88,7.385076308909454,1533.674803394255
89,7.194150228898255,1533.674803394255
90,6.955401584295922,1533.674803394255
91,6.700747984281237,1533.674803394255
92,6.337139526040543,1334.4503313258406
93,6.007480410964041,1334.4503313258406
94,5.768105186876517,1334.4503313258406
95,5.647844942126331,1124.4209011871646
96,5.4882300582405,1124.4209011871646
97,5.3249477664365426,1124.4209011871646
98,5.125278131036166,1124.4209011871646
99,4.936286152664197,1124.4209011871646
100,4.748099546881789,844.8644630568114
101,4.5752405715159785,835.2070769151815
102,4.3326943005608065,835.2070769151815
103,4.154444266330536,713.4330166187788
104,4.040879439974214,687.2868959721517
105,3.934961334945763,687.2868959721517
106,3.764939012941006,687.2868959721517
107,3.6250400735370385,644.2262723469286
108,3.463013161912521,644.2262723469286
109,3.3019136611903264,577.2104790495765
110,3.1391018506340767,564.145698700193
