iter,sigma,best_value
1,0.991734440247396,86168024034.45804
2,1.0255912356726895,85679969524.07878
3,1.0890827223656605,83847040141.94191
4,1.182255887898709,82529959658.26836
5,1.3263158607220542,80551544499.24336
6,1.4705303043443385,79408331050.48543
7,1.738614000182845,77234082982.88239
8,2.221618689218882,73045352054.70613
9,2.6667473632989225,71792914025.67473
10,2.918370333158611,70154476755.26006
11,3.1336843361897744,66248943714.372314
12,3.6489193382793563,60125657023.47613
13,4.0768561492462725,57870932429.31976
14,4.163624158110139,56094141977.76862
15,4.501452094238494,52713490761.08516
16,5.710694549835726,40723740575.68965
17,7.095588835650093,37910606253.39429
18,8.519929384400875,31000366209.403667
19,10.386126306071915,24277778118.42147
20,12.645465958565703,19566654068.415596
21,14.544971391472743,14694437208.014914
22,16.041025814748313,14694437208.014914
23,18.313589445934145,11517194386.647617
24,20.414877771556856,5528268809.769379
25,21.007762557663337,5528268809.769379
26,21.459624961924487,5528268809.769379
27,22.50665855873042,3151566976.308543
28,24.097086369208995,2003826311.2122962
29,25.541465450472508,993383907.1995085
30,25.838335915871127,653229672.1138237
31,26.68741457657797,311873204.07069695
32,25.58102768247788,311873204.07069695
33,26.001712280766252,148332586.99400914
34,24.911863367993593,148332586.99400914
35,22.91701558800709,148332586.99400914
36,21.804489286627966,148332586.99400914
37,19.838965939419356,79199618.19434164
38,19.355855922760078,4711506.745317295
39,19.23598049710428,4711506.745317295
40,18.226510005934507,4711506.745317295
41,17.78079596537127,4711506.745317295
42,16.942941339078953,4711506.745317295
43,14.975806795644715,4711506.745317295
44,13.68226435177536,4711506.745317295
45,12.117431119308058,4711506.745317295
46,10.960463313576613,3703414.4576080795
47,10.42191837551153,3703414.4576080795
48,9.885284856250495,3703414.4576080795
49,9.129492522186498,1312252.6485642397
50,8.896264679758703,1312252.6485642397
51,8.767889017966837,1312252.6485642397
52,7.860752735968461,1312252.6485642397
53,7.633740362418643,1312252.6485642397
54,7.049095170399551,1312252.6485642397
55,6.8428312590117395,1312252.6485642397
56,6.405088093120489,817282.9997894982
57,6.19832065037855,511176.61484119727
58,5.7968947946721885,501059.72821471386
59,5.39388247607491,450417.55792341696
60,4.738608395907991,190251.7525815682
61,4.2694617103993036,190251.7525815682
62,4.025393318394876,190251.7525815682
63,3.8031972645938694,148998.03504909683
64,3.547783945073342,148998.03504909683
65,3.1015260971519845,12047.136328706685
66,2.9902091934715997,12047.136328706685
67,2.963462834064757,12047.136328706685
68,2.6819849225400887,12047.136328706685
69,2.298428924048663,12047.136328706685
70,2.1098973158455974,12047.136328706685
71,2.206026658269264,12047.136328706685
72,2.349284177150099,12047.136328706685
73,2.328982198078531,12047.136328706685
74,2.2829081105387417,12047.136328706685
75,2.2337135482309782,12047.136328706685
76,2.0669143544064585,12047.136328706685
77,2.006740848091979,12047.136328706685
78,2.0180322160608304,12047.136328706685
79,1.9139454469054595,12047.136328706685
80,1.8182831443031278,12047.136328706685
81,1.7892906554275276,2811.6304644555116
82,1.7724349280842397,2811.6304644555116
83,1.7127580461838523,2811.6304644555116
84,1.6350253039422722,2811.6304644555116
85,1.5945727123598807,2811.6304644555116
86,1.51806169923873,2528.03702908486
87,1.3748066027416603,2528.03702908486
88,1.3214057270844086,2528.03702908486
89,1.356001190732319,2528.03702908486
90,1.2547813056250992,2528.03702908486
91,1.1652160565082235,2528.03702908486
92,1.007901621724447,2528.03702908486
93,0.9275125785765845,1956.7937297474962
94,0.8249391517326202,1956.7937297474962
95,0.8154589343276031,1515.6789112792044
96,0.8070812166805426,1384.7793847528358
97,0.8275443373205834,1384.7793847528358
98,0.8168707066796115,1384.7793847528358
99,0.7320959988246147,1384.7793847528358
100,0.704769001687535,1384.7793847528358
101,0.742659212214042,557.2740243377741
102,0.7686429180537492,557.2740243377741
103,0.7378311489451517,557.2740243377741
104,0.7436308563806712,557.2740243377741
105,0.7037760356803274,557.2740243377741
106,0.6531753460523537,557.2740243377741
107,0.6621276352017456,557.2740243377741
108,0.600297009070189,557.2740243377741
109,0.5849627007681566,557.2740243377741
110,0.5942395442634826,557.2740243377741
111,0.5593708792933273,557.2740243377741
112,0.5312254158582767,557.2740243377741
113,0.4835432332387242,557.2740243377741
114,0.46191900698731414,557.2740243377741
115,0.4348399865880356,557.2740243377741
116,0.3863336262528885,557.2740243377741
117,0.33867091974693214,464.4963910251938
118,0.31232313172135323,464.4963910251938
119,0.313053395219881,464.4963910251938
120,0.3231734738585485,414.2812062431692
121,0.32470634451967,414.2812062431692
122,0.3297636081150644,414.2812062431692
123,0.29919340297991415,414.2812062431692
124,0.2671947617129072,361.2535073720591
125,0.26984191729056356,361.2535073720591
126,0.2373304840312284,361.2535073720591
127,0.21691451876355136,361.2535073720591
128,0.1967226615370133,361.2535073720591
129,0.19334964414243308,361.2535073720591
130,0.18845124074516328,361.2535073720591
131,0.18266452439352263,311.9997159729902
132,0.17160056938585608,311.9997159729902
133,0.16852801901700235,311.9997159729902
134,0.15865658330327623,311.9997159729902
135,0.16503626050020326,311.9997159729902
136,0.16160262754702504,311.9997159729902
137,0.1542040203223983,311.9997159729902
138,0.1460564729281658,311.9997159729902
139,0.1320519819836383,311.9997159729902
140,0.13256697209585666,311.9997159729902
141,0.12819687594180565,308.0433417943589
142,0.1261359465166346,264.49262656363055
143,0.12345890347659087,264.49262656363055
144,0.11853116897775834,264.49262656363055
145,0.11508435558796748,264.49262656363055
146,0.11967463742650333,261.05599638127615
147,0.1275235773551182,259.7403865170176
148,0.12922946861911752,259.7403865170176
149,0.1273783368869553,259.35600926906807
150,0.12196851238274607,259.35600926906807
151,0.11682629236184056,259.14848114111004
152,0.1130819069702737,255.95249212778364
153,0.10910280522784946,253.5253745909948
154,0.10897674661778288,241.40703259610757
155,0.11320582342221548,241.40703259610757
156,0.10686216806861976,241.40703259610757
157,0.10613353749218375,241.40703259610757
158,0.10611136922689789,237.95553073509603
159,0.10910036162372878,237.95553073509603
160,0.10659289691284383,237.95553073509603
161,0.10134346520051406,235.81793297221128
162,0.0934510827256381,235.81793297221128
163,0.09186221117630544,235.81793297221128
164,0.09023927620704311,235.81793297221128
165,0.09201899447947548,235.81793297221128
166,0.08732294722556769,234.08127277233461
167,0.08630820624163138,233.9100555660893
168,0.08962216463990295,233.9100555660893
169,0.09324530578902049,232.62843084554072
170,0.08601273175007787,232.62843084554072
171,0.07695783720588716,232.62843084554072
172,0.07528233870347406,229.40227362345675
173,0.06803764241816608,229.40227362345675
174,0.06678712345851624,229.40227362345675
175,0.06713859100788784,229.40227362345675
176,0.0693385642676748,229.40227362345675
177,0.06488920929889902,229.40227362345675
178,0.061911341101365064,229.40227362345675
179,0.05722834441391841,229.40227362345675
180,0.0582436847879785,229.40227362345675
181,0.05898899817168233,229.40227362345675
182,0.05567388483869433,229.40227362345675
183,0.0549669387030068,228.96258597794127
184,0.04957491001784037,228.96258597794127
185,0.04673795842172312,228.96258597794127
186,0.045315456587279,228.96258597794127
187,0.041867153141911966,228.96258597794127
188,0.038565888341670324,228.96258597794127
189,0.03670262521408956,228.96258597794127
190,0.03466526285480498,228.96258597794127
191,0.0349558696087937,228.91990009690633
192,0.033507219816418354,228.48531311883863
193,0.03236070776036065,228.48531311883863
194,0.03066994479481555,228.4133564622465
195,0.02828842480361204,228.370036495294
196,0.025727349430078948,228.1874122331612
197,0.02376021382571638,228.0643336228112
198,0.022268469331889352,227.90920400800627
199,0.021796994101207928,227.90920400800627
200,0.022059591890242387,227.90920400800627
201,0.023216196619226765,227.80322736214424
202,0.023837663849397086,227.57389335550374
203,0.024770236017600797,227.57389335550374
204,0.024590077830750783,227.57389335550374
205,0.024467180001722977,227.57389335550374
206,0.0248619866344362,227.57389335550374
207,0.02441191426709455,227.57389335550374
208,0.022464856130976613,227.5705909265466
209,0.021333293150055856,227.526458952705
210,0.020462868800262886,227.43650982896202
211,0.02193873850165136,227.43650982896202
212,0.023223989554582356,227.43650982896202
213,0.024399182967056583,227.43650982896202
214,0.023956254815958474,227.41667479924178
215,0.023595667341060084,227.41667479924178
216,0.02236817518985581,227.41667479924178
217,0.020749752908661646,227.41667479924178
218,0.019203288122520465,227.41667479924178
219,0.018059312190392748,227.34960938129854
220,0.01898310179406616,227.34960938129854
221,0.01889818510012558,227.34578078589394
222,0.018935442878704016,227.34578078589394
223,0.018187840371706877,227.34578078589394
224,0.01647284552501717,227.34578078589394
225,0.014908573110258816,227.34578078589394
226,0.013192083812132452,227.34578078589394
227,0.012321884484840569,227.34578078589394
228,0.012522792121230645,227.32879478821934
229,0.0128087254524371,227.29464725515356
230,0.013067877131303474,227.29464725515356
231,0.012961680550651838,227.29464725515356
232,0.012373685363816134,227.28878770309026
233,0.01197859625846312,227.28878770309026
234,0.010769154475491033,227.28878770309026
235,0.009878894203590513,227.28878770309026
236,0.009342456649528782,227.26813704595057
237,0.008885723163176444,227.26813704595057
238,0.008620418525217053,227.2620614331968
239,0.009097818228705819,227.2620614331968
240,0.009703609597109636,227.26118700474154
241,0.009815881907459623,227.25518576348256
242,0.009379536303540706,227.24018203088235
243,0.0097246854775339,227.24018203088235
244,0.00903309855162141,227.24018203088235
245,0.008692836191911564,227.24018203088235
246,0.007997293640598773,227.23956625932425
247,0.007780699895936547,227.23956625932425
248,0.008137590092263855,227.23956625932425
249,0.008338463990318052,227.23956625932425
250,0.008976054145982983,227.23956625932425
251,0.009167266149649722,227.23956625932425
252,0.009018948866846338,227.23956625932425
253,0.009102731264857389,227.22485005331436
254,0.008926058765030052,227.22393110841665
255,0.008956854658429063,227.2167581141913
256,0.009361902087595205,227.21661333391646
257,0.009260845591689897,227.2162573758151
258,0.010268117230096949,227.21044074144896
259,0.010728824759409655,227.20435074854635
260,0.010447685844239262,227.20435074854635
261,0.009741689972340144,227.20435074854635
262,0.008962225430856547,227.20435074854635
263,0.009498249776936066,227.19186266694652
264,0.00980172186026374,227.18434707682664
265,0.010310560388736977,227.1842594450874
266,0.01003590837574585,227.1740234274617
267,0.00955148884024993,227.1740234274617
268,0.009202805511198257,227.17270327624618
269,0.010297789060051197,227.14613551173977
270,0.010844000649385779,227.14613551173977
271,0.011185216731949395,227.14613551173977
272,0.010919527571629277,227.1215286002203
273,0.012163653831316837,227.1133014856709
274,0.013228693564972666,227.1133014856709
275,0.014609859378302344,227.09591678973734
276,0.015461707546981215,227.08801408531113
277,0.015597996814036822,227.0826957686429
278,0.016261750409278235,227.04755462702354
279,0.016366141462844964,227.04755462702354
280,0.016587216280355886,227.0191493573799
281,0.01736942244100626,227.00567134560202
282,0.018612337924470396,226.9685542115909
283,0.01937120004325707,226.96399086996638
284,0.02104967416571442,226.90053192617333
285,0.023175816616977173,226.81433379361727
286,0.02617558822351948,226.7675397056285
287,0.02831829916399372,226.7390431304087
288,0.02980499388356991,226.7277727778382
289,0.032110390717439985,226.60165349597372
