iter,sigma,best_value
1,0.9603883524898038,9754700922.964123
2,1.0017484604202886,9549214694.032175
3,1.0440962793784085,9365994025.709242
4,1.2045324035540077,9138515414.378685
5,1.4603200446894458,8544487167.034101
6,1.7344426671097424,8312868006.2803335
7,2.073786475914374,7849447838.822481
8,2.4912650506130274,7436033870.541223
9,3.002510411523515,6922257617.191499
10,3.4895372524053156,6355086489.019238
11,4.069137202353935,5943035044.06108
12,4.675872202882658,5378682094.99561
13,5.195136597568485,4713212636.46905
14,5.667195889523759,3984681855.5235505
15,6.261672199344984,3339284347.759074
16,7.33115954105984,2286650247.8435473
17,8.490373155632582,1714510458.7385163
18,9.97017215121527,706245958.010955
19,11.59471903245035,281343988.73611337
20,13.39682881446857,3022718.6904747183
21,14.66484389964872,3022718.6904747183
22,15.953537957179394,134980.0096925049
23,16.814513472357902,134980.0096925049
24,16.943374685136142,134980.0096925049
25,16.727245777965628,134980.0096925049
26,17.134806340143903,134980.0096925049
27,17.33978722870597,134848.52105236056
28,19.022568504414895,134848.52105236056
29,19.22701835536317,134848.52105236056
30,18.296192521954893,134848.52105236056
31,18.061973626932748,134848.52105236056
32,18.39131708808948,134848.52105236056
33,17.259914701003595,134848.52105236056
34,17.64428257416255,134848.52105236056
35,17.35237761280564,134848.52105236056
36,16.654783027326697,134848.52105236056
37,16.203805830591207,134848.52105236056
38,15.713654671012026,134848.52105236056
39,14.507990141733115,134848.52105236056
40,14.571149148013847,134848.52105236056
41,13.81758176247275,134848.52105236056
42,13.801392560192838,134848.52105236056
43,12.90207178627765,134848.52105236056
44,12.070434067491012,119849.61799908515
45,11.107275396288937,119849.61799908515
46,11.396376596253067,119849.61799908515
47,12.179702184372973,119849.61799908515
48,12.949571770490188,119849.61799908515
49,13.27209770988151,119849.61799908515
50,13.723277362033505,119849.61799908515
51,13.836298649527027,119849.61799908515
52,13.953311151099756,119849.61799908515
53,13.784704383524746,119849.61799908515
54,14.67658001536098,119849.61799908515
55,14.95792774617131,119849.61799908515
56,15.38780707316626,119849.61799908515
57,15.388141751962673,119849.61799908515
58,17.208155909235913,119849.61799908515
59,17.64368635361013,119849.61799908515
60,18.09212626888487,119849.61799908515
61,19.01499401918425,119849.61799908515
62,18.50746644510492,119849.61799908515
63,18.016540096529607,119849.61799908515
64,19.120980225079528,119849.61799908515
65,20.318450051587178,119849.61799908515
66,21.082600229455352,119849.61799908515
67,20.866038148216266,119849.61799908515
68,22.027599401758593,119849.61799908515
69,23.16240853523828,119849.61799908515
70,23.238340570025244,119849.61799908515
71,22.45408141107786,119849.61799908515
72,21.009620827990926,119849.61799908515
73,19.960517092861494,119849.61799908515
74,19.453545971589833,119849.61799908515
75,20.112103273216178,119849.61799908515
76,21.22768924208037,119849.61799908515
77,20.002566237037296,119849.61799908515
78,19.308878805199424,119849.61799908515
79,20.971644743677157,119849.61799908515
80,20.8568096381667,119849.61799908515
81,21.21740010317986,119849.61799908515
82,22.163309522539546,119849.61799908515
83,25.90582631358757,119849.61799908515
84,28.4138797348384,119849.61799908515
85,30.69666591197315,119849.61799908515
86,30.742694138091906,119849.61799908515
87,29.10802535899169,119849.61799908515
88,28.258281766382943,119849.61799908515
89,29.387049962935446,119849.61799908515
90,29.56504725790754,119849.61799908515
91,29.445438773173663,119849.61799908515
92,29.005411591187684,119849.61799908515
93,29.885492574119493,119849.61799908515
94,31.365084646050246,119849.61799908515
95,32.03543667931909,119849.61799908515
