iter,sigma,best_value
1,0.9362873302371164,281054699795.08307
2,0.8990435123529122,280011965671.6106
3,0.8739707852179432,279245744019.1091
4,0.8674070195613753,277189616631.6723
5,0.874012577715667,274580546191.39838
6,0.8875583193232855,273899391666.89114
7,0.9034844748562612,273369906405.5614
8,0.9492909502407026,270107332147.97754
9,1.010486518078872,266328736366.12802
10,1.0753264129497662,265919665635.1053
11,1.1490093625166125,260827573562.13824
12,1.2443235657649312,259482979185.89514
13,1.341332755994102,257340170800.38995
14,1.4650247645580516,249713249759.03986
15,1.6107290096023792,247346074425.24228
16,1.7620317947817672,246433786943.46484
17,1.915657243352515,242352501008.1086
18,2.073795441530496,239230369232.23975
19,2.2983894983359914,232734938567.90494
20,2.568232317625318,225998970044.48416
21,2.8560448989453593,220140614112.45746
22,3.197450045567423,210824314729.15424
23,3.5053359515281515,209975128169.60526
24,3.857177071347991,201426770053.6418
25,4.202212381184519,198730780562.25262
26,4.62952145249568,183618867573.03174
27,5.144194949482366,174157482959.044
28,5.771139294715134,159590553022.53278
29,6.521133713512986,142459532483.3565
30,7.415927138071051,137849168470.5395
31,8.469782065392547,126568321087.0926
32,9.57982416441121,111731974373.03561
33,10.884052742439778,96325807165.75664
34,12.331712306718694,92877721904.7361
35,13.786391346274975,88803867758.27005
36,15.836569315542691,63018958198.312775
37,17.84727197267538,62942499318.00116
38,19.780813001160197,49079681134.125114
39,21.661941114059143,49079681134.125114
40,23.314572565104434,40671014684.021164
41,24.945663431580357,34925574551.4907
42,26.76570664614698,25254363225.743538
43,28.634730840938087,25027687830.732475
44,31.16888142934869,13757546830.420752
45,33.205399705472644,12938304411.814306
46,34.97714868346875,12938304411.814306
47,36.28944043823162,12938304411.814306
48,37.659439974355266,12938304411.814306
49,38.36922584904659,12938304411.814306
50,38.65626489891893,12938304411.814306
51,39.30296086889736,12938304411.814306
52,38.70667420529312,12938304411.814306
53,38.96842869771277,11167964984.205873
54,39.39107539032748,11167964984.205873
55,39.15056815939274,11167964984.205873
56,38.46464601454317,11167964984.205873
57,36.92570363989812,11167964984.205873
58,35.115158004367714,11167964984.205873
59,33.360866586968775,10085791523.797606
60,30.98979034391731,10085791523.797606
61,29.09687458832629,9958626650.534903
62,27.25291877684708,5937660993.469087
63,26.212378311171967,5937660993.469087
64,25.741689346532073,4222220702.343173
65,24.924047001757806,4145008813.960948
66,24.128932478200863,3321946293.875268
67,23.333141430045305,3321946293.875268
68,22.45121785618851,1922475911.5032103
69,22.076411838872694,1922475911.5032103
70,21.38163868972486,1504544098.4102454
71,20.860894849372727,721603771.3542819
72,20.647935479345243,721603771.3542819
73,19.91697018528392,600524140.2199978
74,19.054678439623913,597493765.570199
75,18.43330047070691,388198369.2224316
76,17.729452899913973,388198369.2224316
77,17.093361586154863,388198369.2224316
78,16.487147569150387,388198369.2224316
