iter,sigma,best_value
1,0.9238791477909452,9889977313.538448
2,0.9377773618868184,9658477441.55284
3,0.9550860927310763,9467776437.863173
4,0.9809118134637365,9317206265.485538
5,1.0355739575198184,9217829738.540335
6,1.160779046191482,8994426647.574472
7,1.3757046446661922,8659319098.071938
8,1.6990184819880614,7953043457.007144
9,2.0859813560378124,7729344202.4263735
10,2.3937372241495707,7265625232.019552
11,2.794051913411787,6513426387.730722
12,3.1810902399934684,6289780144.023907
13,3.552683984135981,5522735040.3097515
14,4.288283506203188,4071157514.512657
15,5.33004830924,3225506526.201892
16,6.565668979058586,2627067729.216187
17,8.769238184684838,1017356648.944278
18,11.090360550886215,656208710.6440384
19,14.213833011685907,43465291.8963677
20,16.32665972123374,369831.6047737248
21,17.520949546372528,369831.6047737248
22,17.307354224801646,369831.6047737248
23,16.983751339549517,369831.6047737248
24,16.944954214191622,369831.6047737248
25,16.983763883486652,369831.6047737248
26,15.749848288957706,369831.6047737248
27,14.402075086884029,161938.77447022893
28,14.917870780379067,161938.77447022893
29,15.168816069542839,161938.77447022893
30,14.692797898545956,161938.77447022893
31,13.837193654025377,161938.77447022893
32,12.849113652818744,161938.77447022893
33,11.778993183152743,161938.77447022893
34,10.889237028373733,161938.77447022893
35,10.084551071689495,161938.77447022893
36,10.318333354773925,161938.77447022893
37,11.242144269965536,161938.77447022893
38,11.369301838850527,161938.77447022893
39,11.401429748262563,161938.77447022893
40,12.149554648715496,161938.77447022893
41,11.637781295235847,161938.77447022893
42,10.288676631609974,160034.22316173065
43,9.21360286873011,160034.22316173065
44,8.480626013429776,160034.22316173065
45,7.698085033788582,160034.22316173065
46,7.174411443767237,160034.22316173065
47,6.936533646705731,160034.22316173065
48,6.546574996310695,90886.88692559939
49,6.646746975196456,90886.88692559939
50,6.70905819562616,90886.88692559939
51,6.58950278244922,90886.88692559939
52,6.388851224443492,90886.88692559939
53,6.673964198171768,90886.88692559939
54,6.171015467466778,90886.88692559939
55,5.966418132422777,90886.88692559939
56,5.444243125240534,90886.88692559939
57,5.5270951809183115,90886.88692559939
58,5.314666906585849,90886.88692559939
59,5.1799521985645915,90886.88692559939
60,5.024813167372801,90886.88692559939
61,4.708917381054753,90886.88692559939
62,4.564411281491603,90599.34017960161
63,4.510390587794199,90599.34017960161
64,4.708549026694873,90599.34017960161
65,5.183965430588454,90599.34017960161
66,5.4797304812553005,90599.34017960161
67,5.662566448584185,90599.34017960161
68,5.82315025673608,90599.34017960161
69,5.8120821901186925,90599.34017960161
70,5.42559764584029,90599.34017960161
71,5.081557709250331,90599.34017960161
72,5.017914710334357,90599.34017960161
73,4.995456495775219,90599.34017960161
74,4.723523072523092,90599.34017960161
75,4.553526970170113,90599.34017960161
76,4.458729088618805,90599.34017960161
77,4.505078151753911,90599.34017960161
78,4.339397331653056,90599.34017960161
79,4.041344860137703,90599.34017960161
80,3.856424802197623,88094.7821530431
81,3.588948874923429,88094.7821530431
82,3.517818105590349,88094.7821530431
83,3.4412068126812145,88094.7821530431
84,3.3006827876271223,88094.7821530431
85,3.1752773660082836,88094.7821530431
86,3.267082202868668,88094.7821530431
87,3.216597799441768,88094.7821530431
88,3.1018187362130027,88094.7821530431
89,3.2903979657231863,88094.7821530431
90,3.4128974211607463,88094.7821530431
91,3.8577798340790377,88094.7821530431
92,4.55441889095959,88094.7821530431
93,4.625076822345686,88094.7821530431
94,4.971444117500541,88094.7821530431
95,5.3030351509782205,88094.7821530431
96,5.802418844581805,88094.7821530431
97,5.560291409960508,88094.7821530431
98,5.409044343647405,88094.7821530431
99,5.4357993914976355,88094.7821530431
100,5.460266767578518,88094.7821530431
101,5.1371753908046776,88094.7821530431
102,4.961621943307574,88094.7821530431
103,4.595002346283343,88094.7821530431
104,4.091873091505906,88094.7821530431
105,3.6848569330049283,87964.69274170916
106,3.3931106344082593,87964.69274170916
107,3.2011158306259886,87964.69274170916
108,3.166929761543427,87964.69274170916
109,3.3032520405864267,87964.69274170916
110,3.233447841462104,87964.69274170916
111,3.081689491606479,87964.69274170916
112,2.811415320656969,87964.69274170916
113,2.7166278408903612,87964.69274170916
114,2.5925935757130385,87964.69274170916
115,2.6650647718394342,87964.69274170916
116,2.63271234965065,87964.69274170916
117,2.6220127163545506,87964.69274170916
118,2.5413813051146836,87964.69274170916
119,2.46569838421747,87964.69274170916
120,2.3751123033887818,87964.69274170916
121,2.360066232200161,87964.69274170916
122,2.3131695163104333,87964.69274170916
123,2.2069390209781634,87964.69274170916
124,2.0177234995520736,87964.69274170916
125,1.952966356431553,87964.69274170916
126,2.0612084480603996,87964.69274170916
127,2.025242868621905,87964.69274170916
128,2.061837617177014,87964.69274170916
129,2.0271535552338573,87964.69274170916
130,2.06145811996014,87964.69274170916
131,1.9808372599206345,87964.69274170916
132,1.9465506449828973,87964.69274170916
133,1.977056781899218,87964.69274170916
134,1.9158507895831844,87964.69274170916
135,2.0067680033871578,87964.69274170916
136,2.0925301526367064,87964.69274170916
137,2.0983409505733555,87964.69274170916
138,2.1261256372956883,87964.69274170916
139,2.2702764211469733,87964.69274170916
140,2.478426499068798,87964.69274170916
141,2.8231758720912152,87964.69274170916
142,3.3294285637953145,87964.69274170916
143,3.6432146287788547,87964.69274170916
144,3.7621307215447333,87964.69274170916
145,3.614317608192901,87964.69274170916
146,3.8559024431043416,87964.69274170916
147,3.6165651827665486,87964.69274170916
148,3.4015656153753664,87964.69274170916
149,3.3227321876604314,87964.69274170916
150,3.365525707375314,87964.69274170916
151,3.0531296897918176,87964.69274170916
152,2.977173088061695,87964.69274170916
153,3.0036606219119175,87964.69274170916
154,3.10634869423408,87964.69274170916
155,3.150463064479605,87964.69274170916
156,3.1814380607063892,87964.69274170916
157,3.2524693327719145,87964.69274170916
158,3.314656568845118,87964.69274170916
159,3.400641968770087,87964.69274170916
160,3.6825154892208616,87964.69274170916
161,3.8450383575089635,87964.69274170916
162,3.9649732868071306,87964.69274170916
163,4.119484052709969,87964.69274170916
164,4.025700571351553,87964.69274170916
165,3.756758394301601,87964.69274170916
166,3.2961455954408247,87964.69274170916
167,3.030182942054337,87964.69274170916
168,2.935174320868161,87964.69274170916
169,3.019712452758597,87964.69274170916
170,2.807367231674704,87964.69274170916
171,2.728234959511647,87964.69274170916
172,2.6215550201835973,87964.69274170916
173,2.569433657037808,87964.69274170916
174,2.529308173859764,87964.69274170916
175,2.498847033482184,87964.69274170916
176,2.4661240862537674,87964.69274170916
177,2.51222132634922,87964.69274170916
178,2.567969412983973,87964.69274170916
179,2.5407258964983965,87964.69274170916
180,2.473795493433501,87964.69274170916
181,2.2660373860160696,87964.69274170916
182,2.364973203708085,87964.69274170916
183,2.4175080350967,87964.69274170916
184,2.378590112927396,87964.69274170916
185,2.3650991466523177,87964.69274170916
186,2.407999409441851,87964.69274170916
187,2.284295694535792,87964.69274170916
188,2.388218788322884,87964.69274170916
189,2.2571091890774673,87964.69274170916
190,2.2125093793653554,87964.69274170916
191,2.230682413259398,87964.69274170916
192,2.0270713015915325,87964.69274170916
193,2.006836054783491,87964.69274170916
194,2.1379284453638094,86942.81135491111
195,2.0745583513153174,86942.81135491111
196,2.036404859169267,86942.81135491111
197,2.000374968482524,86942.81135491111
198,1.957984486259944,86942.81135491111
199,1.936585618148548,86942.81135491111
200,1.8769864996855201,86942.81135491111
201,1.8861112372177393,86942.81135491111
202,1.8627936231192843,86942.81135491111
203,1.8473675382458066,86942.81135491111
204,1.7259223191426407,86942.81135491111
205,1.6825966819317637,86942.81135491111
206,1.6215584878784552,86942.81135491111
207,1.5248803262328294,86942.81135491111
208,1.4349686599951939,86942.81135491111
209,1.4341338704728395,86942.81135491111
210,1.5430554499782014,86942.81135491111
211,1.6777154738479674,86028.67335776995
212,1.689584940238426,86028.67335776995
213,1.688167154351193,86028.67335776995
214,1.511640289244025,86028.67335776995
215,1.5057640161727608,86028.67335776995
216,1.49954289483511,86028.67335776995
217,1.6225983441480798,86028.67335776995
218,1.6093707303504152,86028.67335776995
219,1.598964630652873,86028.67335776995
220,1.634773403509101,86028.67335776995
221,1.6578267613223332,86028.67335776995
222,1.7296788986830083,86028.67335776995
223,1.8608784951637911,86028.67335776995
224,1.887396012509913,85306.61617941123
225,1.9258134523316608,85192.97962527092
226,1.9596151640317439,85003.6638498704
227,1.9410054706210609,85003.6638498704
228,1.9999512872331509,85003.6638498704
229,2.0033789444562884,84079.87814967953
230,1.9563069283144878,84079.87814967953
231,1.8250044527967637,84079.87814967953
232,1.9610271332372728,83153.27754196798
233,2.0076657590132982,82555.21434276417
234,2.1732636866195363,81864.10913085421
235,2.299978297615479,81864.10913085421
236,2.602351706287334,81864.10913085421
237,2.9620731215808145,81358.83863858267
