iter,sigma,best_value
1,0.9472700302097155,282331134692.6839
2,0.9277663195704862,279696646289.20685
3,0.9181685085421043,276952760363.7968
4,0.9309786062264055,275197432615.7245
5,0.9561715057350098,273843207068.59158
6,0.9967922714745023,272309147270.3783
7,1.0660707736036652,268397064029.61163
8,1.150983199431541,265586376056.86142
9,1.250429365846361,262457599519.31464
10,1.3509422906729132,259527083700.47147
11,1.4785161987982227,256783173384.57532
12,1.6236871000372277,251403523484.3741
13,1.8597336322878397,238182139757.0207
14,2.114089008170028,238182139757.0207
15,2.36925104334199,236344415377.31796
16,2.656298527778772,229759602582.11728
17,2.9987636882071653,217695650287.4035
18,3.329784861613282,217695650287.4035
19,3.703706364804163,207653734902.56708
20,4.14365651679644,201381463109.3413
21,4.5589668849356535,199661428413.84555
22,5.06404836475373,189442686260.83423
23,5.575808871284804,178188546238.6845
24,6.226685010033217,160831357014.64078
25,7.059348650560026,145371292981.60135
26,8.126945942038482,135440029394.48573
27,9.40944972186553,131097994420.17583
28,11.060983972427127,110706357049.00874
29,12.688457518023458,104870697206.30664
30,14.344961936369746,104870697206.30664
31,15.861916252574412,104870697206.30664
32,17.067827328325013,104870697206.30664
33,18.09685950758855,81008263630.70695
34,19.19255048552405,72610686982.55478
35,20.241067756521886,59948746184.4578
36,21.539068810152806,49517166034.145485
37,23.124453935075554,33885697929.16684
38,24.44303316788653,29500968871.937996
39,25.674919197745115,29500968871.937996
40,26.773611526290555,21683090006.269955
41,28.352441489747175,21683090006.269955
42,29.53694078532948,20888825631.702248
43,30.58084526751665,16161681257.496304
44,32.14424983118438,16161681257.496304
45,33.358377126846975,11212840849.887756
46,34.6802662469277,11212840849.887756
47,35.384917592146245,11212840849.887756
48,35.30628852547375,11212840849.887756
49,34.524469302118284,11212840849.887756
50,33.80682675066565,8259392875.118162
51,32.98283107143568,8259392875.118162
52,31.35119529574503,8259392875.118162
53,29.867660643696247,5900849517.950306
54,28.118832884060712,5644506598.626985
55,26.854027652242987,2788042983.8754935
56,25.637987666081756,2788042983.8754935
57,24.475419752789303,2788042983.8754935
58,23.570683701668052,2762678247.443612
59,23.077423283086752,2624367892.6483736
60,22.607743697514522,2487212465.0172577
61,22.059141172827655,2487212465.0172577
62,21.10448399519721,2314160244.250406
63,20.008702233671563,1850958995.7934356
64,18.96960006909025,768460329.8099008
65,18.366936905058918,768460329.8099008
66,17.88751432453119,768460329.8099008
67,17.38680961604644,768460329.8099008
68,16.790897896118192,567940390.9455202
69,16.306637597962936,567940390.9455202
70,15.94417427417987,567940390.9455202
71,15.40438359699088,365302366.3160084
72,14.920961038748112,161709115.1670802
73,14.30234021693465,89069245.13839664
74,13.863463242881627,89069245.13839664
75,13.712353451186404,89069245.13839664
76,13.414959318633436,89069245.13839664
77,13.28212351598434,89069245.13839664
78,12.71010143184386,89069245.13839664
79,12.458995748944874,89069245.13839664
80,12.22097970938854,89069245.13839664
81,11.998576879493383,89069245.13839664
82,11.656961559343257,89069245.13839664
83,11.349791804605161,89069245.13839664
84,11.114666283874307,89069245.13839664
85,10.496192679039597,89069245.13839664
86,9.982346229919491,51652732.4698528
87,9.48854595318157,46695104.22453586
88,9.043302725164471,46695104.22453586
89,8.692365407355194,22927058.397973027
90,8.535145456321292,22927058.397973027
91,8.198242110031554,22927058.397973027
92,7.887028214646143,12225805.881536707
93,7.6165085279890254,12225805.881536707
94,7.298208173770778,12225805.881536707
95,7.1241582451558765,12225805.881536707
96,6.96548139977702,12225805.881536707
97,6.797740467976445,12225805.881536707
98,6.611861784129047,12225805.881536707
99,6.362156363480117,12225805.881536707
100,6.213172120676151,12225805.881536707
101,5.976118211901468,12225805.881536707
102,5.731530679951533,12225805.881536707
103,5.4950724642432,12016370.24797795
104,5.377338954323763,10439219.024270808
105,5.247034406538534,10439219.024270808
106,5.04326529096235,8572784.41816849
107,4.861438289424439,4945123.90551656
108,4.635461581246167,2534869.1431953358
109,4.415052960421243,1940016.8096746842
110,4.234340602898045,1940016.8096746842
111,4.175607944038305,1940016.8096746842
112,4.056405120121037,1651178.7605985375
113,3.9594148655365986,1651178.7605985375
114,3.861657350058042,1651178.7605985375
115,3.754146858749421,1211885.2024857802
116,3.6141734505039325,1211885.2024857802
117,3.456643570448636,1211885.2024857802
118,3.3148248167088497,415825.6899536124
119,3.1457155404924277,415825.6899536124
120,2.993624587561385,415825.6899536124
121,2.875630492825471,415825.6899536124
122,2.751948395847696,415825.6899536124
123,2.663363162815449,415825.6899536124
124,2.555888780811185,384544.09260729636
125,2.469842682092117,384544.09260729636
126,2.432102397067462,225935.75366598353
127,2.379941112863191,225935.75366598353
128,2.308896555468824,225935.75366598353
129,2.207109111296658,223268.630900228
130,2.130034929025492,223268.630900228
131,2.0364531028986304,123068.04025997379
132,1.9393339567216812,89932.7518198214
133,1.8503577504809603,89932.7518198214
134,1.7570504276076808,89932.7518198214
135,1.6762517361420715,89932.7518198214
136,1.615164939513094,89932.7518198214
137,1.5529094051198489,71623.33282314563
138,1.4945508884974603,43457.970903227535
139,1.4527036910842501,43457.970903227535
140,1.4356268156597003,43457.970903227535
141,1.3945831355448794,43457.970903227535
142,1.3511134256776545,43457.970903227535
143,1.3106267435215146,43457.970903227535
144,1.2579609020134093,43457.970903227535
145,1.2029721026205438,43457.970903227535
146,1.1449710764412662,43457.970903227535
147,1.0921852766608124,43457.970903227535
148,1.0604560707612767,43457.970903227535
149,1.024588898940959,43005.73238224931
150,0.9894742527137367,43005.73238224931
151,0.9579613814600497,43005.73238224931
152,0.9527548575583056,32184.075845186468
153,0.9263299667900717,32184.075845186468
154,0.92950267478717,32184.075845186468
155,0.9422227063872117,32184.075845186468
156,0.9429334094048697,32184.075845186468
157,0.9366445007971732,32184.075845186468
158,0.9139668260333318,32184.075845186468
159,0.8876885006491986,32184.075845186468
160,0.8552033085398096,32184.075845186468
161,0.8206973265657289,32184.075845186468
162,0.7813329283979826,32184.075845186468
