iter,sigma,best_value
1,0.9533997345627971,2820375.9970999295
2,1.053109200191939,2781194.9603152834
3,1.1828353416029227,2769365.6820539394
4,1.2708637930693631,2741902.1937060705
5,1.3736303692126237,2725432.683446128
6,1.6470013251118858,2667179.5833186344
7,2.0966823651275557,2579590.8388458267
8,2.5406027522614973,2579590.8388458267
9,3.1948463787390167,2479901.5039696307
10,3.8805908254540795,2461560.9539794116
11,4.691252958553295,2301921.8628367125
12,5.628127421856592,2169714.41211425
13,7.1097433980653895,2033500.8841895582
14,9.124261101730877,1756587.6199159226
15,11.925211434747347,1508611.1610963827
16,15.069462668834516,1283736.2615461075
17,19.741567607099498,845750.6264273061
18,24.170692049338218,798043.1128373881
19,28.072101336790368,455566.7253928077
20,30.897859522969814,455566.7253928077
21,32.801950642125725,439916.7349044463
22,34.32280793714577,285842.2917991668
23,33.82111897385974,274215.6523978817
24,40.026595627891076,43406.23894147017
25,48.159386874510034,31373.545336020412
26,51.13790408419719,25022.37217594147
27,49.06117508293149,13209.854511531066
28,48.354023913212565,13209.854511531066
29,45.03484872737066,8223.507028696915
30,45.71285668571428,8223.507028696915
31,45.3017730052947,8223.507028696915
32,43.83380904408303,8223.507028696915
33,42.159596379213234,8223.507028696915
34,39.80547094436615,8223.507028696915
35,36.84191814067608,8223.507028696915
36,34.05453291811259,8223.507028696915
37,29.251014590193705,8223.507028696915
38,25.757293558393027,8223.507028696915
39,24.421049485864845,8223.507028696915
40,23.34919351752725,8223.507028696915
41,24.205567812276048,6781.562720000336
42,26.225944358376513,6207.208195107168
43,28.069661428446608,6207.208195107168
44,26.38511974173948,6207.208195107168
45,24.547957303863686,6159.611060469275
46,24.129474732432058,6159.611060469275
47,21.757225863358695,3891.6369519247955
48,19.863744419259028,3891.6369519247955
49,18.939273875574496,3095.4821455893034
50,17.588337520990915,3095.4821455893034
51,16.63089003850691,3095.4821455893034
52,16.27946688071572,3095.4821455893034
53,16.306403609267008,3095.4821455893034
54,15.437148791600455,3095.4821455893034
55,14.597873789399253,3095.4821455893034
56,13.179293079193789,2190.1637514722497
57,13.628450577288753,1347.5600328496835
58,14.839148561462281,887.6333680460433
59,16.18972409019599,887.6333680460433
60,17.341960108586317,660.196922530516
61,18.221521814280933,660.196922530516
62,17.901922380721118,660.196922530516
63,17.831500623862983,660.196922530516
64,17.688054043344334,660.196922530516
65,17.675656093315844,660.196922530516
66,16.987097379712555,660.196922530516
67,16.51642400101804,660.196922530516
68,15.99894381844328,660.196922530516
69,14.82347154467137,660.196922530516
70,14.949718139640305,660.196922530516
71,14.470473839245313,660.196922530516
72,13.980299587027684,660.196922530516
73,13.074911402038333,660.196922530516
74,12.9289216671604,660.196922530516
75,12.768525534570287,660.196922530516
76,12.141265359066436,623.6659808337258
77,12.922931427312868,623.6659808337258
78,13.354422639685225,623.6659808337258
79,12.829942926432102,623.6659808337258
80,11.707840980815968,623.6659808337258
81,10.670381253681931,483.1825342298685
82,9.730157809758849,483.1825342298685
83,9.414138879306245,483.1825342298685
84,8.705724374354633,483.1825342298685
85,8.177000616559928,483.1825342298685
86,7.8922713784639065,483.1825342298685
87,7.4632312748654765,483.1825342298685
88,7.213475649102928,467.18929073291093
89,7.251255092607892,275.1978689554933
90,7.541158358195205,261.46220964975123
91,7.997161307968622,260.49173979827833
92,8.23166039374564,195.56842383782086
93,8.543099207826607,167.1663487785108
94,9.153947028360347,167.1663487785108
95,9.352604507899898,167.1663487785108
96,9.364995163231765,167.1663487785108
97,8.688655028130418,167.1663487785108
98,7.818602780658052,102.3713978980974
99,7.436127366227137,102.3713978980974
100,6.563365459710631,102.3713978980974
101,6.024235981352826,102.3713978980974
102,5.5264409034898385,102.3713978980974
103,5.509996767887115,102.3713978980974
104,5.206902769991146,50.412345400829984
105,4.958230215944819,50.412345400829984
106,4.709377035007941,50.412345400829984
107,4.592617261573545,50.412345400829984
108,4.707344183071806,50.412345400829984
109,4.65858424628054,50.412345400829984
110,4.345233687944371,50.412345400829984
111,4.007344731134155,29.78285139127898
112,3.6503877840267753,28.40750962849084
113,3.402804101463795,20.31456384194288
114,3.059216607649321,20.31456384194288
115,2.9475425748837054,20.31456384194288
116,2.853778251291959,14.289532662582307
117,2.6725007997392014,14.289532662582307
118,2.4404230874245365,14.289532662582307
119,2.2113089828369343,14.289532662582307
120,2.046072323038752,14.289532662582307
121,1.9093241749219454,14.207779701026817
122,1.7524360867937518,14.207779701026817
123,1.5952766943075354,12.105780965373352
124,1.4635311264913624,6.851897684148639
125,1.42280395157416,6.851897684148639
126,1.3032414052225039,6.851897684148639
127,1.2525003565634343,6.851897684148639
128,1.2541338719080366,6.3906341441092325
129,1.2102921843215937,5.303121940766049
130,1.2470125244985693,5.303121940766049
131,1.2797551537805956,5.303121940766049
132,1.3115919567579022,4.753999123361436
133,1.3483746549369517,4.753999123361436
134,1.3016932705542772,4.753999123361436
135,1.1981126608153723,4.460253329607601
136,1.111605245224976,3.9097084576911456
137,0.984304945930851,3.9097084576911456
138,0.9527687430672137,3.9097084576911456
139,0.9168376439864935,3.7240452064031833
140,0.9079140131493213,1.970334465995267
141,0.8964231460884304,1.970334465995267
142,0.880968240567375,1.9011934143371547
143,0.883087765248851,1.6699450780886564
144,0.9025472401160358,1.286374529545113
145,0.920125052346686,1.286374529545113
146,0.9372631164417924,1.0174287140025031
147,1.0281381251943082,0.9975515049485708
148,1.0353579369061456,0.9975515049485708
149,0.9470335895243884,0.9975515049485708
150,0.8321455310629822,0.9212084402217681
151,0.747764982308597,0.30300347599315663
152,0.7264525742126655,0.30300347599315663
153,0.6550283354495032,0.30300347599315663
154,0.6106897811617095,0.28637191702985115
155,0.5619805277255686,0.2018437643647838
156,0.5374460422661893,0.2018437643647838
157,0.4904150469817006,0.2018437643647838
158,0.4428562404922602,0.2018437643647838
159,0.4235006638782933,0.2018437643647838
160,0.4199339482297039,0.2018437643647838
161,0.4050160459595244,0.2018437643647838
162,0.35894969238421176,0.2018437643647838
163,0.32047962569192895,0.2018437643647838
164,0.28506018292534474,0.18807697424447736
165,0.2700598040363973,0.17534189919616147
166,0.2863830608801456,0.11783159080611963
167,0.29792259915163033,0.09583157284796551
168,0.3256401495245984,0.09583157284796551
169,0.3336642721307064,0.05851075642423022
170,0.3334741526806841,0.05851075642423022
171,0.3116964343089833,0.05851075642423022
172,0.2762322155021466,0.05851075642423022
173,0.2513914732240745,0.05851075642423022
174,0.2282318705838261,0.05851075642423022
175,0.21725512556933127,0.029011360358161677
176,0.2094941513693988,0.029011360358161677
177,0.19862430098249065,0.026441030301937604
178,0.1909769591050577,0.023243090062242767
179,0.1790175400779136,0.023243090062242767
180,0.15223444862129434,0.021572754738685588
181,0.13400404448210568,0.021572754738685588
182,0.12384952112824002,0.016802889092015556
183,0.1134426207272164,0.006412580451090503
184,0.10218112563649458,0.006412580451090503
185,0.09541503337133019,0.006412580451090503
186,0.08928688228832582,0.005815393928322973
187,0.08791277228634815,0.004861540576952291
188,0.08944549156802066,0.003458615537952251
189,0.08643232304607423,0.003083849882282536
190,0.08199915926736452,0.003083849882282536
191,0.07827590388553606,0.003083849882282536
192,0.0778958772440975,0.003083849882282536
193,0.07644407533978737,0.003083849882282536
194,0.07315008777564903,0.0026046629138038666
195,0.06550190831373742,0.0026046629138038666
196,0.06091140272037342,0.001182594279999811
197,0.05865785328579435,0.001182594279999811
198,0.05460261283207342,0.001182594279999811
199,0.05062229289488896,0.001182594279999811
200,0.0462309764988435,0.0010378680465223283
201,0.042922478664284315,0.000982563615560135
202,0.040768680517292384,0.0008626846352389464
203,0.04216032970564992,0.0008626846352389464
204,0.04273746279908709,0.0008626846352389464
205,0.043467649712581526,0.0008626846352389464
206,0.04165160388896044,0.0008626846352389464
207,0.0393218407370499,0.000829571156147191
208,0.0369268175267693,0.000584594684363879
209,0.03486693119919658,0.0004332871856163093
210,0.03133293923459112,0.00027184846203321696
211,0.030071087343704415,0.00014761739179815312
212,0.027985884064856553,0.00014761739179815312
213,0.025547661735394755,0.00014761739179815312
214,0.02362644175580805,0.00014761739179815312
215,0.021604979016645473,0.00014761739179815312
216,0.01985231930173185,0.00014761739179815312
217,0.017949990661726395,5.8996752003111544e-05
218,0.0176947588492022,5.8996752003111544e-05
219,0.016478713716934875,5.8996752003111544e-05
220,0.015692628696193436,5.8996752003111544e-05
221,0.014795102117109545,5.8996752003111544e-05
222,0.013344099031144564,4.1508677025503466e-05
223,0.012566205529701384,4.1508677025503466e-05
224,0.012073994977207722,3.58349134013041e-05
225,0.011928022768565928,3.58349134013041e-05
226,0.011604046017804173,3.58349134013041e-05
227,0.01092300517177451,3.58349134013041e-05
228,0.010047691012768763,2.4292456768623183e-05
229,0.00954431225379168,2.4292456768623183e-05
230,0.008834883354739096,9.855856271241095e-06
231,0.007861374711429607,9.596638789323986e-06
232,0.00707037260408666,7.485574242461699e-06
233,0.006378177089142069,7.485574242461699e-06
234,0.005585949282708289,7.485574242461699e-06
235,0.005118027257104546,5.535395631976524e-06
236,0.0051917732899136385,2.7727833372604253e-06
237,0.004891288179305716,2.7727833372604253e-06
238,0.004632114939495981,2.7727833372604253e-06
239,0.004176819976617836,2.7727833372604253e-06
240,0.0040931990718706315,2.7727833372604253e-06
241,0.003965374461717854,2.7727833372604253e-06
242,0.003699160713110343,2.7727833372604253e-06
243,0.0034735186491116764,1.2284680639005077e-06
244,0.0031429177957133037,1.2284680639005077e-06
245,0.003274850305602185,1.2284680639005077e-06
246,0.003674915407232614,1.2284680639005077e-06
247,0.003605306878259532,1.2284680639005077e-06
248,0.0032996176683047058,1.2284680639005077e-06
249,0.003091424272605603,1.2284680639005077e-06
250,0.00275948534235239,9.457171508025456e-07
251,0.0024986519289496895,9.457171508025456e-07
252,0.0022569089621696575,5.820713988018117e-07
253,0.002000055982961928,5.820713988018117e-07
254,0.0018518694367316072,2.67789609709946e-07
255,0.0017292596671669269,2.67789609709946e-07
256,0.0016692428061385507,2.67789609709946e-07
257,0.001584418339419781,2.67789609709946e-07
258,0.0015330088813675243,2.67789609709946e-07
259,0.0015280974572063242,2.67789609709946e-07
260,0.0014969139344935174,2.67789609709946e-07
261,0.0014024127759321102,2.67789609709946e-07
262,0.001289881251590987,2.67789609709946e-07
263,0.001186380781647344,2.67789609709946e-07
264,0.001046185385548847,1.0654863019575015e-07
265,0.0009576634039779195,1.0293135404255773e-07
266,0.000928714502196966,1.0293135404255773e-07
267,0.0008686894948759724,1.0293135404255773e-07
268,0.0008027317205623862,1.0293135404255773e-07
269,0.0007525156562697104,9.981495896433441e-08
270,0.0006947549539977666,5.971540516697991e-08
271,0.0006934706847437148,5.3528374970300535e-08
272,0.0006752632197370787,4.4221448853525236e-08
273,0.0006593828794390439,3.076940454279637e-08
274,0.0006350060544801662,3.076940454279637e-08
275,0.0005929429089297408,3.076940454279637e-08
276,0.0005668049979000333,3.076940454279637e-08
277,0.000536535811879385,3.076940454279637e-08
278,0.0004804546085964975,2.9356183247540373e-08
279,0.000472022481853331,1.1246966834795054e-08
280,0.0004908296813140413,1.1246966834795054e-08
281,0.0004749263576866702,1.1246966834795054e-08
282,0.0004609852367894482,1.1246966834795054e-08
283,0.0004186616969968198,1.1246966834795054e-08
284,0.0003938628010245404,9.237830568680704e-09
285,0.0003918955809416319,9.237830568680704e-09
286,0.00038718227651259783,9.237830568680704e-09
287,0.0003499021821297074,9.237830568680704e-09
288,0.0003137225466178898,7.632803324064125e-09
289,0.0002808902087059259,7.632803324064125e-09
290,0.00027129356619791676,7.632803324064125e-09
291,0.0002619959284118253,7.632803324064125e-09
292,0.0002423457185007503,7.632803324064125e-09
293,0.00022950463579433686,7.632803324064125e-09
294,0.00020973158422712572,3.5813036705063537e-09
295,0.00019871354230645017,3.55230365500003e-09
296,0.0001953344906334963,2.740813409070795e-09
297,0.00017668358830124278,6.4084822481422e-10
298,0.00016030513591859508,6.4084822481422e-10
299,0.00014194832285922279,6.4084822481422e-10
300,0.0001339020344310102,6.4084822481422e-10
301,0.0001208718698125328,6.4084822481422e-10
302,0.00011095372073178254,6.4084822481422e-10
303,0.00010467149438410383,6.4084822481422e-10
304,9.891259199356112e-05,6.4084822481422e-10
305,8.709086018871077e-05,6.4084822481422e-10
306,8.159210322884034e-05,1.8320269954148467e-10
307,7.924931702982566e-05,1.8320269954148467e-10
308,7.558906581581083e-05,1.8320269954148467e-10
309,6.883368326652125e-05,1.8320269954148467e-10
310,6.406303253959358e-05,1.8320269954148467e-10
311,5.8477974937529866e-05,1.8320269954148467e-10
312,5.268743663383305e-05,1.0353450576688177e-10
313,4.931145476558881e-05,1.0353450576688177e-10
314,4.548018952408439e-05,1.0353450576688177e-10
315,4.319692633989494e-05,1.0353450576688177e-10
316,4.1509442124034654e-05,1.0353450576688177e-10
317,3.77618625145466e-05,9.652931937099643e-11
318,3.516218327676499e-05,8.585815709317275e-11
319,3.190174857467891e-05,8.442928429616779e-11
320,3.0374528931495758e-05,8.442928429616779e-11
321,2.7862219284931046e-05,6.22988197083484e-11
322,2.5762370465546998e-05,5.1079969129705805e-11
323,2.335006103186727e-05,4.858730780868448e-11
324,2.3642072908963167e-05,1.7970059223585907e-11
325,2.2368151815168794e-05,1.7970059223585907e-11
326,2.0778001017834505e-05,1.5885682834531943e-11
327,1.898849310345893e-05,1.5885682834531943e-11
328,1.7535554197306092e-05,1.5885682834531943e-11
329,1.5791823091930664e-05,9.919467030586555e-12
330,1.466351094111978e-05,9.919467030586555e-12
331,1.3520962467382112e-05,9.919467030586555e-12
332,1.2385383752654048e-05,9.919467030586555e-12
333,1.1358717152470594e-05,4.2367809513739125e-12
334,1.0143263251328728e-05,2.5952275443128552e-12
335,9.484585341399492e-06,2.5952275443128552e-12
336,9.007863096982627e-06,1.740396158066078e-12
337,8.230941502503402e-06,1.740396158066078e-12
338,7.4595358982662215e-06,1.740396158066078e-12
339,7.142350711580639e-06,1.740396158066078e-12
340,6.4788508907423315e-06,1.740396158066078e-12
341,5.849833494005649e-06,1.740396158066078e-12
342,5.605660442421595e-06,1.1674520631302024e-12
343,5.252305451975923e-06,1.0961066135072813e-12
344,4.904074364859568e-06,8.441070179300389e-13
345,4.630026385890803e-06,2.8965158382595017e-13
346,4.158900263874367e-06,2.8965158382595017e-13
347,3.76657741133615e-06,2.8965158382595017e-13
348,3.5184849726457106e-06,2.8965158382595017e-13
349,3.2467439020584287e-06,2.8965158382595017e-13
350,2.9538271912394952e-06,2.6810868621469093e-13
351,2.6945374109317534e-06,2.4714005370337886e-13
352,2.5762538716205553e-06,2.4714005370337886e-13
353,2.3558806818986192e-06,2.4714005370337886e-13
354,2.0580056642042127e-06,1.8594360060127233e-13
355,1.9023915408464896e-06,1.5995326559913786e-13
356,1.756301352034668e-06,6.869240965843257e-14
357,1.7330685088632073e-06,6.869240965843257e-14
358,1.6051532296639817e-06,6.869240965843257e-14
359,1.4711806416765455e-06,4.651272356968435e-14
360,1.2504631474030727e-06,4.651272356968435e-14
361,1.1982329513070772e-06,4.651272356968435e-14
362,1.1373280097244975e-06,3.338064026117985e-14
363,1.0725190504437258e-06,3.338064026117985e-14
364,9.995360060124233e-07,3.338064026117985e-14
365,9.782434262796524e-07,3.070938045376906e-14
366,9.191168213948341e-07,1.0084565069585075e-14
367,8.267984256684428e-07,1.0084565069585075e-14
368,7.59863210138456e-07,1.0084565069585075e-14
369,6.877760747948019e-07,6.8496294120611825e-15
