iter,sigma,best_value
1,0.9982306785706816,98948.24441698381
2,0.9582679560590135,98680.25339227848
3,0.9991073866647766,98022.40026661844
4,1.1019882919389614,97225.42148107369
5,1.2303095130582609,95945.71932435484
6,1.4342402114791863,94701.83788984825
7,1.6524936885826347,93307.61217290002
8,1.840078486376563,92165.7613248165
9,2.212341320693022,89731.30159571502
10,2.7554165239562365,85892.74363414204
11,3.407920639624923,84238.60708939788
12,4.043091706912162,81706.81405545755
13,4.541687735641126,78621.15955873064
14,5.303291419177286,75414.39299273462
15,6.398332991683833,71384.3234507191
16,7.721398321366963,62075.92076188547
17,8.980725863843182,56839.88274526216
18,10.989888044193732,47431.761844941626
19,13.678915126297813,32519.997460052462
20,16.743187580666504,25459.759541202777
21,20.511692390243063,23835.32576992726
22,25.604029247518135,16751.46242510703
23,29.108237959009617,12673.727376360397
24,31.323170160476266,12437.79224700875
25,34.56706875952327,8065.847150830921
26,38.06286953838266,5942.948376343735
27,38.77620705676758,4538.290682466072
28,37.55704718076388,4538.290682466072
29,35.99725526171168,4538.290682466072
30,32.965978713316304,4456.537976183289
31,29.790879051116438,3008.9157644454167
32,26.39867954096369,3008.9157644454167
33,23.531666045641,1462.0202390959223
34,21.772913463568507,1462.0202390959223
35,21.11185375004268,1462.0202390959223
36,19.712280641485368,1462.0202390959223
37,16.508637677235146,325.8330778194263
38,14.363686261312385,325.8330778194263
39,13.847757903558334,325.8330778194263
40,12.736991459292796,325.8330778194263
41,11.877037904140552,325.8330778194263
42,11.129550765625023,325.8330778194263
43,10.49224024770565,325.8330778194263
44,9.836822298948606,325.8330778194263
45,9.878486355593546,325.8330778194263
46,10.117909225631104,325.8330778194263
47,9.874681447220127,325.8330778194263
48,9.239718343802837,325.8330778194263
49,8.510733979293523,325.8330778194263
50,7.718508115721083,230.3420421909183
51,7.065770572931239,188.0432855539279
52,6.504295653458844,135.4286883361211
53,5.803485193589524,135.4286883361211
54,5.658825882306262,135.4286883361211
55,5.596140084871596,135.4286883361211
56,5.527551638616193,125.88961676958586
57,5.384077616508501,71.13490836747924
58,4.840684105137584,71.13490836747924
59,4.462950635646642,59.10806724037329
60,4.054289100365268,59.10806724037329
61,3.826806952653514,19.888662388288207
62,3.5204071240509593,15.609277325398836
63,3.1040177867129826,15.609277325398836
64,2.776840925936902,15.609277325398836
65,2.520157136922282,8.809872049068144
66,2.2992266801708854,8.809872049068144
67,2.0240958474625392,8.809872049068144
68,1.879858688535952,8.809872049068144
69,1.8166798754380704,8.619813488440832
70,1.6560843494570563,8.619813488440832
71,1.533066702357558,8.619813488440832
72,1.3297995723806688,6.038442794767915
73,1.2590555620550339,4.128282028894281
74,1.2066296727029966,2.647452991527155
75,1.2081086433800372,2.647452991527155
76,1.1843438520122362,2.581228998875487
77,1.0527696494846583,2.072829876061656
78,0.9895538113255214,2.072829876061656
79,0.9289100937217658,2.072829876061656
80,0.8668891002501489,2.072829876061656
81,0.8466709479976282,2.072829876061656
82,0.804402786453607,1.9238332483663143
83,0.7051476341014876,1.000549369360018
84,0.6417939933398321,1.000549369360018
85,0.6204290620117893,1.000549369360018
86,0.5775456481654397,1.000549369360018
87,0.5077984016746118,0.9352805611941835
88,0.4819130628902931,0.743665592712557
89,0.4555925164018712,0.5595394278578767
90,0.4270403301373124,0.43749426977879236
91,0.4154870312003976,0.41174451399024314
92,0.4017960347892149,0.26577779571515164
93,0.3833055937708524,0.2095363754269174
94,0.3677232516147761,0.2095363754269174
95,0.3295752509719842,0.2095363754269174
96,0.31183216383366974,0.20306340781148008
97,0.2800044782984558,0.20306340781148008
98,0.27005246155800305,0.10125504086727799
99,0.24642976309691092,0.10125504086727799
100,0.22916757091136297,0.10125504086727799
101,0.20757568375948998,0.10125504086727799
102,0.19452965611933332,0.10125504086727799
103,0.1853827991352561,0.10125504086727799
104,0.17290693120650802,0.07326872552123091
105,0.1750742853404471,0.07326872552123091
106,0.1793205401908793,0.04549936226774105
107,0.17701760953073506,0.04367356870433924
108,0.16693531839864487,0.04367356870433924
109,0.15513743242969336,0.031861101996459924
110,0.14076254380861272,0.031861101996459924
111,0.12486288796544012,0.026749033830643663
112,0.12122444999702095,0.026749033830643663
113,0.11373672648723968,0.019198481062696195
114,0.10896697194071481,0.019198481062696195
115,0.10005320323140925,0.019198481062696195
116,0.09570864815356514,0.01829108215311517
117,0.0952578365234562,0.01751427952965028
118,0.09277652777549233,0.015065353206554418
119,0.0884328757417808,0.014136291232832244
120,0.07787918006073712,0.007755847121629732
121,0.0717956466211908,0.007755847121629732
122,0.06366672936853744,0.007755847121629732
123,0.060299096839140746,0.007755847121629732
124,0.05699454727359604,0.005002173890983198
125,0.05596248244366622,0.004874899942085299
126,0.05402632886365433,0.004365163001159478
127,0.05298162362625087,0.004365163001159478
128,0.050630668004599436,0.003634420032554912
129,0.04750248940299608,0.00264995992805879
130,0.045506072543103446,0.0020697927215736615
131,0.041933123348789424,0.0014436126667411934
132,0.040031878350205864,0.0014436126667411934
133,0.03925767698085331,0.0014436126667411934
134,0.03709782201323372,0.0014436126667411934
135,0.03320333828583298,0.0014436126667411934
136,0.030434650274221136,0.0009118130111301589
137,0.02857602054288505,0.0008536486607366007
138,0.025085113852502155,0.0004719844171341012
139,0.023143629364681104,0.0004719844171341012
140,0.021929295779329235,0.00032832646394507554
141,0.019148154715853957,0.00032832646394507554
142,0.018168505474958855,0.00032832646394507554
143,0.01732880659227151,0.00032832646394507554
144,0.016509402580711662,0.0002311051828358715
145,0.015753191047829202,0.00019535613032859583
146,0.014381253014506292,0.00019535613032859583
147,0.013048494032117433,0.00016712693016746017
148,0.012295215742635741,0.00016712693016746017
149,0.011725327726466528,0.00016712693016746017
150,0.011037952952121344,9.694832975419839e-05
151,0.010234725546883693,7.51079567829755e-05
152,0.010237081233493409,5.5399465930396474e-05
153,0.009787907537711964,3.3446905319091386e-05
154,0.009534976043202009,3.3446905319091386e-05
155,0.008813311507367319,3.3446905319091386e-05
156,0.00811790001743743,3.3446905319091386e-05
157,0.00732259363869436,3.3446905319091386e-05
158,0.006785171538353769,3.3446905319091386e-05
159,0.006330960677866088,2.297262746403066e-05
160,0.005532062153663319,1.4158305119822934e-05
161,0.0049772535278088574,1.389891409044476e-05
162,0.004731403355602823,1.389891409044476e-05
163,0.004589821115575169,7.11919917254092e-06
164,0.004217276281302852,7.11919917254092e-06
165,0.0038151620345653423,7.11919917254092e-06
166,0.003386314100933018,7.11919917254092e-06
167,0.0031242577809957517,7.11919917254092e-06
168,0.0028084282485716272,5.662667850301838e-06
169,0.002560488865053643,1.2822696799283972e-06
170,0.0023528592704363392,1.2822696799283972e-06
171,0.002141048204856095,1.2822696799283972e-06
172,0.0020183780217084353,1.2822696799283972e-06
173,0.001766398322854792,1.2822696799283972e-06
174,0.0016834453894817105,1.2809681171870066e-06
175,0.0016051283214849677,1.2809681171870066e-06
176,0.001565925341782411,1.2809681171870066e-06
177,0.001562946311682969,1.2809681171870066e-06
178,0.0015610151404806694,1.2809681171870066e-06
179,0.0015093528672893675,1.039838771753828e-06
180,0.001424951277041451,1.039838771753828e-06
181,0.0013793237683651656,1.039838771753828e-06
182,0.0013469630671911702,1.039838771753828e-06
183,0.001292441056287407,9.833912363052118e-07
184,0.0011722092456276435,6.128776173972976e-07
185,0.0010317446323104488,6.128776173972976e-07
186,0.0008894714678507689,5.94149680868203e-07
187,0.0008293449789430218,5.645306200668428e-07
188,0.0007900720554700323,1.703142730620262e-07
189,0.0007580624133244219,1.6464421215803822e-07
190,0.0007477542852702807,1.6464421215803822e-07
191,0.0006869129435240729,1.6464421215803822e-07
192,0.0006183644129031241,1.6464421215803822e-07
193,0.0005599517124719777,1.4139132688602464e-07
194,0.0005405841630619704,1.4139132688602464e-07
195,0.000513142786320422,1.1187209910597798e-07
196,0.00047111929705504185,1.1187209910597798e-07
197,0.00043870939959425576,1.1187209910597798e-07
198,0.0004025498752722943,1.1187209910597798e-07
199,0.0003867998553186263,1.0376646795869369e-07
200,0.00037555949723282737,7.947795683229601e-08
201,0.0003670615837483077,7.04801966031619e-08
202,0.0003461232712403071,6.854589907089254e-08
203,0.00034591232705354053,3.4543233187227255e-08
204,0.00034586842524620667,3.4543233187227255e-08
205,0.00033571993302874845,2.9605163532307054e-08
206,0.00030657509310450074,2.885245352871084e-08
207,0.0002748652440850686,2.885245352871084e-08
208,0.0002423714445150859,1.8358450046489277e-08
209,0.0002225838340705686,1.7979966521701888e-08
210,0.00019758221394460492,1.7979966521701888e-08
211,0.0001756491135194708,1.2171773198535988e-08
212,0.0001720186396227471,1.0287395158697957e-08
213,0.00016510515675934658,8.579989819320742e-09
214,0.00015954907679974952,8.579989819320742e-09
215,0.00015092450613880546,8.579989819320742e-09
216,0.00014546217290183313,7.850178453214597e-09
217,0.0001382304371520855,6.040241160696637e-09
218,0.0001343512895066961,3.1412675323755513e-09
219,0.00012416091614691666,3.1412675323755513e-09
220,0.00011614744552136147,3.0483431809763005e-09
221,0.00011429724250543616,2.6324851320459765e-09
222,0.00010676390182869612,2.450893401349905e-09
223,9.980243595546206e-05,2.450893401349905e-09
224,8.916283446006697e-05,2.450893401349905e-09
225,8.758353471184383e-05,2.1729611522552085e-09
226,8.13142512613434e-05,2.1729611522552085e-09
227,7.168854760248394e-05,8.939195941785282e-10
228,6.611783998015824e-05,8.939195941785282e-10
229,6.092807812597703e-05,8.525215484400324e-10
230,6.101229756671244e-05,8.525215484400324e-10
231,5.669420698135808e-05,8.525215484400324e-10
232,4.959573838924686e-05,6.168160972195272e-10
233,4.7795958046728964e-05,4.098654768173565e-10
234,4.32020560599405e-05,4.098654768173565e-10
235,4.09403988436528e-05,4.098654768173565e-10
236,3.734853774364972e-05,2.336372448464802e-10
237,3.494287277173352e-05,2.336372448464802e-10
238,3.426701993407731e-05,2.336372448464802e-10
239,3.3506945298564605e-05,1.8989844661506628e-10
240,3.1532698992292516e-05,1.8989844661506628e-10
241,2.7345922026998994e-05,1.8337827135616733e-10
242,2.491383962993353e-05,1.582328022551798e-10
243,2.215319207021294e-05,6.05135386741298e-11
244,2.1896036027059027e-05,6.05135386741298e-11
245,2.121102463280333e-05,6.05135386741298e-11
246,1.8901671433410275e-05,5.597043867451048e-11
247,1.7931850000752616e-05,5.597043867451048e-11
248,1.552342498611228e-05,4.208733955161948e-11
249,1.4358120165501619e-05,3.087083245919122e-11
250,1.3718103176095634e-05,3.087083245919122e-11
251,1.2473583296712928e-05,3.017126408529379e-11
252,1.1549147124092515e-05,3.017126408529379e-11
253,9.668680876945126e-06,2.309353545894882e-11
254,8.884838338280486e-06,1.6140967030269025e-11
255,8.520821560980321e-06,1.6140967030269025e-11
256,7.908516457442416e-06,1.46896952268179e-11
257,7.75611590603819e-06,5.63102143273564e-12
258,7.936523772649288e-06,5.63102143273564e-12
259,7.394355782220023e-06,4.612688393443741e-12
260,7.187458504534984e-06,4.612688393443741e-12
261,6.883843595094413e-06,4.612688393443741e-12
262,6.585588381634403e-06,4.612688393443741e-12
263,5.958819066967021e-06,4.612688393443741e-12
264,5.693295698256761e-06,4.612688393443741e-12
265,5.012531316075428e-06,2.822738902714132e-12
266,4.688515706401966e-06,2.6435080335731487e-12
267,4.465330960984629e-06,1.2602939846685843e-12
268,4.307848807769545e-06,1.2602939846685843e-12
269,4.192697234225322e-06,1.2602939846685843e-12
270,4.0725223675344015e-06,1.2602939846685843e-12
271,3.716187440763001e-06,1.2602939846685843e-12
272,3.3959356746766755e-06,1.2602939846685843e-12
273,3.1880330565581573e-06,1.2602939846685843e-12
274,2.8972399656441923e-06,9.817183691003385e-13
275,2.5750104488528403e-06,4.5120594357746926e-13
276,2.3626706969344356e-06,4.5120594357746926e-13
277,2.254865021501352e-06,4.5120594357746926e-13
278,2.1854551850271314e-06,4.5120594357746926e-13
279,1.975972060021417e-06,4.3575048190805864e-13
280,1.861788463039809e-06,4.3575048190805864e-13
281,1.720165344970761e-06,2.786200613156517e-13
282,1.5464027390823532e-06,1.813809073979931e-13
283,1.3502262967321788e-06,1.3034193429484576e-13
284,1.2584334096755935e-06,1.3034193429484576e-13
285,1.244382667651052e-06,1.3034193429484576e-13
286,1.1639789699166292e-06,6.30315570113653e-14
