iter,sigma,best_value
1,0.9506269420660929,9542608623.136538
2,0.9529065577384699,9322026072.480833
3,0.9714048509871019,9017424347.808195
4,1.0036223978981158,8909228400.707552
5,1.0535926228865262,8668524449.157024
6,1.0900715654150517,8497259178.74644
7,1.1494520593694684,8208729345.760446
8,1.2444528808779847,7772232233.536289
9,1.34811790461054,7551675627.856236
10,1.495191659066373,7176528630.415816
11,1.6600216896007989,6826884677.158303
12,1.848501548647219,6457682830.2168
13,2.0233947110586112,6196883815.172308
14,2.2123186511790855,5852802990.409096
15,2.4244903588353064,5138432871.059872
16,2.63554720371366,4755295558.92203
17,2.889521350328013,4445321273.939037
18,3.1985666042261434,3561807897.0978646
19,3.54084632052251,3549972367.085786
20,3.9053511461228227,3251037315.3671584
21,4.311910165873617,2411293961.8337426
22,4.831761505863385,1778077861.9885077
23,5.4197898538581235,1299793577.1916323
24,6.1172503274455625,707138180.1327945
25,6.942169053873713,258103678.71640885
26,7.886665686303613,18026056.41679117
27,8.801722491639628,406066.9915703824
28,9.585380578336133,330065.3601719246
29,10.342074176787156,330065.3601719246
30,10.864839222474222,330065.3601719246
31,11.324577435758215,330065.3601719246
32,11.736546031899667,330065.3601719246
33,12.002211439941417,330065.3601719246
34,12.22965763852325,330065.3601719246
35,12.4297931786961,330065.3601719246
36,12.78416133782986,330065.3601719246
37,13.051118278137473,330065.3601719246
38,13.032133145777903,330065.3601719246
39,13.103489396167795,321012.51958988566
40,13.176075308395959,321012.51958988566
41,12.778557167120148,321012.51958988566
42,12.065403869956977,321012.51958988566
43,11.394963766382116,321012.51958988566
44,10.96174156384304,321012.51958988566
45,10.615372589264979,316474.14010197483
46,10.370925375468413,316474.14010197483
47,10.185063982839031,316474.14010197483
48,10.081018360758216,316474.14010197483
49,10.124263272469054,316474.14010197483
50,10.565121255965623,316474.14010197483
51,10.988394330261492,316474.14010197483
52,11.21696808067841,316474.14010197483
53,11.309791857525143,316474.14010197483
54,11.338551211123256,316474.14010197483
55,11.334457212695373,316474.14010197483
56,11.240218874380385,316474.14010197483
57,11.225179447477155,316474.14010197483
58,11.257850831914466,316474.14010197483
59,11.158525903629169,316474.14010197483
60,11.031835169247481,316474.14010197483
61,10.709900147514245,316474.14010197483
62,10.438150084967866,316474.14010197483
63,10.199975882234044,316474.14010197483
64,10.160244272976925,316474.14010197483
65,9.975058309357241,316474.14010197483
66,9.672727597312862,316474.14010197483
67,9.522832843997245,316474.14010197483
68,9.525113395457767,316474.14010197483
69,9.380675444423089,316474.14010197483
70,9.277899884117298,316474.14010197483
71,9.070652246409294,316474.14010197483
72,8.849131877206496,316474.14010197483
73,8.639619209005195,316474.14010197483
74,8.493003768345849,316474.14010197483
75,8.531012698988157,316474.14010197483
76,8.639474438851082,316474.14010197483
77,8.649523899072166,316474.14010197483
78,8.686188880958507,316474.14010197483
79,8.776657090714755,316474.14010197483
80,8.849108188181004,316474.14010197483
81,8.81034054691347,316474.14010197483
82,8.901743280856119,316474.14010197483
83,8.852818588093445,316474.14010197483
84,8.694402398843321,316474.14010197483
85,8.431924287977555,316474.14010197483
86,8.112329447075181,316474.14010197483
87,7.841097006869369,316474.14010197483
88,7.657317833339451,316474.14010197483
89,7.34393383067669,316474.14010197483
90,7.1117453667670905,316474.14010197483
91,6.956011477114597,316474.14010197483
92,6.920723271391056,316474.14010197483
93,6.878469282379585,316474.14010197483
94,6.904469136012163,316474.14010197483
95,6.901439948133047,316474.14010197483
96,6.862549045715453,316474.14010197483
97,6.668201886534495,316474.14010197483
98,6.475230378531466,316474.14010197483
99,6.332647916825382,316474.14010197483
100,6.0958447600457815,316474.14010197483
101,6.066169179064695,316474.14010197483
102,6.191565706724174,316474.14010197483
103,6.259895641166277,316474.14010197483
104,6.2824480227155295,316474.14010197483
105,6.251960274927767,316474.14010197483
106,6.36069186734889,316474.14010197483
107,6.471937776829392,316474.14010197483
108,6.550278139459153,316474.14010197483
109,6.485833954824723,316474.14010197483
110,6.496583589555793,316474.14010197483
111,6.347806965541248,316474.14010197483
112,6.233993545380123,316474.14010197483
113,6.238508608789809,316474.14010197483
114,6.423117383869888,316474.14010197483
115,6.4767865154414785,316474.14010197483
116,6.631475789491991,316474.14010197483
117,6.780276084011337,316474.14010197483
118,7.1323171794803235,316474.14010197483
119,7.546642917639947,316474.14010197483
120,7.88599922118435,316474.14010197483
121,8.056098944903248,316474.14010197483
122,8.19207251545905,316474.14010197483
123,8.144007572066359,316474.14010197483
124,8.044023718965404,316474.14010197483
125,7.942575136354211,316474.14010197483
126,7.835608685852377,316474.14010197483
127,7.946738795944878,316474.14010197483
128,8.096300346849063,316474.14010197483
129,8.265768886456664,316474.14010197483
130,8.374073872882713,316474.14010197483
131,8.328685662012575,316474.14010197483
132,8.096052201248666,303386.40885289625
133,8.084972017321235,303386.40885289625
134,8.128972931610464,303386.40885289625
135,7.9819588458082675,303386.40885289625
136,7.794039839773221,303386.40885289625
137,7.557457922884365,303386.40885289625
138,7.46466920620432,303386.40885289625
139,7.537921071362256,303386.40885289625
140,7.737799345368635,303386.40885289625
141,7.8792522643537515,303386.40885289625
142,8.0572777618685,303386.40885289625
143,8.167343050184883,303386.40885289625
144,8.20488808809247,303386.40885289625
145,8.281024567915635,303386.40885289625
