iter,sigma,best_value
1,0.9416234586252584,280301932579.59906
2,0.9301147026779728,277653098364.88245
3,0.9381846363164197,274370899720.3819
4,0.9715360631476824,272362322914.04614
5,1.0246400199645236,270573287299.9521
6,1.0863523678581393,268446888751.17758
7,1.1585826357873035,264493622304.85178
8,1.2489092241202102,261847537536.32294
9,1.345809342548456,258405068124.27237
10,1.430453216122792,256066582573.6398
11,1.5450262565416641,251282569067.27853
12,1.6669304951631037,250091529381.06995
13,1.8180637961458415,244437709561.52765
14,1.9958772612085698,241967918946.38873
15,2.1847160454203824,234753836063.25156
16,2.3889351940401253,230158802653.05215
17,2.6391907801145997,226747462804.62668
18,2.8984280655312196,218515244152.99158
19,3.2258466077808228,213439128164.09717
20,3.702717936396658,195396751612.95142
21,4.158921990712088,193408229399.3042
22,4.639589455824946,183896276755.7832
23,5.1620538734998265,174089056699.6964
24,5.796493587708661,170463413734.3814
25,6.499520795406533,164005879668.7149
26,7.254857974903415,150135080046.95898
27,7.867040991807628,143437234769.79504
28,8.56697308399196,128798754386.54018
29,9.517547164275642,107784945775.55035
30,10.45677362408377,107784945775.55035
31,11.338277464093242,100984061868.484
32,12.362866411686053,84425752369.31195
33,13.63264602092685,74670196814.9984
34,14.972317600856279,61516399292.87857
35,15.973951536790402,61516399292.87857
36,17.300274445951004,35528908467.33726
37,18.597494165650385,31678047935.230556
38,19.611467071715822,31678047935.230556
39,20.475712904681437,31678047935.230556
40,21.67634087972194,31190320364.537945
41,22.388071724363066,25062543311.55407
42,23.487456555730812,25062543311.55407
43,24.184920228787604,22623878206.402954
44,25.463996324786276,12297621131.506401
45,26.707011977163333,12297621131.506401
46,27.759418261538716,11614137488.35522
47,28.617141591874503,8800437707.394299
48,29.260100548809138,8800437707.394299
49,30.04617149013736,4519248813.851767
50,31.044605459992177,4519248813.851767
51,30.827526579250083,4519248813.851767
52,30.230970973907937,4519248813.851767
53,29.85684669067945,4519248813.851767
54,29.52491251368828,4519248813.851767
55,29.102367844771386,4519248813.851767
56,28.62863006373237,4434585678.510705
57,28.363700560267755,3138293439.6162744
58,27.86783346867412,3138293439.6162744
59,26.88080146362474,2894852970.150951
60,25.763036554084465,2894852970.150951
61,24.409150097317927,2894852970.150951
62,23.519601123374713,2710420770.487475
63,22.707565210670463,1903936129.7499428
64,21.818563402352233,714808064.9399669
65,20.78132502481778,714808064.9399669
66,20.025326629460743,714808064.9399669
67,19.094240638417016,675106875.1833968
68,18.21241903105405,675106875.1833968
69,17.522965042180505,565680018.6016845
70,16.878653563980027,411647308.4430784
71,16.30870016970374,324994484.2682178
72,15.856225314233525,321916024.046349
73,15.564934672249422,321916024.046349
74,15.336660413136835,321916024.046349
75,15.171970920353658,321916024.046349
76,14.908733568073156,225113377.70016256
77,14.661768577066374,225113377.70016256
78,14.447389582465286,225113377.70016256
79,13.785844251668529,90060986.9517008
80,13.078317149403668,90060986.9517008
81,12.360103292861474,90060986.9517008
82,11.552422451978584,43172584.45292057
83,11.021795820472786,43172584.45292057
84,10.329521002232593,43172584.45292057
85,9.740378382276859,43172584.45292057
86,9.222538570435761,43172584.45292057
87,8.871732129530121,43172584.45292057
88,8.415974675579726,43172584.45292057
89,8.072718675003287,31399761.00449752
90,7.6344797443500285,25985015.83941198
91,7.384426098018313,9945054.237242242
92,7.028610587501931,9945054.237242242
93,6.676025649011075,9945054.237242242
94,6.444481425337754,9945054.237242242
95,6.180692724498463,9335506.863985173
96,5.932616069931043,9335506.863985173
97,5.603777025260691,6443664.022632116
98,5.360076985720418,6443664.022632116
99,5.20015340177743,3682466.592195813
100,5.0881984966139235,3682466.592195813
101,4.844720365152138,3282280.8749270495
102,4.7052177854148765,3282280.8749270495
103,4.505882903658639,3282280.8749270495
104,4.344619817234087,3282280.8749270495
105,4.16684620029222,1910289.4980215307
106,3.9564419138039573,1910289.4980215307
107,3.8502552493483257,1910289.4980215307
108,3.77473166987281,1203591.6575900505
109,3.731511148985202,1203591.6575900505
110,3.627261532678391,1140750.9365416782
111,3.54178244754908,923550.9431510583
112,3.355772380772918,699488.7521965681
113,3.1971240993382324,669976.7868499446
114,3.039143704265566,414697.01948046364
115,2.86050354218499,302307.3239239766
116,2.7325614766059143,204360.6429308015
117,2.6334610009895862,204360.6429308015
118,2.5561162562567463,204360.6429308015
119,2.42290006788784,204360.6429308015
120,2.3519971034030855,204360.6429308015
121,2.3093547661476546,204360.6429308015
122,2.247067313001459,204360.6429308015
123,2.1722128535423986,204360.6429308015
124,2.107046544819101,204360.6429308015
125,2.0353837826818935,204360.6429308015
126,1.944492068417271,204360.6429308015
127,1.9090914839824595,163187.58478040918
128,1.8686022878463442,163187.58478040918
