iter,sigma,best_value
1,0.9374265692829312,297392.6085124132
2,0.9115607946712464,296713.8861546698
3,0.9056719484948929,295993.2621171616
4,0.9085715463137823,294573.88207029057
5,0.9340895284361125,292166.2066057572
6,0.9774055022592089,291844.58459406137
7,1.0384080353766652,289785.4477575829
8,1.1230014151916972,289327.1470991407
9,1.217063990731224,286727.7751982156
10,1.36186984593918,283852.2611807838
11,1.5178787457644154,282998.45117984765
12,1.7061994036614199,279214.4613151792
13,1.8726559855236586,278759.21336878504
14,2.0402106733998373,276673.1137432237
15,2.2755761739606317,273406.7766148625
16,2.527486568982095,270932.3098807506
17,2.7569110557750935,268284.7516778306
18,3.0457981078936176,262864.19857171614
19,3.4434197767861767,257207.72253857955
20,3.8736702694115785,251746.10347060786
21,4.288517038459886,249589.8239180164
22,4.820598659984568,242121.61942178206
23,5.305739702854256,242121.61942178206
24,5.811017998707034,236325.80279317376
25,6.4441383167963835,227975.1527476656
26,7.159018274298326,222550.89867888548
27,7.920576661866202,216527.44987715787
28,8.696479792563935,201072.51097510319
29,9.555163589007622,194487.35475978523
30,10.66506604077997,178991.87636840477
31,11.703740434329552,170816.64640556418
32,12.774833151510968,155522.0476572898
33,13.517541852813324,155522.0476572898
34,14.574235442990343,141432.3557471868
35,15.513995179365963,138781.68285901277
36,16.682309783335956,122412.32655278392
37,17.8685615887236,107327.13521317265
38,19.29918821473349,89528.03443526874
39,21.16503126770504,75862.07238650392
40,23.362707422683073,67167.05811699171
41,25.941280846896912,59956.74332903068
42,28.5046195627982,44728.087190721
43,30.649745642022687,44728.087190721
44,32.517566223395164,44595.8972425831
45,34.8596526528051,39344.68535241796
46,36.84354842625109,39344.68535241796
47,37.92027502713517,27132.69013741076
48,38.88557007992718,27132.69013741076
49,39.12353451715455,27132.69013741076
50,39.0609706985017,27132.69013741076
51,38.09215303437501,27132.69013741076
52,37.48472914838263,27132.69013741076
53,36.55288921662901,27132.69013741076
54,35.19207952481058,27132.69013741076
55,34.52988360680703,27132.69013741076
56,33.65794116135019,27132.69013741076
57,32.512876222907614,27132.69013741076
58,31.10862573424073,27132.69013741076
59,29.799744319487473,27132.69013741076
60,28.7001760518627,27132.69013741076
61,27.567198750852864,27132.69013741076
62,26.217564902505185,19808.992683320706
63,24.936990493580506,19808.992683320706
64,23.634860577484456,16729.901416186745
65,23.11505120779659,13638.747161305346
66,22.43378078557841,13638.747161305346
67,22.194570035244276,13638.747161305346
68,21.957921441357094,13638.747161305346
69,21.765066429700585,11730.129477305924
70,21.315904940905384,11025.272015499044
71,20.72674058779358,11025.272015499044
72,19.938251188480837,10861.94542809849
73,19.046292339986973,7947.23169243258
74,18.15320275279873,7947.23169243258
75,17.502959867340152,7947.23169243258
76,16.454723998376057,5861.530637933325
77,15.179823590087642,5861.530637933325
78,14.332904835488844,5861.530637933325
79,13.506787799766657,4790.918420925376
80,12.887252519616164,4551.613724238453
81,12.452283820245745,4344.888323939746
82,11.970104585192187,3358.2786335801543
83,11.42559336704365,2865.404469965978
84,11.023973696632828,2865.404469965978
85,10.634143424406494,2364.1208625461554
86,10.100655675847849,2074.927225850017
87,9.625554977778704,2074.927225850017
88,9.202627620022815,1210.2467475499056
89,8.759572107200036,1210.2467475499056
90,8.416629099098152,1210.2467475499056
91,8.014062777803451,1210.2467475499056
92,7.556122994058863,1210.2467475499056
93,7.092287167206097,1210.2467475499056
94,6.744149042953438,1210.2467475499056
95,6.3888489593254185,1210.2467475499056
96,6.04886426855308,1210.2467475499056
97,5.798112658012411,1179.7240983382978
98,5.539085525763811,855.3783730142092
99,5.419837820939208,855.3783730142092
100,5.376032079941975,792.2583833065986
101,5.319577398805699,792.2583833065986
102,5.2669704310131795,792.2583833065986
103,5.10535355029087,792.2583833065986
104,4.903940211049079,620.9211835042413
105,4.67907284721813,572.246615087354
106,4.510148039978672,572.246615087354
107,4.393532957653452,572.246615087354
108,4.295801710284112,478.55346972843347
109,4.159403451211777,417.45498148162324
110,4.047905778104439,417.45498148162324
111,3.9103913270324213,417.45498148162324
112,3.7290588328177963,417.45498148162324
113,3.5216532573573462,417.45498148162324
114,3.3302034395768363,332.2789460862305
115,3.1976544160841174,332.2789460862305
116,3.0589641585168805,206.62280980465354
117,2.919227704525955,198.6744579088329
118,2.748026351954906,198.6744579088329
119,2.597589842951122,198.6744579088329
120,2.492532240844379,157.63282799395688
121,2.3542780264996677,157.63282799395688
122,2.2342767267819648,141.5311486851404
123,2.137056221293143,86.60525420636846
124,2.0351547126587803,86.60525420636846
125,1.9492573969546108,86.60525420636846
126,1.8953547883180848,86.60525420636846
127,1.863709884114613,80.29853422478611
128,1.8218787453563494,79.8516077277291
129,1.7925480841675046,79.8516077277291
130,1.7118777286017333,79.8516077277291
131,1.6238712573285918,65.49182644082161
132,1.5455540311568021,65.49182644082161
133,1.463147406038546,62.632459192478166
134,1.4261270006474172,56.98838940235151
135,1.3913824711719498,49.1524293704338
136,1.360691005264931,49.1524293704338
137,1.31431542826334,35.61654264600359
138,1.27325557507781,35.61654264600359
139,1.2308172652970844,35.61654264600359
140,1.182103008681704,33.633818457672966
141,1.1328576078658725,33.633818457672966
142,1.085959761404596,27.31110867413384
143,1.0578955452475016,27.31110867413384
144,1.0404948364132276,23.879602063971678
145,1.0119465030724553,23.879602063971678
146,0.995696495590294,23.879602063971678
147,0.989478416161428,23.879602063971678
148,0.975715630665831,23.879602063971678
149,0.9481807638320792,23.879602063971678
150,0.9079322681340468,14.56303584346567
151,0.8744034266566,14.56303584346567
152,0.8402585498013501,14.56303584346567
153,0.809059678691506,14.56303584346567
154,0.7805469087219588,14.56303584346567
155,0.7440535136406281,13.302733960413345
156,0.7017987771818556,13.302733960413345
157,0.6694542931895693,10.99412991851515
158,0.6366704140787461,8.934391258850852
159,0.6012496940365216,5.030971206509517
160,0.5790740479584504,5.030971206509517
161,0.5508813381155919,5.030971206509517
162,0.5245059488166203,5.030971206509517
163,0.5027497142299374,4.890272079302898
164,0.4829548314501982,4.890272079302898
165,0.46234676302543914,4.890272079302898
166,0.4531054721496389,4.890272079302898
167,0.4362896298891873,4.494736032172197
168,0.4289778642277296,4.494736032172197
169,0.4169008904433935,3.985224696029436
170,0.39511821520021867,3.5779903764597805
171,0.37357055254809,3.5779903764597805
172,0.3522249686557035,3.5779903764597805
173,0.33415945251825496,3.5779903764597805
174,0.3187590158013105,3.5779903764597805
175,0.30603932228814684,2.27540413042902
176,0.2887678011917194,2.27540413042902
177,0.2752830132693232,2.27540413042902
178,0.26298063367768404,2.1517042678368954
179,0.25044844711104125,1.3312071326898998
180,0.2394531727664098,1.1875397251577
181,0.22987180913963226,1.1474237449659364
182,0.22335738458710794,1.1474237449659364
183,0.2132959912902156,1.1474237449659364
184,0.20532844993849883,0.663768599322353
185,0.19948867074059243,0.663768599322353
186,0.19996828629960456,0.663768599322353
187,0.19528998876235915,0.663768599322353
188,0.18805652094433828,0.663768599322353
189,0.18454143950894186,0.663768599322353
190,0.18125011237306585,0.663768599322353
191,0.17318247019036256,0.663768599322353
192,0.1644443741014934,0.660153237748085
193,0.15861331865462452,0.6338374955004646
194,0.15234355344576656,0.4615020859626024
195,0.14253105058541052,0.45776150318161163
196,0.13556581326570533,0.41725590505528604
197,0.12904366926943647,0.31532623095297924
198,0.12368177248103164,0.31532623095297924
199,0.11881962123371727,0.31532623095297924
200,0.11312636330671706,0.2535268725203917
201,0.10679431465454503,0.2535268725203917
202,0.10154501205178774,0.2535268725203917
203,0.09745209291254917,0.2535268725203917
204,0.09432660282050988,0.2535268725203917
205,0.09090497844793978,0.25026252606045823
206,0.08600313087860002,0.1802847887934256
207,0.08078474090257821,0.1802847887934256
208,0.07823323559747984,0.13544289984555738
209,0.07597267055169986,0.13544289984555738
210,0.07485314652230701,0.13544289984555738
211,0.07253240861192242,0.10875505966765348
212,0.06958836760760606,0.10875505966765348
213,0.06631682304788869,0.10482789254464271
214,0.06427191085378207,0.09780218557920893
215,0.06293402696346623,0.09780218557920893
216,0.06120138324037195,0.08052470456055164
217,0.05961823310195287,0.06978466978851824
218,0.05861881577579711,0.06978466978851824
219,0.05722461783974726,0.06978466978851824
220,0.05442506947136906,0.052498565436106405
221,0.05203978914402232,0.052498565436106405
222,0.04941221538779022,0.0391043527634684
223,0.04785857923260495,0.0391043527634684
224,0.04594660936734692,0.0391043527634684
225,0.04345368953471683,0.0391043527634684
226,0.04173386822128015,0.0391043527634684
227,0.04026782951560475,0.0391043527634684
228,0.03854548557109088,0.0391043527634684
229,0.03669223093763309,0.0391043527634684
230,0.03582761827205532,0.03279712149737192
231,0.03429574231542404,0.03279712149737192
232,0.032880264295109034,0.03279712149737192
233,0.03059843552620909,0.021067015708740495
234,0.02845922353307545,0.019371621389962592
235,0.026885320765578563,0.01837422380828588
236,0.025664272606094954,0.015109620021527513
237,0.024760491072969824,0.012769071149542798
238,0.023968282682355162,0.009984705915458969
239,0.02318939739080614,0.009984705915458969
240,0.022535956918537187,0.008741778508139663
241,0.02171847622095065,0.008741778508139663
242,0.021107827725279926,0.00668766514486003
243,0.02098240344393576,0.00668766514486003
244,0.020409054759032857,0.00668766514486003
245,0.019664788202831653,0.00668766514486003
246,0.019068443856503352,0.00668766514486003
247,0.01857321253871903,0.006003691364850704
248,0.018100820869371998,0.005636502376271099
249,0.01742950262292624,0.005636502376271099
250,0.016906526972022717,0.005345144603166585
251,0.016270256245526138,0.005186126605118654
252,0.0153840856525939,0.004050288045488959
253,0.0145682685946581,0.003415541254237679
254,0.013893669570031011,0.0032399017055011444
255,0.013365647741672902,0.00284265816079055
256,0.012949034322887291,0.00284265816079055
257,0.012511129099377046,0.00284265816079055
258,0.012096347836283657,0.00284265816079055
259,0.011714922371707622,0.00284265816079055
260,0.011300078500572656,0.00284265816079055
261,0.010900184348376049,0.00284265816079055
262,0.010526795449829202,0.00284265816079055
263,0.010061501703331603,0.0025873423587553126
264,0.009609688304763891,0.002336670360230338
265,0.009104391124990424,0.002336670360230338
266,0.008864295070793034,0.00219969943503361
267,0.008591088407271772,0.0014099622763164297
268,0.008317071876009944,0.0013147225263479732
269,0.008096169839730159,0.0012879960716725635
270,0.00783062674463848,0.0011509016932860759
271,0.007563497977972022,0.0011509016932860759
272,0.007364917591913752,0.0011509016932860759
273,0.007175269621045951,0.0011509016932860759
274,0.007001187636597335,0.0009461837712429028
275,0.006759797568601475,0.0008516401797536294
276,0.006383831045651959,0.0006056063168403218
277,0.0060419205052983345,0.0006056063168403218
278,0.005769534908312334,0.0005856460423033198
279,0.005489528528253684,0.0005406265471808523
280,0.00531781414602593,0.0005406265471808523
281,0.005207225287864487,0.0005406265471808523
282,0.0050410350935243585,0.0005406265471808523
283,0.0047958069752716,0.00044393024954966813
284,0.004518842445109916,0.0004036641370797485
285,0.004294963091778521,0.0004036641370797485
286,0.004031430522802592,0.0002723165768444192
287,0.0038331481423643948,0.0002723165768444192
288,0.003661632970074037,0.0002723165768444192
289,0.0035359221375752966,0.0002244513802451777
290,0.0035005567992686362,0.0002244513802451777
291,0.0033759707684396733,0.00019427563145279537
292,0.003242415160697467,0.00018467973137022766
293,0.003171773574512045,0.00017711686685107264
294,0.0030759397878762865,0.00017538598636516111
295,0.0029439381403561673,0.0001336952210719871
296,0.002845078648928027,0.0001336952210719871
297,0.0027055807708892144,0.00012925812975264446
298,0.0025896821923194605,9.924920104734892e-05
299,0.002456922281584687,7.358660734123742e-05
300,0.002372077918876029,7.358660734123742e-05
301,0.00230864085344388,7.358660734123742e-05
302,0.002271469890591344,7.358660734123742e-05
303,0.0022218681976818025,7.358660734123742e-05
304,0.0021559809505050276,7.358660734123742e-05
305,0.0020689715811682582,5.343804746859428e-05
306,0.001953917884413148,4.828310892371995e-05
307,0.0018537782363979762,4.73869445465121e-05
308,0.0017717447636951891,4.3257405857388864e-05
309,0.0017019369896201333,4.3257405857388864e-05
310,0.001662250007598098,4.3257405857388864e-05
311,0.001639062532615515,4.3257405857388864e-05
312,0.001594041722991315,4.3257405857388864e-05
313,0.0015229241682753398,3.489423638933209e-05
314,0.0014661265427805942,3.489423638933209e-05
315,0.0013863438989189653,3.0870666862540754e-05
316,0.0013133363981615539,3.0870666862540754e-05
317,0.00126697117878411,2.6399299061151063e-05
