iter,sigma,best_value
1,0.9541386656948277,281203372010.8029
2,0.9348003142465914,279084296236.69995
3,0.943088548260235,277182534932.4379
4,0.9687067639675555,274951279132.24054
5,0.9984723038012756,272961071044.73746
6,1.054325503968185,268659559946.35428
7,1.1300077334410494,267944870006.60086
8,1.217123577782843,264102349942.65213
9,1.3420037860130252,260482941424.08176
10,1.4884225852208883,256941662809.131
11,1.5893846677824341,255953689771.06714
12,1.7260221317584858,248987245176.25912
13,1.9009188168211362,246025820437.6592
14,2.087538296350633,241931993883.91125
15,2.2812756781942802,239287078647.21207
16,2.5227854231200832,234198757182.7316
17,2.776315752852105,231355645426.2559
18,3.0299938645217046,224233806856.39706
19,3.3533710257482023,220609854000.31595
20,3.69971592336942,209625633254.91757
21,4.146570657030582,202012473308.25342
22,4.658012998386784,190463129154.3664
23,5.235018503059033,178782411377.20874
24,5.771894277128128,176431678817.95258
25,6.506396567622938,159055694186.89075
26,7.259651573294197,154254496189.19022
27,8.024732565701353,147617331778.68588
28,8.778160844719416,133514417470.38919
29,9.68980279328541,119941948542.95618
30,10.641197202150614,109635570920.1527
31,11.623978769553,101149091553.24716
32,12.802386129582946,87276361041.0537
33,14.073572975637958,77871981984.32066
34,15.24493419952337,77871981984.32066
35,16.644030262196544,58112889541.124756
36,17.885777331033516,58112889541.124756
37,19.13978069555544,48211040248.562256
38,20.316485039821316,42985703837.073715
39,21.983820113596565,31836769940.51696
40,23.979452539553353,31395594849.534344
41,25.855266573804897,23912292146.785362
42,27.44867154767769,23912292146.785362
43,28.44061357834169,19337852813.216694
44,29.753441377724553,19337852813.216694
45,30.880706291871896,19337852813.216694
46,32.40371294478136,11069583287.997023
47,33.79733308213638,11069583287.997023
48,34.43895198515652,6431509432.755575
49,34.89965538972404,6431509432.755575
50,35.24416662866316,6431509432.755575
51,35.799577882238665,6431509432.755575
52,35.58538091652595,6431509432.755575
53,35.16496893496842,6431509432.755575
54,34.03838613084817,6431509432.755575
55,33.248091576387594,6431509432.755575
56,32.69970717626918,6431509432.755575
57,31.69630993048005,6431509432.755575
58,30.8405314137598,4172651680.4320564
59,29.453368658834947,4172651680.4320564
60,28.24930747425853,4172651680.4320564
61,27.461972896770956,3592592679.493329
62,27.39173597348282,2521842511.9008327
63,26.710867802914127,2508418653.06706
64,26.13959856955195,2508418653.06706
65,25.239331280225358,2508418653.06706
66,24.174377720904037,2215903687.941582
67,23.182586489749053,1938374943.4461486
68,21.975492497299037,851303946.713089
69,20.842132944146908,851303946.713089
70,20.05525787409861,679952479.1201527
71,19.34002451584735,679952479.1201527
72,18.40594465634288,679952479.1201527
73,17.78851882763682,679952479.1201527
74,16.986755585030046,679952479.1201527
75,16.066061017127204,679952479.1201527
76,15.276841925736457,679952479.1201527
77,14.768540557625537,679952479.1201527
78,14.54460354212208,475042579.8688227
79,14.087716146505464,391030545.4781748
80,13.533318515126371,391030545.4781748
81,13.039114574135628,229823752.16277283
82,12.660451792128635,229823752.16277283
83,12.140391268911102,84007514.2944537
84,11.940007349688491,84007514.2944537
85,11.614198576842671,84007514.2944537
86,11.355628762537174,84007514.2944537
87,10.769603632932737,84007514.2944537
88,10.363843661203987,84007514.2944537
89,9.960391237705513,84007514.2944537
90,9.728571486290567,55652672.138846956
91,9.460270964384156,55652672.138846956
92,9.206311183064845,55652672.138846956
93,8.841363838359316,26760634.74511513
94,8.465843848520606,26760634.74511513
95,8.105901584691896,15529763.876062687
96,7.693626941762392,15529763.876062687
97,7.262674513674343,15529763.876062687
98,7.01892142258091,14146801.502799647
99,6.86277020498595,14146801.502799647
100,6.627242898291102,7734900.828155517
101,6.389119760858575,7734900.828155517
102,6.181847740251213,7291083.429239045
103,5.936225651996218,6453909.971035966
104,5.6669039437460516,3806635.407109202
105,5.37190219600574,3806635.407109202
106,5.079172622705926,3806635.407109202
107,4.822695729994174,3806635.407109202
108,4.696094670015605,2925175.8165772967
109,4.5754362782303675,2925175.8165772967
110,4.42813519511534,2925175.8165772967
111,4.247314623102976,2925175.8165772967
112,4.084402150334964,1755715.0062894747
113,3.9814492617087582,1234154.5153728023
114,3.8180567682935975,1234154.5153728023
115,3.6856001311343873,1234154.5153728023
116,3.5453041578722204,1234154.5153728023
117,3.422676397341919,1234154.5153728023
118,3.2513599030758624,1192030.5436430275
119,3.1209142865218085,533436.3755271632
120,3.060899823074232,533436.3755271632
121,2.978269895655858,533436.3755271632
122,2.8952594225459265,384115.17554462503
123,2.8186626555094056,384115.17554462503
124,2.733418750347189,304451.98335629015
125,2.665224918909791,302187.8562024343
126,2.5649529811534943,302187.8562024343
127,2.504921679768692,162724.04076070033
128,2.4692475719703952,162724.04076070033
129,2.4736043361816047,162724.04076070033
130,2.4084995578243524,157055.56825164694
131,2.3225351119213316,155598.01841787185
132,2.2320760301180083,155598.01841787185
133,2.093196063812549,134528.884840302
134,1.9795152637738243,125675.80225460134
135,1.8882590984378653,125675.80225460134
136,1.8018522188254835,107003.46206156639
137,1.7611202619813286,100764.14291445818
138,1.7423363597104133,85703.62009933867
139,1.7180618299582158,85703.62009933867
140,1.6874043438115922,55834.361004023645
141,1.6447010374122257,55834.361004023645
142,1.5825005862301489,55834.361004023645
143,1.5130653514571208,55834.361004023645
144,1.4597531046186223,53315.03139656314
145,1.387653371730924,43087.45884222696
146,1.3057550718988926,43087.45884222696
147,1.2463214260391817,43087.45884222696
148,1.175686792542576,43087.45884222696
