iter,sigma,best_value
1,0.9355591199653416,297926.1311930035
2,0.9147303534621769,297177.1584755677
3,0.9023484860273318,296275.9083241798
4,0.9023608563605346,295621.6025395451
5,0.9344041432162278,294362.0393353422
6,0.9679614306032631,293323.6678217877
7,1.0177024040090505,291954.6590548793
8,1.0859405874260741,291060.9591957788
9,1.1553696685196333,289580.10005957074
10,1.2482325734054944,287115.98172317375
11,1.3603474503139894,286762.0282198754
12,1.445221135426343,286697.3904017282
13,1.571084492309523,282614.77002794354
14,1.7402514305566712,281081.4235202416
15,1.917583973696802,279119.2012129331
16,2.084044775624868,275898.81607150874
17,2.27386910802877,273610.19755041983
18,2.4695262427168165,270778.6946758309
19,2.702679421716399,264032.5473040263
20,2.997736173742805,261507.6888453848
21,3.371162661291088,255601.81479915712
22,3.8229755067836897,249841.0910782457
23,4.3637283334038015,243421.6376271381
24,4.953654007227586,239428.7340111426
25,5.655033611030205,226760.69404613582
26,6.313910464034336,224514.98045298245
27,7.068039207436273,215381.85649160756
28,8.07487243461108,205811.1839717402
29,8.994451700946172,196745.12257187514
30,10.164356353293915,181942.8068889328
31,11.451333703615544,179166.76120482772
32,12.606048698891653,167841.51226007647
33,14.027843257397912,146583.07767499195
34,15.88309660510706,130321.28007431485
35,17.897890770683933,120286.50249072885
36,19.991692917975975,109048.23445319096
37,22.368309477467456,98562.03261464086
38,24.695191155520597,85913.59996834373
39,26.988892159758358,63494.74360804626
40,29.314176768980197,63494.74360804626
41,32.11439207513788,33910.435518167695
42,34.49728265152969,33089.15514688695
43,36.1545534315742,33089.15514688695
44,37.46667525693164,33089.15514688695
45,38.774943437136564,33089.15514688695
46,39.64891558465261,33089.15514688695
47,39.99277936281378,33089.15514688695
48,39.4344945203793,25363.479634659278
49,39.32810389190843,25363.479634659278
50,38.90304600863705,25363.479634659278
51,37.6339271006476,25363.479634659278
52,36.33254773695994,25363.479634659278
53,35.07380132775748,25363.479634659278
54,33.979897289105224,25363.479634659278
55,32.872937491307816,25363.479634659278
56,32.28153825773631,25363.479634659278
57,32.0539839388612,25363.479634659278
58,31.31603946679224,25363.479634659278
59,30.33769024858824,25363.479634659278
60,29.51357399719687,24617.898833330524
61,27.679933541138325,15654.646570057179
62,25.723505622039465,15654.646570057179
63,24.178854288040682,15654.646570057179
64,22.908689241793137,14657.886257013184
65,21.562965321474188,12023.810734388615
66,20.658292411961163,12023.810734388615
67,19.772692976573033,11741.531575490853
68,18.994872046693,10656.432893685775
69,18.230947116441126,7548.629420057325
70,17.556358679629618,7548.629420057325
71,16.910867642406004,6161.615046149848
72,16.170137980300407,6079.352649575824
73,15.624789964519467,6079.352649575824
74,15.09813407206733,6079.352649575824
75,14.27298539727353,5289.507774190117
76,13.514670902550629,5289.507774190117
77,12.820481154803124,5289.507774190117
78,12.311282749081071,4943.13462558197
79,11.954483483789717,4479.242011856493
80,11.627959774316254,3642.460669748302
81,11.432881932141918,2672.389284740421
82,11.100809216542883,2672.389284740421
83,10.574612924865887,2672.389284740421
84,10.07651111484004,2672.389284740421
85,9.764798285114729,2672.389284740421
86,9.46418381734942,2672.389284740421
87,9.146684850431797,2050.6574614619103
88,8.558565918789732,2010.045960412531
89,8.14335496300388,1717.9378169251504
90,7.930700125739589,1674.8763972239187
91,7.752143002354292,1063.0725297238541
92,7.471735736623248,1063.0725297238541
93,7.19712738416548,1063.0725297238541
94,7.01980675745861,1063.0725297238541
95,6.719964533131596,1063.0725297238541
96,6.397000666886409,1063.0725297238541
97,6.039382417117013,1046.39027490139
98,5.618384293452246,988.0694706277201
99,5.354378495138638,792.7499654453472
100,5.21127277361712,792.7499654453472
101,5.053574910872824,792.7499654453472
102,4.887637737379637,742.8274125162548
103,4.652528647019796,685.998937710194
104,4.457825067918638,661.4767471131107
105,4.228984016787351,501.6967520508104
106,3.9886113234934264,501.6967520508104
107,3.8149191907335283,501.6967520508104
108,3.6191137625497762,387.43003402845363
109,3.469194095728953,387.43003402845363
110,3.3951163448447574,336.10280021104165
111,3.2770174774004137,287.30566619294
112,3.2059654200160166,287.30566619294
113,3.2078474428312154,287.30566619294
114,3.176228774389903,287.30566619294
115,3.0825610949704663,287.30566619294
116,2.9249843928627706,284.0298750930608
117,2.8295190980893494,253.69516880678364
118,2.68304839071422,201.77755579232687
119,2.6101655467101623,201.77755579232687
120,2.510335117787227,173.40271351719954
121,2.4728416601980308,173.40271351719954
122,2.4548673127703213,173.40271351719954
123,2.401738095419347,101.34632369035629
124,2.3504024628577356,101.34632369035629
125,2.258838402938708,101.34632369035629
126,2.1653401548972004,100.54223537850532
127,2.079668268811316,84.67159886328936
128,1.964807187357471,84.67159886328936
129,1.882611514237669,84.67159886328936
130,1.827202599052447,84.67159886328936
131,1.7576639559126541,84.67159886328936
132,1.6450401835667952,84.67159886328936
133,1.5502969153730648,84.67159886328936
134,1.4711319114696462,67.18100899805894
135,1.4185905513096668,67.18100899805894
136,1.3565396743425673,64.55858550935068
137,1.3097193692219302,64.55858550935068
138,1.256313517309619,61.59642828632879
139,1.1999587857037517,51.733597113556016
140,1.139790331413157,49.35063638735488
141,1.0870268406253867,38.6335844128447
142,1.0645232257579929,35.741430861595376
143,1.0399647917790018,35.741430861595376
144,1.034375791343898,26.627974867933055
145,1.0297775893377359,26.627974867933055
146,1.0063345279061477,26.627974867933055
147,0.9818783712757917,24.477711281679937
148,0.9465916346203106,23.712479301756176
