iter,sigma,best_value
1,0.9760347460583376,85919745282.49664
2,1.0056810088868255,85919745282.49664
3,1.0906795629757415,84316357794.45517
4,1.266405642884245,82095093378.2656
5,1.5081043452396876,79835860568.22644
6,1.8684415419840805,75095352837.09258
7,2.1516155893115085,75095352837.09258
8,2.46435400579485,73432844893.66254
9,2.7672340744945925,70550514144.76364
10,3.159454532040213,66831783686.878105
11,3.649823563286379,66831783686.878105
12,4.090287582802585,62408604598.41016
13,4.859452451429951,56915150416.628685
14,5.8063611914272055,53596831671.524315
15,6.71588368050795,48650426014.45816
16,7.60324266128185,43528824396.547264
17,8.571047584247346,37180298776.6108
18,9.499950362365201,32112807991.604485
19,10.212892494332912,29530947724.9417
20,11.536255771139402,24255712117.318207
21,13.8515046588472,12827394810.125193
22,16.51464537729737,8220461009.769763
23,19.417526537383917,6440499558.258919
24,22.592858385447386,4599994745.454565
25,27.045520406348807,1241994661.662145
26,29.32993004465561,1160078914.43398
27,30.316712445686598,1160078914.43398
28,31.95475611970024,343440618.2404818
29,33.46456903358988,343440618.2404818
30,31.223843752353144,266142991.08755618
31,29.454545591517988,266142991.08755618
32,27.37954638242961,266142991.08755618
33,26.197334781992136,266142991.08755618
34,26.452168694251068,139136236.8110927
35,27.320985951022262,139136236.8110927
36,25.879885169375157,139136236.8110927
37,24.11782666499669,105630292.46226938
38,22.615716464213932,105630292.46226938
39,21.349471278398568,23804994.122143663
40,19.152639296499625,23804994.122143663
41,18.721030203521124,23804994.122143663
42,17.398883072999986,19984882.846336335
43,16.340297528803067,19984882.846336335
44,14.969755785132872,19984882.846336335
45,13.821804440663302,19984882.846336335
46,13.216398211205767,15332567.57789858
47,12.574321688340062,1566735.4011081783
48,12.804229157590516,1566735.4011081783
49,12.19995064184794,1566735.4011081783
50,12.101919707340437,1566735.4011081783
51,11.919011224491593,1566735.4011081783
52,11.053968153402566,1566735.4011081783
53,10.29160059112105,1566735.4011081783
54,9.300722199332503,1566735.4011081783
55,8.848079867464099,1566735.4011081783
56,8.486856153652683,1177735.6631168309
57,7.83796026464525,857132.2135422642
58,7.903553832527361,857132.2135422642
59,7.705706373992666,857132.2135422642
60,7.050616432752212,857132.2135422642
61,6.331887227742323,857132.2135422642
62,5.911314802870851,857132.2135422642
63,5.614567515139034,857132.2135422642
64,5.189587441040416,857132.2135422642
65,4.835203716099645,857132.2135422642
66,4.387359433468422,786694.3102801596
67,4.118312273360454,498961.8510259333
68,3.9471927814457644,498961.8510259333
69,4.049607492377312,443760.12200625683
70,3.9601385477188704,443760.12200625683
71,3.853615262481687,330543.9197117699
72,3.6074731819363715,330543.9197117699
73,3.383406039820583,311575.8225644334
74,3.11832664026053,311575.8225644334
75,3.0270396688663266,255792.38801391824
76,2.9595999797181727,255792.38801391824
77,2.8111629818858415,246341.01481020593
78,2.6865233951304055,246341.01481020593
79,2.7570228271720607,246341.01481020593
80,2.8471929435589627,199829.70472886565
81,2.8009919888831787,199829.70472886565
82,2.7080412903848745,199829.70472886565
83,2.476037829565726,188911.99587625486
84,2.516912084386462,178750.48245245471
85,2.516307447236657,150817.9658031966
86,2.564933977787796,148648.07349595084
87,2.576857626431257,131252.02100841413
88,2.5276620128652056,124732.83937342626
89,2.6095115029846476,92972.56531669378
90,2.6239494064763553,92972.56531669378
91,2.98659755095363,46158.54189834658
92,3.1419028647463145,46158.54189834658
93,3.198573497204126,46158.54189834658
94,3.244647675317973,41818.14863658918
95,3.112064981092659,33136.07851065445
96,2.972746986032462,33136.07851065445
97,2.8888348712856593,27346.11767849069
98,2.718898534111206,17801.08753033228
99,2.6953485688747794,17457.978609837744
100,2.834554302703535,14374.059188873525
101,2.855911453524344,8119.0662731640905
102,2.7406105807810555,8119.0662731640905
103,2.578882609007331,7217.966670485649
104,2.3876851041488227,7217.966670485649
105,2.168783122323891,1294.9005084814862
106,1.9739597575433177,1294.9005084814862
107,1.9586136018619367,1294.9005084814862
108,1.8499378548367615,1294.9005084814862
109,1.5921152286701237,1294.9005084814862
110,1.4376568193012176,1294.9005084814862
111,1.2729299537715582,999.7921510199138
112,1.2490262591583943,911.8461421584914
113,1.327689168991207,303.2224701820128
114,1.3269052423643037,303.2224701820128
115,1.3076201823246316,303.2224701820128
116,1.2307399067116291,303.2224701820128
117,1.1730260265917103,303.2224701820128
118,1.0562532107428353,241.34490333876835
119,1.01412997030231,241.34490333876835
120,0.9992627884732439,110.48414364766722
121,0.9992644818781029,110.48414364766722
122,0.9097766726390449,110.48414364766722
123,0.8563282035403206,110.48414364766722
124,0.7456096214589748,110.48414364766722
125,0.7166104387432108,110.48414364766722
126,0.638344265533978,110.48414364766722
127,0.5616982785154482,110.48414364766722
128,0.5466548951505827,90.26064371749018
129,0.5255865673675912,87.42525276477076
130,0.47958756940960356,83.87384871535501
131,0.47356293079529305,77.88858480751942
132,0.4776767870764568,71.14037038932015
133,0.5059314550289205,64.52565839201783
134,0.48288675666911285,47.558028434485266
135,0.47253888342348227,44.12982634821189
136,0.45987342898329414,44.12982634821189
137,0.4514088588001754,41.48335085857471
138,0.42581749407207503,26.407383390117033
139,0.41348854175730276,26.407383390117033
140,0.3778488692942984,23.634456373082436
141,0.337362729700087,23.634456373082436
142,0.3201289736174887,23.634456373082436
143,0.3128063364952809,23.634456373082436
144,0.29270719524744593,21.6254588968845
145,0.2750485798860043,21.6254588968845
146,0.2592513588977167,18.20348246999777
147,0.25010734238902455,15.33519104655602
148,0.22611629264280417,15.33519104655602
149,0.21173402088287446,15.33519104655602
150,0.2029895414585078,15.33519104655602
151,0.18924785385649404,15.33519104655602
152,0.17917068269562605,15.33519104655602
153,0.1672618359238808,15.263421547474353
154,0.15799096116669206,12.389778913345697
155,0.15984928981048824,12.389778913345697
156,0.15680213909802404,12.389778913345697
157,0.1545808380207551,10.922407526314855
158,0.16223977388835437,10.922407526314855
159,0.15524289955283643,10.922407526314855
160,0.14644519243624435,10.922407526314855
161,0.1355373420393801,10.922407526314855
162,0.12743674229082735,10.922407526314855
163,0.11882181296563925,10.922407526314855
