iter,sigma,best_value
1,0.9450531007696146,85129354.64334007
2,0.9184730079590813,84450658.96395457
3,0.9053539819682733,84387323.5837298
4,0.9106342816175684,84231440.34833531
5,0.9465143787282396,83722525.21705939
6,0.9819811770642942,83322520.75587937
7,1.0352353363416633,83188264.23266089
8,1.1069065654852923,82440282.55571826
9,1.18253101349881,81969485.59747596
10,1.2763565875197724,81278387.32321867
11,1.3888416804276242,80739012.28121307
12,1.5332352721057114,80136642.21866834
13,1.7248441222609137,78941083.03650075
14,1.9694883673841712,77731403.41770978
15,2.1970138264313626,77731403.41770978
16,2.4415273638098998,76402072.22492407
17,2.7061588047799234,75569636.5160846
18,2.9721942119886773,74932940.60796371
19,3.291588551374313,73849665.3756307
20,3.6285687174709205,72573715.54651529
21,3.946241687624522,71355183.59386095
22,4.326943674879765,68694225.56866977
23,4.702970795498267,67895891.34601432
24,5.135199805177864,65770428.970767535
25,5.688099897038657,63802366.74102303
26,6.4369793317148245,61015608.73159349
27,7.155160838634146,60055643.88744594
28,8.027093541844184,56488273.94226089
29,8.920936977867063,55541715.818974294
30,10.076620040922428,48018493.953270145
31,11.261230169700818,48018493.953270145
32,12.535785534984157,43337555.93519666
33,13.952454654337236,40589307.40701275
34,15.309778246577011,36354005.798133545
35,16.694594857016057,34639484.07005172
36,18.651050624112457,28923318.7235112
37,21.01478544419721,19732430.25307659
38,24.055514865845343,10443261.241187923
39,26.93398602234739,10443261.241187923
40,30.256302028626305,6927422.064421445
41,33.553209274745896,5450684.788225153
42,37.80807802908768,2597938.0520843267
43,41.55642087782112,1251236.1902615922
44,45.57409538224742,813566.4810160608
45,49.88512281127117,422300.8760883988
46,54.32365598030611,347109.609273325
47,57.58572007768504,347109.609273325
48,59.17092255476057,258643.1483672015
49,60.196699497119894,86994.00429557031
50,60.86341159160106,86994.00429557031
51,61.5039062682108,86994.00429557031
52,62.333571410249625,86994.00429557031
53,62.20431492028166,86994.00429557031
54,61.92441074505319,86994.00429557031
55,60.60355475052309,86994.00429557031
56,60.86308705555516,86994.00429557031
57,61.45458469884795,86994.00429557031
58,62.71850804259977,86994.00429557031
59,64.10241521778076,86994.00429557031
60,68.79401363949435,86994.00429557031
61,71.92914458736526,86994.00429557031
62,73.32560951570474,86994.00429557031
63,73.29545070457237,86994.00429557031
64,71.53927766901818,86994.00429557031
65,70.48282520718088,86994.00429557031
66,70.647540093048,86994.00429557031
67,70.74895554074104,86994.00429557031
68,72.38768370422376,86994.00429557031
69,72.5571971518804,86994.00429557031
70,72.49415492892815,86994.00429557031
71,71.1760473455863,86994.00429557031
72,69.08905446050095,86994.00429557031
73,66.48449991775698,86994.00429557031
74,64.95602993488464,86994.00429557031
75,63.55468823548333,86994.00429557031
76,62.14344196965102,86994.00429557031
77,60.54457915266886,86994.00429557031
78,59.252703324478205,86994.00429557031
79,58.70682692829951,86994.00429557031
80,58.005318296203846,86994.00429557031
81,56.208400872919945,86994.00429557031
82,55.38572531369781,86994.00429557031
83,54.26988159235124,86994.00429557031
84,54.4235877334968,86994.00429557031
85,54.48464535796819,86994.00429557031
86,53.47950726914664,86994.00429557031
87,52.894738759710734,86994.00429557031
88,53.02986635533864,86994.00429557031
89,52.08486875068436,86994.00429557031
90,51.19199719119213,86994.00429557031
91,50.56044473477774,86994.00429557031
92,49.92880604506171,86994.00429557031
93,48.31820833424191,86994.00429557031
94,46.15228941021334,86994.00429557031
95,44.78302831692133,86994.00429557031
96,43.085308478131,86994.00429557031
97,42.27489249703026,86994.00429557031
98,41.07988360484618,86994.00429557031
99,39.91086228730046,86994.00429557031
100,38.72085010822841,86994.00429557031
101,37.28629113835608,86994.00429557031
102,36.14232985656988,86994.00429557031
103,34.577601865769275,86994.00429557031
104,33.15473398498122,86994.00429557031
105,32.807823450335015,86994.00429557031
