iter,sigma,best_value
1,0.9691676788230493,99852.26764988544
2,0.9385059526699485,99743.60286707382
3,1.0042124832668997,99067.1163446291
4,1.0371162882382285,98518.46899829255
5,1.0589222273347936,97918.62598823634
6,1.169207444776009,97037.60469176777
7,1.3196186109271837,95958.73054728571
8,1.5144615144215787,95012.97503168695
9,1.8026922361956037,93543.61635628401
10,2.1413139426617107,92208.1295531404
11,2.3794897495809963,92208.1295531404
12,2.656555318813227,89820.43416658019
13,3.1313206144753827,87786.87618824233
14,3.443345148498921,85612.05619471654
15,3.9448939047589184,82378.27750815982
16,4.966386006294918,74558.416779126
17,6.267347084783594,70494.01137120424
18,7.666747440465136,67289.87729046358
19,9.471043357356482,60057.07625309941
20,12.233196585609043,52240.643656442764
21,15.74734957580844,39192.975896659256
22,19.593758524904786,35039.10388037923
23,23.156595287297385,28157.240617914118
24,27.45517417102507,16804.72132177792
25,33.536974426750604,15692.113165171131
26,39.2690447004252,15692.113165171131
27,41.436973249773104,13356.137672725432
28,42.27429789541647,12593.553034239327
29,41.772883318038645,12593.553034239327
30,40.872433789061816,10037.79428530071
31,40.75798196179492,6538.731563092181
32,39.51963268148712,1922.9055163222047
33,36.67619224777547,1922.9055163222047
34,33.34406787952049,1922.9055163222047
35,30.819998374895253,1922.9055163222047
36,28.96584168836453,1922.9055163222047
37,26.39512604544139,1922.9055163222047
38,23.44995388208135,1922.9055163222047
39,21.195497071004365,1922.9055163222047
40,19.494963765250013,1922.9055163222047
41,18.1733860074604,1831.729788266109
42,18.337993484341226,1399.773334668914
43,17.38006556012979,1399.773334668914
44,17.527835487871187,1399.773334668914
45,15.722977062143812,1399.773334668914
46,14.374161615607424,1041.0550345674394
47,14.019598509259177,888.4713210772308
48,14.233188012774457,845.338903658071
49,14.220706750101986,845.338903658071
50,14.167640557557636,845.338903658071
51,13.48416080024891,845.338903658071
52,12.506749411938452,845.338903658071
53,12.4714037826802,845.338903658071
54,11.663295658556793,659.0169222895456
55,10.517929758218626,637.5897061498827
56,9.459057524251042,247.53117511929597
57,8.872432328656345,247.53117511929597
58,8.501085113166752,247.53117511929597
59,7.758957993973842,187.58322699987076
60,7.424388549203892,187.58322699987076
61,6.779879505782315,148.022889929483
62,6.377029683052996,148.022889929483
63,5.83727567091838,148.022889929483
64,5.614846068813886,99.6952112293554
65,5.80204081534073,99.6952112293554
66,5.624863197284655,99.6952112293554
67,5.290734937701661,99.6952112293554
68,4.741076111512385,92.73673646304161
69,4.429118191210559,78.21732392918558
70,4.283877132906265,78.21732392918558
71,3.9751234309028582,42.81817474687523
72,3.667597728163423,42.81817474687523
73,3.248383559270468,29.54807398175512
74,2.9869557244364753,22.975959924952743
75,2.7510817086044077,22.975959924952743
76,2.4791030056044034,19.5636613873972
77,2.277026060293979,10.079985520074029
78,2.1908393516683984,7.572612275762377
79,2.021838789800294,7.572612275762377
80,1.9561024443788677,7.572612275762377
81,1.8736425750094396,7.572612275762377
82,1.7297387367002093,6.442100781069749
83,1.5622892165190958,6.186946810825473
84,1.4443305297803875,4.935343369308662
85,1.3133818777042554,4.935343369308662
86,1.221243983918283,4.935343369308662
87,1.117484576593754,4.935343369308662
88,1.0375280078150113,4.613778540090426
89,0.9645291212433068,3.3046279565243637
90,0.9543719387211601,2.433747550768664
91,0.9159822813933032,1.877999615650394
92,0.8461073609850687,1.639082245896643
93,0.806703222961753,1.639082245896643
94,0.7766817092857962,1.3772518677640044
95,0.7012703280530204,1.3772518677640044
96,0.6747037411149727,1.3772518677640044
97,0.6378691759954828,1.3772518677640044
98,0.6050488829142731,1.0254139829126885
99,0.5795764968161415,1.0254139829126885
100,0.5502366850485204,1.0254139829126885
101,0.49016760671316806,0.5585041769164071
102,0.4736378033225482,0.18223933529496839
103,0.4585773434808176,0.18223933529496839
104,0.4571501760866573,0.18223933529496839
105,0.4238211483629772,0.18223933529496839
106,0.40026929381798637,0.18223933529496839
107,0.3840993293681533,0.18223933529496839
108,0.3663131293779383,0.18223933529496839
109,0.34875542093199613,0.18223933529496839
110,0.32355800456839956,0.17433905217285478
111,0.2965765320800257,0.17433905217285478
112,0.2741503580703228,0.08648165520290556
113,0.26273423678320723,0.08648165520290556
114,0.25349209363604636,0.07974376801539329
115,0.22668166240200838,0.05742999297394883
116,0.2065671088959028,0.05246430213300027
117,0.19387088751134438,0.04820850733667981
118,0.18656929366089436,0.04820850733667981
119,0.16407779025999356,0.042752177517163925
120,0.15066852401666653,0.0383172343541683
121,0.145983078410081,0.03323371398427779
122,0.1438754034899315,0.01732159919892323
123,0.14079966330253516,0.012710830979675356
124,0.13405214652239594,0.012710830979675356
125,0.1253591271896973,0.012710830979675356
126,0.11824774986414831,0.012710830979675356
127,0.10384842020274017,0.009587593399974864
128,0.09333477522611014,0.009587593399974864
129,0.08624894451762992,0.009587593399974864
130,0.0804328011613638,0.008966707052558021
131,0.07381067400076056,0.007870723030997232
132,0.06921155216704723,0.0056936661763816385
133,0.06036090536769896,0.005127869641507024
134,0.05492225793757824,0.00276622541704444
135,0.04955305341076949,0.00276622541704444
136,0.04444468666179413,0.0027637755850652497
137,0.040488852923727565,0.0019242559217416742
138,0.037118631206563855,0.0012670626702453623
139,0.03478272953082948,0.0011766113501594554
140,0.03362728604647244,0.0007018052846926051
141,0.03075682992496884,0.0007018052846926051
142,0.028527068493638445,0.0007018052846926051
143,0.024191870772518467,0.0005385202876828386
144,0.022415322462979663,0.0004841189345377742
145,0.021563371945708003,0.000263684205505735
146,0.020522342956093925,0.000263684205505735
147,0.019585992067269766,0.000263684205505735
148,0.016989007736821646,0.000263684205505735
149,0.01481281109753606,0.00023671308012738918
150,0.013179765321320636,0.0001746522096273035
151,0.011409077608240439,0.00012396679312116722
152,0.010991537525330762,9.856067361239406e-05
153,0.010767692577828848,8.997083946907049e-05
154,0.010393656642706991,8.997083946907049e-05
155,0.009422356098832031,8.997083946907049e-05
156,0.008686516897664469,5.1725760445702295e-05
157,0.007981321485233095,5.1725760445702295e-05
158,0.006961002243092006,3.4535295812392716e-05
159,0.006386574617573597,3.355974743399385e-05
160,0.00551992717300182,3.164057932744126e-05
161,0.00527576108736219,2.8899063532845155e-05
162,0.004880655173809292,1.6602464017677148e-05
163,0.0044647181229202915,1.6602464017677148e-05
164,0.004318075068403444,8.739328529621905e-06
165,0.004126273842519753,8.739328529621905e-06
166,0.0038611851780616566,8.739328529621905e-06
167,0.0036316496631090623,8.739328529621905e-06
168,0.0033740214636995337,8.739328529621905e-06
169,0.0031599427227575853,4.726607792510215e-06
170,0.0028258773137898614,4.726607792510215e-06
171,0.002524163464365203,4.726607792510215e-06
172,0.002401798514860237,1.2797902061675368e-06
173,0.0023587686201799857,1.2797902061675368e-06
174,0.0021191672108678357,1.2797902061675368e-06
175,0.0019314098298031338,1.2797902061675368e-06
176,0.001875846424767081,1.2797902061675368e-06
177,0.0017174814047743582,9.200922762690813e-07
178,0.0015016309770521194,6.32377120873456e-07
179,0.0014178823721394094,6.32377120873456e-07
180,0.0012939449666982304,6.32377120873456e-07
181,0.0012226592786244966,6.32377120873456e-07
182,0.0011410259248163155,5.897339947248402e-07
183,0.0010074792894150186,5.897339947248402e-07
184,0.0009437141253651086,4.6447485835772655e-07
185,0.0008470409576657823,2.7289578620077834e-07
186,0.0007982348691843292,2.6810142185760873e-07
187,0.0007629482553599024,2.6810142185760873e-07
188,0.0007365203033577993,2.6810142185760873e-07
189,0.0006924815951172702,2.6810142185760873e-07
190,0.0006500243616084034,2.6810142185760873e-07
191,0.0005746957356340811,1.7042820401751994e-07
192,0.0005499343012044325,1.151948629107999e-07
193,0.0005253599075812002,8.448862816276648e-08
194,0.0004984872672113231,8.448862816276648e-08
195,0.0004465186598710542,6.939480586964133e-08
196,0.0003928683488646534,6.939480586964133e-08
197,0.0003690092043446073,6.939480586964133e-08
198,0.0003484673412881219,6.818245037351127e-08
199,0.0003150713112959965,6.818245037351127e-08
200,0.000284826273878447,3.667410584547769e-08
201,0.00026482475200441483,2.4414044369012025e-08
202,0.00025857621722525845,2.0640730915392827e-08
203,0.00024544718384332813,2.001995730311707e-08
204,0.00023337355283510906,1.910339129995245e-08
205,0.00021200718587418026,5.94312305280998e-09
206,0.00020682584652667935,5.94312305280998e-09
207,0.00019024758849754138,5.94312305280998e-09
208,0.0001716212614611203,5.94312305280998e-09
209,0.00015656076213161726,5.94312305280998e-09
210,0.00013749690950490382,5.94312305280998e-09
211,0.00011902809500687932,5.94312305280998e-09
212,0.00010149860663128424,5.94312305280998e-09
213,8.989032963922311e-05,4.489601981246556e-09
214,8.979474244373372e-05,3.264818246431608e-09
215,8.635734504711555e-05,3.264818246431608e-09
216,7.942228490949602e-05,1.9539676587348954e-09
217,7.702553870579398e-05,1.9539676587348954e-09
218,7.314515622332127e-05,7.915724543554623e-10
219,7.162885445496766e-05,7.826863027036383e-10
220,6.916730986045402e-05,7.826863027036383e-10
221,6.694521262180253e-05,7.826863027036383e-10
222,6.254123040303257e-05,7.826863027036383e-10
223,5.740604019324508e-05,7.826863027036383e-10
224,5.1946583551208474e-05,7.826863027036383e-10
225,4.830545937151001e-05,6.708188037747485e-10
226,4.384448357215956e-05,5.620546944763867e-10
227,4.083414789216323e-05,5.620546944763867e-10
228,3.6481190789492723e-05,4.091907503641294e-10
229,3.7994560158123055e-05,3.0895260166698576e-10
230,3.793754192223259e-05,2.3265026193720384e-10
231,3.83185399986196e-05,2.3265026193720384e-10
232,3.966143900350067e-05,2.3265026193720384e-10
233,3.665315009976446e-05,2.0576193735205794e-10
234,3.38857025948478e-05,2.0576193735205794e-10
235,3.3233722095124904e-05,2.0576193735205794e-10
236,2.9948327764272644e-05,1.6142736552718782e-10
237,2.706526682639553e-05,1.6142736552718782e-10
238,2.4580046504516406e-05,1.0181747431350145e-10
